eng_Latn,tam_Taml
"Another woman, Omkari Panwar, a seventy year-old grandmother from the Indian state of Uttar Pradesh, gave birth in 2008--but her age cannot be formally documented.
","மேலும் இந்தியாவைச் சேர்ந்த Omkari Panwar என்ற பெண் கடந்த 2008-ஆம் ஆண்டு 70 வயதில் இரண்டு குழந்தைகள் பெற்றேடுத்ததாக கூறப்பட்டாலும் அது உறுதிபடுத்தப்படவில்லை என்பது குறிப்பிடத்தக்கது.
"
"As a child, I wrote many letters to my grandmother and to my friends.
","சின்ன வயதில், அம்மா , பெரியம்மா சொல்ல சொல்ல பல கடிதங்கள் எழுதி இருக்கிறேன்.
"
"At that time, my grandmother was 17 years old and living with her mother in the city.
","அதே நேரத்தில், அந்த 17 வயது சிறுமி, தனது தாயாருடன் அங்கு வசித்து வந்தார்.
"
"Australian grandmother Maria Elvira Pinto Exposto has been found guilty of drug trafficking and sentenced to death in Malaysia.
","அவுஸ்திரேலியரான Maria Elvira Pinto Exposto என்பவரே மலேசியாவில் மரண தண்டனை விதிக்கப்பட்டவர்.
"
"Because that was the name of his grandmother.
","ஏனெனில் அது அவனது தாத்தாவின் பெயர்.
"
"Both Mother and grandmother laughed.
","அம்மாவும் பெரியம்மாவும் சிரித்தார்கள்.
"
"But my grandmother wasn't angry.
","ஆனால் மாமி கோபப்படவில்லை.
"
"But one day, his grandmother dies.
","ஒரு நாள் வயதான அவனது தாய் இறந்து போகிறாள்.
"
"Call my grandmother once per week.
","வாரத்திற்கு ஒருமுறை அம்மாவை அழைப்பதுண்டு.
"
"Can he marry the daughter of his grandmother's half-sister?
","தனது உம்மாவின் தங்கட்சியான சாட்சியின் மகனின் மகளை திருமணம் செய்ய முடியுமா?
"
"Chinese grandmother, 103, recovers from coronavirus after being treated for less than a week.
","சீனாவில் ஒரு வாரத்திற்கும் குறைவாக சிகிச்சை பெற்ற 103 வயதான மூதாட்டி வைரஸிலிருந்து குணமடைந்துள்ளார்.
"
"Don't be afraid of my grandmother.
","நான்ஃ அண்ணா பயபட வேண்டாம்.
"
"Don't you know how to treat your grandmother?
","உனக்கு தெரியாதா மாமனார் மாமியாரை சமாளிக்க?
"
"Don't you wanna see your grandmother?
","உனக்கு உன் தாத்தாவை பார்க்க வேண்டுமா?
"
"Every time I watch it I remember my grandmother.
","சுருதியைப் பார்க்கும் போதெல்லாம் எனக்கு என் அம்மாவின் நினைவு வரும்.
"
"First we will take a look at grandmother.
","முதலில் அண்ணாவை பார்ப்போம்.
"
"Geraldine Chaplin, Charlie Chaplin's daughter, plays her grandmother in the film.
","சார்லி சாப்ளினின் மகள் ஜெரால்டைன் சாப்ளின் (Geraldine Chaplin), இவருக்க தாயாக படத்தில் நடித்திருக்கிறார்.
"
"Go tell your grandmother.
","நீ போய் மாமாவுக்குச் சொல்லு.
"
"Go to your grandmother.
","உங்க அண்ணாவாத்துக்கு போ.
"
"Good morning grandmother, how are you?
","இனிய காலை வணக்கம் அண்ணா, நல்லா இருக்கிறீங்களா?
"
"Happy Mother's Day to the sweetest grandmother in the world, we love you!
","உலகின் மிக இனிமையான தாய்க்கு அன்னையர் தின வாழ்த்துக்கள், நாங்கள் உன்னை நேசிக்கிறோம்!
"
"He apologized to my great grandmother.
","என் பெரியம்மாவிடம் மன்னிப்பு கேட்டார்.
"
"He doesn't know who his grandmother is.
","அவன் அண்ணா யார் என்று தெரியவில்லை.
"
"He entered his grandmother's room.
","உள்ளே வந்து தாத்தாவின் அறைக்கு வந்தார்.
"
"He had a grandmother.
","அவளுக்கு ஒரு தாத்தா இருந்தார்.
"
"He had never seen such an expression on his grandmother's face.
","தாத்தாவின் முகத்தில் இது போன்றதொரு துக்கத்தை அவள் கண்டதே இல்லை.
"
"He has a mother, a father and a grandmother.
","அவருக்கு தாய், தந்தை மற்றும் ஒரு மகள் உள்ளனர்.
"
"He heard his grandmother's voice.
","அந்த கனம் தன் மாமாவின் குரல் கேட்டது.
"
"He knew my grandmother.
","அவர் என் அண்ணாவுக்குத் தெரிந்தவர்.
"
"He knows my grandmother.
","அவர் என் அண்ணாவுக்குத் தெரிந்தவர்.
"
"He lived with his grandmother for a year.
","தன் மாமாவுடன் ஒரு வருடம் தங்கியிருந்தான்.
"
"He lives alone with his grandmother.
","தன் வயதான தாயுடன் தனிமையில் வாழ்பவர்.
"
"He lives at his grandmother's place.
","இவர் தனது தாத்தா வீட்டில் வசித்து வந்துள்ளார்.
"
"He lives next to her grandmother's house.
","இவர் தனது அக்காவின் வீட்டு அருகே வசித்து வருகிறார்.
"
"He lives with his dad, his grandmother, 3 brothers and 2 sisters.
","அவர் தனது அம்மா (ஊர்வசி), தாத்தா மற்றும் மூன்று சகோதரிகளுடன் வசித்து வருகிறார்.
"
"He lives with his mother, grandmother, and three siblings.
","அவர் தனது அம்மா (ஊர்வசி), தாத்தா மற்றும் மூன்று சகோதரிகளுடன் வசித்து வருகிறார்.
"
"He lost his parents when he was 7 and was raised by his grandmother.
","ஏழு வயதில் தனது தாயை இழந்து, மூத்த சகோதரியால் வளர்க்கப்பட்டார்.
"
"He married my grandmother in 1939.
","அவர் திருமணம் முடித்து பெரிய அண்ணன் 1939 இல் பிறந்தார்.
"
"He really wanted to see the grandmother.
","அண்ணாவைப் பார்க்க வேண்டும் என்று அவர் மிகவும் ஆசைப்பட்டார்.
"
"He took me to my grandmother.
","அவர் என்னை அண்ணாவிடம் அழைத்துச் சென்றார்.
"
"He turned back to grandmother.
","தாத்தாவை நோக்கித் திரும்பினான்.
"
"He waited for his grandmother's response.
","அவன் மாமாவின் பதிலுக்கு காத்திருந்தான்.
"
"He was at least 30 years older than my grandmother.
","மாமியர் என்பவர் மருமகளைவிட குறைந்த பட்சம் 30 வயது மூத்தவராகத்தான் இருப்பார்.
"
"He was making breakfast with his grandmother.
","தாயாருடன் அவர் காலை உணவு சாப்பிட்டார்.
"
"Her face reminds me of my grandmother's.
","அவருடைய முகம் என்னுடைய பட்டாணி தாத்தாவை எனக்கு நினைவு படுத்தியது.
"
"Her grandmother didn't talk like that.
","மாமா இப்படி பேசியதே இல்லை.
"
"Her grandmother had mental and emotional problems.
","தாய்க்கு உடல் மற்றும் மன ரீதியாக பிரச்சினைகள் கொடுத்தது.
"
"Her grandmother is white.
","அவளுடைய தாத்தா வெள்ளைச்சாமி.
"
"Her grandmother lives in the same house.
","இவரின் மாமியார் வீடு அதே பகுதியில் இருக்கிறது.
"
"Her grandmother was addicted to alcohol.
","அவரது அம்மா மதுப்பழக்கத்திற்கு அடிமையானார்.
"
"Her grandmother was married in 1936.
","என் மூத்த சகோதரிக்கு 1936ம் ஆண்டு திருமணம் நடந்தது.
"
"Her grandmother was standing at the door waiting for her.
","இவனையே எதிர் பார்த்தபடி வாசலில் காத்திருந்தாள் அம்மா.
"
"Her grandmothers were lesbians.
","அவளுடைய அம்மாக்கள் லெஸ்பியன்ஸ்.
"
"Her most important role was as a wife, mother and grandmother.
","ஒரு மனைவியாக, சகோதரியாக, மகளாக, தாயாக அவளின் பங்கு மகத்தானது.
"
"Her mother and grandmother looked at each other.
","அம்மா,மற்றும் தாத்தா ஒருவரை ஒருவர் பார்த்துக்கொண்டனர்.
"
"Her oldest daughter is my grandmother.
","அவவின் மூத்த மகள் என்னுடைய தாய்.
"
"Her youngest Daughter was my grandmother.
","அவவின் மூத்த மகள் என்னுடைய தாய்.
"
"His grandmother and great-grandmother came to see him today.
","அவரை பார்க்க இன்று அவரின் தங்கை மற்றும் அம்மா வந்திருந்தனர்.
"
"His grandmother had been sick.
","அவன் தாத்தா நோய்வாய்ப் பட்டிருந்தார்.
"
"His grandmother lived with them, also.
","அங்கு அவர்களின் தாத்தாவும் உடன் தங்கியிருந்தார்.
"
"His grandmother raised him and his two siblings.
","இவரது தாயார் இவரையும் இவரின் இரு உடன்பிறப்புகளையும் வளர்த்து ஆளாக்கினார்.
"
"His grandmother ran to the school.
","அண்ணன் பாடசாலைக்கு ஓடினான்.
"
"His grandmother taught him to read and write before he entered school.
","பள்ளிக்கூடம் செல்லும் முன்பே எழுதவும் படிக்கவும் கற்றுகொடுத்தவர் அம்மா.
"
"His grandmother was Maacah, the daughter of Absalom.
","அவரது தாயார் மாக்காள் இருந்தது, Abishalom மகள்.
"
"His grandmother was also home when the incident happened.
","சம்பவம் நடந்த போது தாயும் வீட்டில் தான் இருந்துள்ளார்.
"
"His grandmother was busy preparing food for dinner.
","தாயார் அடுப்படியில் இரவு உணவு தயாரிப்பதில் மும்முரமாக இருந்தார்.
"
"His grandmother worked in the temple for more than 20 years.
","இவர் கடந்த 20 ஆண்டுகளுக்கும் மேலாக கோவிலில் பணிபுரிந்துள்ளார்.
"
"His grandmother's love?
","தாதாவின் அன்பா ?
"
"His great grandmother was an artist, and later taught his mother to paint.
","அவரது தாயார் ஓவியர், தனது ஓவியக்கலையை மகளுக்கு கற்றுதந்தார்.
"
"His mother and grandmother were nearby.
","அம்மாவும், தாத்தாவும் அருகிலேயே நின்று கொண்டார்கள்.
"
"His paternal grandmother Meenakshi Subrahmanyam was a noted music composer and lyricist in Sanskrit and Tamil languages.
","இவரது தாயார் மீனாட்சி ஒரு இசையமைப்பாளர், தமிழ் மற்றும் சமஸ்கிருதத்தில் பாடல் எழுதக்கூடியவர்.
"
"How's your mother as a grandmother?
","உம்ம பையன் அம்மம்மா எப்படி உங்க அம்மா ஆனாங்க?
"
"However, in 1967 elections, Nehru's daughter and Rahul's grandmother Indira Gandhi was able to get 283 seats out of total 520 seats.
","அதன் பின்னர் 1967 ஆம் ஆண்டு நடைபெற்ற தேர்தலில் நேருவின் மகள் இந்திரா 520 இடங்களில் 283 இடங்களை பிடித்து வெற்றி பெற்றார்.
"
"I am a grandmother with 6
","அம்மாவுடன் நான் 6
"
"I am a newly grandmother.
","நான் புதுசு அண்ணா.
"
"I am here with my grandmother.
","நான் இங்கு என் மாமியாருடன் இருக்கிறேன்.
"
"I am my grandmother's only grandson.
","என் அமமாவுக்கு நான் ஒரே பையன்.
"
"I am now a 51 year old grandmother.
","இன்று 51 வயது தாத்தாவாகி கண்டம் தாண்டி பழகி கிழவனாகிவிட்டேன்.
"
"I am now a great grandmother!
","அப்பா I'_m ஒரு பெரிய பெண் இப்போது!
"
"I asked my grandmother about that once.
","அண்ணாவிடம் ஒருமுறை இதுபற்றிக் கேட்டேன்.
"
"I bought it for my grandmother suffering from diabetes.
","நீரிழிவு நோயுள்ள என் தாத்தாவுக்காக இதை வாங்கினேன்.
"
"I called my grandmother the next day.
","மறுநாள் தாத்தாவைக் கூப்பிட்டேன்.
"
"I called the grandmother.
","நான் தாத்தாவை அழைத்தேன்.
"
"I called up my grandmother.
","நான் தாத்தாவை அழைத்தேன்.
"
"I couldn't go see my grandmother.
","என் தாத்தாவைத் தேடித் செல்ல முடியவில்லை.
"
"I did not call her my grandmother.
","அவரை நான் அண்ணா என்று அழைத்ததில்லை.
"
"I didn't kill your grandmother.
","என் தாத்தாவை நான் கொல்லவில்லை.
"
"I do not speak to my grandmother anymore.
","இனிமேல் அண்ணாவை தப்பா எதுவும் எப்பவும் பேசமாட்டேன்.
"
"I do remember my grandmother.
","எனக்கு என் பெரியம்மா ஞாபகம் வருகிறது.
"
"I do remember my great grandmother.
","எனக்கு என் பெரியம்மா ஞாபகம் வருகிறது.
"
"I don't know who my grandmother is.
","எனக்கு அண்ணா என்றால் யார் என்றே தெரியாது.
"
"I don't remember that grandmother.
","இந்த மாமியைப் பார்த்த ஞாபகமே இல்லை.
"
"I grew up playing this game with my grandmother, mom, and brother.
","இந்த விளையாட்டை அம்மா முதல் அக்கா,தங்கை,அண்ணன் வரையும் விளையாடியிருக்கிறேன்.
"
"I grew up with mother and grandmother.
","அம்மா மற்றும் தாத்தா உதவியுடன் தான் வளர்ந்தேன்.
"
"I grew up with my grandmother and father.
","அம்மா மற்றும் தாத்தா உதவியுடன் தான் வளர்ந்தேன்.
"
"I grew up with my mother and grandmother.
","அம்மா மற்றும் தாத்தா உதவியுடன் தான் வளர்ந்தேன்.
"
"I had gone over to see my grandmother.
","அதற்கு மேல் புறப்பட்டு என் பெரியம்மாவைப் பார்க்கப் போனேன்.
"
"I have a great relationship with my grandmother.
","என் மாமியாருடன் எனக்கு ஒரு பெரிய உறவு இருக்கிறது.
"
"I have a strong relationship with my grandmother.
","என் மாமியாருடன் எனக்கு ஒரு பெரிய உறவு இருக்கிறது.
"
"I heard this story from my grandmother.
","என் தாத்தா சொல்லி இந்தக் கதையைக் கேட்டிருக்கிறேன்.
"
"I hope grandmother and aunt are well on the mend.
","அத்தையும் மாமாவும் நலமாய் இருப்பார்கள் என்று நம்புகிறேன்
"
"I learned this from my mother, my father, my grandmother, my grandfather.
","நானும் இதை என் அப்பா, அம்மா, மாமியார், மாமனார் மூலம் கேள்விப்பட்டுள்ளேன்.
"
"I live alone with my grandmother.
","நானோ என் வயசான அம்மாவுடன் தனியாக இருக்கிறேன்.
"
