eng_Latn,pan_Guru
"the three founders were soon joined by George Hawtin's brother and brother-in-law, Ernest Hawtin and Milford Kilpatric.
","ਤਿੰਨਾਂ ਬਾਨੀ ਜਲਦੀ ਹੀ ਜਾਰਜ ਹਾਟਿਨ ਦੇ ਭਰਾ ਅਤੇ ਭਰਜਾਈ, ਅਰਨੇਸਟ ਹੌਟਿਨ ਅਤੇ ਮਿਲਫੋਰਡ ਕਿਲਪੈਟ੍ਰਿਕ ਨਾਲ ਮਿਲ ਗਏ.
"
"third child's brother-in-law
","ਤੀਜੀ ਭੈਣ ਦਾ ਜਨਮ
"
"Police have registered a case against the brother-in-law, sister-in-law of the victim and others.
","ਇਸ ਸਬੰਧੀ ਪੁਲਸ ਵੱਲੋਂ ਸੱਸ, ਸਹੁਰਾ ਸਮੇਤ ਹੋਰਨਾਂ 'ਤੇ ਕੇਸ ਦਰਜ ਕਰ ਦਿੱਤਾ ਹੈ।
"
"Bollywood actress Kareena Kapoor Khan shared a heartwarming birthday post for brother-in-law Kunal Kemmu.
","ਬਾਲੀਵੁੱਡ ਅਦਾਕਾਰਾ ਕਰੀਨਾ ਕਪੂਰ ਖਾਨ ਨੇ ਆਪਣੇ ਇੰਸਟਾਗ੍ਰਾਮ ਅਕਾਉਂਟ ਜ਼ਰੀਏ ਕੁਨਾਲ ਖੇਮੂ ਦੇ ਜਨਮਦਿਨ ‘ਤੇ ਇਕ ਪੋਸਟ ਸ਼ੇਅਰ ਕੀਤੀ ਹੈ।
"
"He had verbal duels with Chief Minister Parkash Singh Badal , Deputy Chief Minister and Akali Dal president Sukhbir Badal and Sukhbir's powerful brother-in-law Bikram Majithia.
","ਉਨ੍ਹਾਂ ਨੇ ਸਾਬਕਾ ਮੁੱਖ ਮੰਤਰੀ ਪ੍ਰਕਾਸ਼ ਸਿੰਘ ਬਾਦਲ ਅਤੇ ਅਕਾਲੀ ਦਲ ਦੇ ਪ੍ਰਧਾਨ ਸੁਖਬੀਰ ਸਿੰਘ ਬਾਦਲ ਅਤੇ ਸਾਬਕਾ ਮੰਤਰੀ ਬਿਕਰਮ ਸਿੰਘ ਮਜੀਠੀਆ ਦੇ ਖ਼ਿਲਾਫ਼ ਭੜਾਸ ਕੱਢਦਿਆਂ ਇਨ੍ਹਾਂ ਆਗੂਆਂ ਨੂੰ ਰੱਜ ਕੇ ਕੋਸਿਆ।
"
"Jaish-e-Mohammed chief Masood Azhar’s brother-in-law Maulana Yusuf Azhar alias Ustad Ghuari was the main target of the Indian Air Force (IAF) strike at Balakot, which is located in Khyber Pakhtunkhwa province of Pakistan.
","ਭਾਰਤੀ ਹਵਾਈ ਸੈਨਾ ਨੇ ਪਾਕਿਸਤਾਨ ਦੇ ਬਾਲਾਕੋਟ ਵਿਚ ਜਿਸ ਅੱਤਵਾਦੀ ਕੈਂਪ ਨੂੰ ਨਿਸ਼ਾਨਾ ਬਣਾਇਆ, ਉਸ ਨੂੂੰ ਜੈਸ਼-ਏ-ਮੁਹੰਮਦ ਦੇ ਮੁੱਖ ਸਰਗਣੇ ਮਸੂਦ ਅਜ਼ਹਰ ਦਾ ਰਿਸ਼ਤੇਦਾਰ ਅਜ਼ਹਰ ਯੂਸਫ ਚਲਾਉਂਦਾ ਸੀ।
"
"Actor Priyanka Chopra attended the wedding ceremony of her brother-in-law Joe Jonas and Game of Thrones star Sophie Turner in France during the weekend in a pink sari.
","'ਗੇਮ ਆਫ ਥ੍ਰੋਨਜ਼' ਸਟਾਰ ਸੋਫੀ ਟਰਨਰ ਤੇ ਅਮਰੀਕੀ ਗਾਇਕ ਜੋ ਜੋਨਸ ਦੇ ਫਰਾਂਸ ਵਿੱਚ ਹੋਏ ਵਿਆਹ ਵਿੱਚ ਅਦਾਕਾਰਾ ਪ੍ਰਿਅੰਕਾ ਚੋਪੜਾ ਭਾਰਤੀ ਲਿਬਾਸ ਵਿੱਚ ਨਜ਼ਰ ਆਈ।
"
"New Delhi: Everyone knows that Salman Khan is planning a big Bollywood debut for his brother-in-law Aayush Sharma, who is married Salman's sister Arpita Khan Sharma.
","ਮੁੰਬਈ: ਇਹ ਤਾਂ ਸਭ ਨੂੰ ਪਤਾ ਹੈ ਕਿ ਸਲਮਾਨ ਖ਼ਾਨ ਦੀ ਭੈਣ ਅਰਪਿਤਾ ਖ਼ਾਨ ਸ਼ਰਮਾ ਦਾ ਪਤੀ ਆਯੁਸ਼ ਸ਼ਰਮਾ ਬਾਲੀਵੁੱਡ ਵਿੱਚ ਕਦਮ ਰੱਖ ਜਾ ਰਿਹਾ ਹੈ।
"
"He accused his brother-in-law of the crime.
","ਉਸਨੇ ਆਪਣੇ ਭਤੀਜੇ ਨੂੰ ਹੀ ਦੋਸ਼ੀ ਬਾਪਿਆ ਸੀ।
"
"BJP leader Sonali Phogat files case against sister, brother-in-law for assault, death threats
","ਬੀਜੇਪੀ ਨੇਤਾ ਸੋਨਾਲੀ ਫੋਗਾਟ ਅਤੇ ਉਸ ਦੇ ਸਾਥੀਆਂ ਖ਼ਿਲਾਫ਼ ਕੇਸ ਦਰਜ
"
"Bharat is produced by Salman's brother-in-law Atul Agnihotri and directed by Ali Abbas Zafar.
","ਇਸ ਫਿਲ‍ਮ ਨੂੰ ਸਲਮਾਨ ਖਾਨ ਦੇ ਜੀਜੇ ਅਤੁੱਲ ਅਗਨੀਹੋਤਰੀ ਪ੍ਰੋਡਿਊਸ ਕਰ ਰਹੇ ਹਨ, ਜਦੋਂ ਕਿ ਇਸਦਾ ਨਿਰਦੇਸ਼ਨ ਡਾਇਰੈਕ‍ਟਰ ਅਲੀ ਅੱਬਾਜ ਜਫਰ ਕਰਨਗੇ।
"
"’ But if the man doesn’t want to marry his sister-in-law, she must go to the elders at the city gate and say, ‘My brother-in-law refuses to preserve his brother’s name in Israel.
","""ਪਰ ਜੇਕਰ ਉਹ ਮਨੁੱਖ ਆਪਣੇ ਭਰਾ ਦੀ ਪਤਨੀ ਨਾਲ ਵਿਆਹ ਕਰਨਾ ਨਾ ਚਾਹੇ, ਤਾਂ ਉਹ ਇਸਤਰੀ ਫਾਟਕ ਉੱਤੇ ਬਜ਼ੁਰਗਾਂ ਕੋਲ ਜਾ ਕੇ ਆਖੇ, """"ਮੇਰੇ ਪਤੀ ਦਾ ਭਰਾ ਆਪਣੇ ਭਰਾ ਦਾ ਨਾਮ ਇਸਰਾਏਲ ਵਿੱਚ ਕਾਇਮ ਰੱਖਣ ਤੋਂ ਮੁੱਕਰਦਾ ਹੈ ।""
"
"Mukhtar Memon, Mirchi’s brother-in-law, was questioned by the ED in connection with the sale of Mirchi’s properties to Sunblink Real Estate Pvt Ltd and Millennium Developers Pvt Ltd.
","ਈ ਡੀ ਨੇ ਇਕਬਾਲ ਮਿਰਚੀ ਦੀਆਂ ਜਾਇਦਾਦਾਂ ਨੂੰ ਸਨਬਲਿੰਕ ਤੇ ਮਿਲੇਨੀਅਮ ਡਿਵੈਲਪਰਜ਼ ਨੂੰ ਵੇਚਣ ਸੰਬੰਧੀ ਇਕਬਾਲ ਮਿਰਚੀ ਦੇ ਭਣੋਈਏ ਮੁਖਤਾਰ ਮੈਨਨ ਤੋਂ ਵੀ ਪੁੱਛਗਿੱਛ ਕੀਤੀ ਸੀ।
"
"Currently, Salman is shooting for his next film Antim: The Final truth, along with his brother-in-law, Aayush Sharma.
","ਸਲਮਾਨ ਆਯੁਸ਼ ਸ਼ਰਮਾ ਦੇ ਨਾਲ ਆਪਣੇ ਅਗਲੇ ਪ੍ਰੋਜੈਕਟ ‘ਅੰਤਿਮ: ਦਿ ਅੰਤਮ ਸੱਚ’ ਦੀ ਸ਼ੂਟਿੰਗ ਕਰ ਰਹੇ ਹਨ ਅਤੇ ਸਿੱਖ ਸਿਪਾਹੀ ਦੀ ਭੂਮਿਕਾ ਨਿਭਾਉਂਦੇ ਨਜ਼ਰ ਆਉਣਗੇ।
"
"Anti-Corruption Bureau (ACB) officials have arrested Vinay Bansal, son of Delhi Chief Minister Arvind Kejriwal’s brother-in-law, in connection with the PWD scam.
","ਦਿੱਲੀ ਦੀ ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਵਿਰੋਧੀ ਇਕਾਈ ਨੇ ਪੀ. ਡਬਲਿਊ.ਡੀ. ਘੁਟਾਲੇ ਵਿਚ ਮੁੱਖ ਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਦੇ ਸਾਂਢੂ ਸੁਰਿੰਦਰ ਬਾਂਸਲ ਦੇ ਬੇਟੇ ਵਿਨੇ ਬਾਂਸਲ ਨੂੰ ਲੰਘੇ ਕੱਲ੍ਹ ਗ੍ਰਿਫਤਾਰ ਕੀਤਾ।
"
"Andhra Pradesh chief minister Chandra Babu Naidu is his brother-in-law.
","ਇਨ੍ਹਾਂ ਦੇ ਨਾਲ ਆਂਧਰਾ ਪ੍ਰਦੇਸ਼ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਚੰਦਰ ਬਾਬੂ ਨਾਇਡੂ ਵੀ ਸ਼ਾਮਲ ਸਨ।
"
"A son and daughter of her brother-in-law are also living with her.
","ਉਨ੍ਹਾਂ ਦੇ ਧੀ ਤੇ ਪੁੱਤ ਵੀ ਉਨ੍ਹਾਂ ਦਾ ਸਾਥ ਦੇ ਰਹੇ ਹਨ।
"
"Apart from Ibrahim Ali Khan, mom Sharmila Tagore, sister Soha Ali Khan, brother-in-law Kunal Khemu and sister-in-law Karisma Kapoor also came to wish Saif on his special day.
","ਇਸ ਖਾਸ ਮੌਕੇ ‘ਤੇ ਸੈਫ ਅਲੀ ਖਾਨ ਦੀ ਭੈਣ ਸੋਹਾ ਅਲੀ ਖਾਨ, ਸੋਹਾ ਅਲੀ ਖਾਨ, ਉਸ ਦਾ ਪਤੀ ਕੁਨਾਲ ਖੇਮੂ, ਕਰਿਸ਼ਮਾ ਕਪੂਰ, ਕਰਿਸ਼ਮਾ ਦੀ ਬੇਟੀ ਸਮਾਇਰਾ, ਸੈਫ ਦਾ ਬੇਟਾ ਇਬਰਾਹਿਮ ਸਾਰੇ ਸ਼ਾਮਲ ਹੋਏ।
"
"Actress Shamita Shetty was also present at the event along with her sister Shilpa Shetty and brother-in-law.
","ਏਕਤਾ ਕਪੂਰ ਦੀ ਪਾਰਟੀ ‘ਚ ਬਾਲੀਵੁੱਡ ਐਕਟਰਸ ਸ਼ਿਲਪਾ ਸ਼ੈਟੀ ਕੁੰਦਰਾ ਅਤੇ ਉਹਨਾਂ ਦੀ ਭੈਣ ਸ਼ਮਿਤਾ ਸ਼ੈਟੀ ਵੀ ਪਹੁੰਚੀ।
"
"A case of dowry death has been registered against her husband Naveen, her mother-in-law and brother-in-law by the police on their complaint.
","ਮਿ੍ਤਕ ਦੀ ਪਤਨੀ ਦੇ ਬਿਆਨਾਂ ਉੱਪਰ ਥਾਣਾ ਨੇਹੀਆਂਵਾਲਾ ਦੀ ਪੁਲਿਸ ਵਲੋਂ ਮਿ੍ਤਕ ਦੇ ਜਵਾਈ, ਉਸ ਦੀ ਮਾਂ, ਭੈਣ ਅਤੇ ਪ੍ਰੇਮਿਕਾ ਖਿਲਾਫ਼ ਮੁਕੱਦਮਾ ਦਰਜ ਕੀਤਾ ਗਿਆ।
"
"Amid those being searched included Kamla Nath's former OSD Pravin Kakkar, former advisor Rajendra Miglani and executives linked to his brother-in-law's firm Moser Bayer and his nephew Ratul Puri's company.
","ਜਿਨ੍ਹਾਂ ਲੋਕਾਂ 'ਤੇ ਛਾਪੇ ਮਾਰੇ ਗਏ ਉਨ੍ਹਾਂ 'ਚ ਕਮਲਨਾਥ ਦੇ ਸਾਬਕਾ ਵਿਸ਼ੇਸ਼ ਅਧਿਕਾਰੀ ਪ੍ਰਵੀਨ ਕੱਕੜ, ਸਾਬਕਾ ਸਲਾਹਕਾਰ ਰਜਿੰਦਰ ਮਿਗਲਾਨੀ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਨਾਲ ਜੁੜੀ ਕੰਪਨੀ ਮੋਜਰ ਬੇਅਰ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਭਣੇਵੇ ਰਾਤੁਲ ਪੁਰੀ ਦੀ ਕੰਪਨੀ ਸ਼ਾਮਲ ਹੈ।
"
"An FIR has been registered against her husband, father-in-law, brother-in-law and others, the police said.
","ਪੁਲਿਸ ਨੇ ਪੀੜਤਾ ਦੀ ਸ਼ਿਕਾਇਤ ਤੇ ਉਸ ਦੇ ਪਤੀ, ਸੱਸ ਅਤੇ ਇਕ ਹੋਰ ਅੌਰਤ ਦੇ ਖਿਲਾਫ਼ ਮਾਮਲਾ ਦਰਜ ਕਰ ਲਿਆ ਹੈ।
"
"“Or perhaps he is suffering from serious amnesia since his party colleagues, including his own brother-in-law Bikram Majithia, had accompanied me to the Governor’s House for submitting the resolution and the three state amendment Bills,” remarked the Chief Minister.
","ਮੁੱਖ ਮੰਤਰੀ ਨੇ ਕਿਹਾ, ‘‘ ਜਾਂ ਸ਼ਾਇਦ ਉਹ ਗੰਭੀਰ ਤੌਰ ’ਤੇ ਭੁੱਲਣ ਦੀ ਬਿਮਾਰੀ ਦੇ ਸ਼ਿਕਾਰ ਹਨ ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਦੀ ਪਾਰਟੀ ਦੇ ਸਾਥੀ ਜਿਸ ਵਿੱਚ ਬਿਕਰਮ ਸਿੰਘ ਮਜੀਠੀਆ ਵੀ ਸ਼ਾਮਲ ਸਨ, ਮੇਰੇ ਨਾਲ ਮਤਾ ਅਤੇ ਤਿੰਨਾਂ ਸੂਬਾਈ ਸੋਧ ਬਿਲਾਂ ਨੂੰ ਰਾਜਪਾਲ ਨੂੰ ਸੌਂਪਣ ਲਈ ਰਾਜਭਵਨ ਗਏ ਸਨ।
"
"Bikram Singh Majithia is Union minister Harsimrat Kaur Badal’s brother and brother-in-law of Deputy CM Sukhbir Singh Badal.
","ਯਾਦ ਰਹੇ ਮਜੀਠੀਆ ਮੁੱਖ ਮੰਤਰੀ ਪ੍ਰਕਾਸ਼ ਸਿੰਘ ਬਾਦਲ ਦੀ ਨੂੰਹ ਹਰਸਿਮਰਤ ਕੌਰ ਕੇਂਦਰੀ ਮੰਤਰੀ ਦੇ ਭਰਾ ਹਨ।
"
"An FIR has been registered against her husband, father-in-law, brother-in-law and others, the police said.
","ਪੁਲਸ ਪਤਨੀ, ਉਸ ਦੀ ਭੈਣ, ਮਾਤਾ ਪਿਤਾ ਤੇ ਹੋਰਨਾਂ ਖ਼ਿਲਾਫ਼ ਆਤਮ ਹੱਤਿਆ ਲਈ ਮਜਬੂਰ ਕਰਨ ਦਾ ਮਾਮਲਾ ਦਰਜ ਕਰ ਲਿਆ ਹੈ।
"
"Police have arrested woman's father, brother-in-law, borther and another person in connection with the case.
","ਪੁਲਿਸ ਨੇ ਮਿ}ਕ ਲੜਕੀ ਦੀ ਮਾਤਾ ਦੇ ਬਿਆਨ ਤੇ ਉਸ ਦੇ ਪਤੀ, ਸੱਸ ਅਤੇ ਇਕ ਹੋਰ ਵਿਅਕਤੀ ਖਿਲਾਫ ਮਾਮਲਾ ਦਰਜ ਕਰ ਲਿਆ ਹੈ।
"
"The TMC MP had also said Sekhawat is the son of Dhankhar's brother-in-law, and Ruchi Dubey and Prasant Diksit are respectively wife and brother of his former aide-de-camp (ADC) Major Gorang Diksit.
","ਟੀਐੱਮਸੀ ਸੰਸਦ ਮੈਂਬਰ ਨੇ ਕਿਹਾ ਕਿ ਅਭਿਉਦਏ ਸਿੰਘ ਸ਼ੇਖਾਵਤ, ਧਨਖੜ ਕੇ ਜੀਜੇ ਦਾ ਪੁੱਤਰ ਹੈ ਜਦਕਿ ਰੁਚੀ ਦੂਬੇ ਉਨ੍ਹਾਂ ਦੇ ਸਾਬਕਾ ਏਡੀਸੀ ਮੇਜਰ ਗੋਰਾਂਗ ਦੀਕਸ਼ਿਤ ਦੀ ਪਤਨੀ ਅਤੇ ਪ੍ਰਸ਼ਾਂਤ ਦੀਕਸ਼ਿਤ ਭਰਾ ਹੈ।
"
"Jalal Khan had despatched hts nephew,Hazbar Khan,and his brother-in-law, Ghulam Mohammad Khan, to go ahead and mect the Sikhs and drive them back.
","ਜਲਾਲ ਖਾਂ ਨੇ ਆਪਣੇ ਪੋਤਰੇ ਗ਼ੁਲਾਮ ਮੁਹੰਮਦ ਖਾਂ ਅਤੇ ਭਤੀਜੇ ਹੱਯਬਰ ਖਾਂ ਨੂੰ ਸਿੰਘਾਂ ਦਾ ਮੁਕਾਬਲਾ ਕਰਨ ਲਈ ਭੇਜਿਆ ।
"
"Vadra is Congress President Rahul Gandhi’s brother-in-law and the husband of party general secretary Priyanka Gandhi.
","ਰਾਹੁਲ ਗਾਂਧੀ ਦੇ ਇਸ ਫੈਸਲੇ ਦਾ ਪਾਰਟੀ ਦੀ ਜਨਰਲ ਸਕੱਤਰ ਅਤੇ ਰਾਹੁਲ ਦੀ ਭੈਣ ਪ੍ਰਿਅੰਕਾ ਨੇ ਸਮਰਥਨ ਕੀਤਾ ਹੈ।
"
