eng_Latn,pan_Guru
"A 56-year-old man from the city of La Paz, who contracted the disease, with his nephew who came from Germany .
","ਲਾ ਪਾਜ਼ ਸ਼ਹਿਰ ਦਾ ਇੱਕ 56 ਸਾਲਾ ਵਿਅਕਤੀ, ਜਿਸ ਨੂੰ ਆਪਣੇ ਭਤੀਜੇ ਤੋਂ ਇਸ ਬਿਮਾਰੀ ਦਾ ਛੂਤ ਲੱਗਿਆ, ਜੋ ਜਰਮਨੀ ਤੋਂ ਆਇਆ ਸੀ।
"
"A person can sponsor orphan brothers, sisters, and nephews if they meet the following requirements.
","ਕੋਈ ਵਿਅਕਤੀ ਅਨਾਥ ਭਰਾਵਾਂ, ਭੈਣਾਂ ਅਤੇ ਭਤੀਜਿਆਂ ਨੂੰ ਸਪਾਂਸਰ ਕਰ ਸਕਦਾ ਹੈ ਜੇ ਉਹ ਹੇਠ ਲਿਖੀਆਂ ਸ਼ਰਤਾਂ ਪੂਰੀਆਂ ਕਰਦਾ ਹੈ.
"
"All children who live in your home, including foster children, grandchildren, nieces and nephews, and the children of friends (even if they are living with you temporarily)
","ਤੁਹਾਡੇ ਘਰ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਸਾਰੇ ਬੱਚੇ, ਫੋਸਟਰ ਬੱਚਿਆਂ, ਪੋਤੇ-ਪੋਤਿਆਂ/ਨਾਤੇ-ਨਾਤੀਆਂ, ਭਤੀਜੇ ਅਤੇ ਭਤੀਜਿਆਂ, ਅਤੇ ਦੋਸਤਾਂ ਦੇ ਬੱਚੇ (ਭਾਵੇਂ ਉਹ ਤੁਹਾਡੇ ਕੋਲ ਅਸਥਾਈ ਤੌਰ 'ਤੇ ਹੀ ਰਹੇ ਹੋਣ) ।
"
"All children who live in your home, including foster children, grandchildren, nieces and nephews, and the children of friends (even if they are living with you temporarily).
","ਤੁਹਾਡੇ ਘਰ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਸਾਰੇ ਬੱਚੇ, ਫੋਸਟਰ ਬੱਚਿਆਂ, ਪੋਤੇ-ਪੋਤਿਆਂ/ਨਾਤੇ-ਨਾਤੀਆਂ, ਭਤੀਜੇ ਅਤੇ ਭਤੀਜਿਆਂ, ਅਤੇ ਦੋਸਤਾਂ ਦੇ ਬੱਚੇ (ਭਾਵੇਂ ਉਹ ਤੁਹਾਡੇ ਕੋਲ ਅਸਥਾਈ ਤੌਰ 'ਤੇ ਹੀ ਰਹੇ ਹੋਣ) ।
"
"Anaya Azim joined the Berlin protest, to get her sister and her niece and nephew back.
","ਅਨਯਾ ਅਜ਼ੀਮ ਆਪਣੀ ਭੈਣ ਅਤੇ ਉਸਦੀ ਭਤੀਜੀ ਅਤੇ ਭਤੀਜੇ ਨੂੰ ਵਾਪਸ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ ਬਰਲਿਨ ਦੇ ਪ੍ਰਦਰਸ਼ਨ ਵਿਚ ਸ਼ਾਮਲ ਹੋ ਗਈ.
"
"Bollywood actor, Salman Khan loves his niece and nephews a lot.
","ਬਾਲੀਵੁੱਡ ਦੇ ਸੁਲਤਾਨ ਸਲਮਾਨ ਖ਼ਾਨ ਆਪਣੀਆਂ ਭੈਣਾਂ ਨੂੰ ਬੇਹੱਦ ਪਿਆਰ ਕਰਦੇ ਹਨ।
"
"Bryan and Boyer had two children and adopted three more (his two nieces and nephew) after a family tragedy.
","ਬ੍ਰਾਇਨ ਅਤੇ ਬੋਅਰ ਦੇ ਦੋ ਬੱਚੇ ਸਨ ਅਤੇ ਇੱਕ ਪਰਿਵਾਰਕ ਦੁਖਾਂਤ ਤੋਂ ਬਾਅਦ ਤਿੰਨ ਹੋਰ (ਉਸ ਦੀਆਂ ਦੋ ਭਤੀਜੀਆਂ ਅਤੇ ਭਤੀਜੇ) ਨੂੰ ਗੋਦ ਲਿਆ.
"
"He also worked with his nephew Otto Robert Frish.
","ਉਸਨੇ ਆਪਣੇ ਭਤੀਜੇ toਟੋ ਰਾਬਰਟ ਫਰਿਸ਼ ਨਾਲ ਵੀ ਕੰਮ ਕੀਤਾ.
"
"He was the nephew of Indian Nobel Laureate Sir C. V. Raman.
","ਉਹ ਨੋਬਲ ਪੁਰਸਕਾਰ ਜੇਤੂ ਭੌਤਿਕ ਵਿਗਿਆਨੀ ਸਰ ਸੀ.ਵੀ. ਰਮਨ ਦੇ ਭਤੀਜੇ ਸਨ।
"
"He was welcomed back and shared the throne with his nephew Magnus.
","ਉਸਦਾ ਵਾਪਸ ਸਵਾਗਤ ਕੀਤਾ ਗਿਆ ਅਤੇ ਆਪਣੇ ਭਤੀਜੇ ਮੈਗਨਸ ਨਾਲ ਗੱਦੀ ਸਾਂਝੀ ਕੀਤੀ.
"
"His nephew, Pliny the Younger, wrote of him in a letter to the historian Tacitus:
","ਉਸ ਦੇ ਨੈਫਿਊ, ਪਲੀਨੀ ਜੂਨੀਅਰ ਨੇ ਇਤਿਹਾਸਕਾਰ ਟੈਸੀਟਸ ਨੂੰ ਇੱਕ ਪੱਤਰ ਵਿੱਚ ਉਸ ਬਾਰੇ ਲਿਖਿਆਃ
"
"His own son, Vishal, his nephew (a juvenile) and a special police officer, Deepak Khajuria, are also accused of raping her and are among the 8 men who were arrested by Crime Branch.
","ਉਸ ਦਾ ਆਪਣਾ ਬੇਟਾ ਵਿਸ਼ਾਲ, ਉਸ ਦਾ ਭਾਣਜਾ (ਇਕ ਨਾਬਾਲਗ) ਅਤੇ ਇਕ ਵਿਸ਼ੇਸ਼ ਪੁਲਸ ਅਧਿਕਾਰੀ ਦੀਪਕ ਖਜੂਰੀਆ ਵੀ ਬਲਾਤਕਾਰ ਦੇ ਦੋਸ਼ੀ ਹਨ ਅਤੇ ਉਹ ਅਪਰਾਧ ਸ਼ਾਖਾ ਦੁਆਰਾ ਗ੍ਰਿਫਤਾਰ ਕੀਤੇ ਗਏ ਅੱਠ ਵਿਅਕਤੀਆਂ ਵਿੱਚ ਹਨ।
"
"His own son, Vishal, his nephew (a juvenile) and a special police officer, Deepak Khajuria, are also accused of raping her and are among the eight men who were arrested by Crime Branch.
","ਉਸ ਦਾ ਆਪਣਾ ਬੇਟਾ ਵਿਸ਼ਾਲ, ਉਸ ਦਾ ਭਾਣਜਾ (ਇਕ ਨਾਬਾਲਗ) ਅਤੇ ਇਕ ਵਿਸ਼ੇਸ਼ ਪੁਲਸ ਅਧਿਕਾਰੀ ਦੀਪਕ ਖਜੂਰੀਆ ਵੀ ਬਲਾਤਕਾਰ ਦੇ ਦੋਸ਼ੀ ਹਨ ਅਤੇ ਉਹ ਅਪਰਾਧ ਸ਼ਾਖਾ ਦੁਆਰਾ ਗ੍ਰਿਫਤਾਰ ਕੀਤੇ ਗਏ ਅੱਠ ਵਿਅਕਤੀਆਂ ਵਿੱਚ ਹਨ।
"
"His personal son, Vishal, his nephew (a juvenile) and a particular police officer, Deepak Khajuria, are additionally accused of raping her and are among the many Eight males who had been arrested by Crime Department.
","ਉਸ ਦਾ ਆਪਣਾ ਬੇਟਾ ਵਿਸ਼ਾਲ, ਉਸ ਦਾ ਭਾਣਜਾ (ਇਕ ਨਾਬਾਲਗ) ਅਤੇ ਇਕ ਵਿਸ਼ੇਸ਼ ਪੁਲਸ ਅਧਿਕਾਰੀ ਦੀਪਕ ਖਜੂਰੀਆ ਵੀ ਬਲਾਤਕਾਰ ਦੇ ਦੋਸ਼ੀ ਹਨ ਅਤੇ ਉਹ ਅਪਰਾਧ ਸ਼ਾਖਾ ਦੁਆਰਾ ਗ੍ਰਿਫਤਾਰ ਕੀਤੇ ਗਏ ਅੱਠ ਵਿਅਕਤੀਆਂ ਵਿੱਚ ਹਨ।
"
"I am his great nephew.
","ਮੈਂ ਉਸਦਾ ਵੱਡਾ ਜਵਾਈ ਆਂ।
"
"I don't know your nephew.
","ਮੈਂ ਤੇਰੇ ਓੜਕ ਨੂੰ ਨਹੀਂ ਜਾਣਦਾ।
"
"If only your nieces and nephews are living, they share equally.
","ਜੇ ਕੇਵਲ ਤੁਹਾਡੇ ਭਤੀਜੇ ਤੇ ਭਤੀਜੀਆਂ ਰਹਿ ਰਹੇ ਹਨ, ਉਹ ਇੱਕਸਮਾਨ ਹਿੱਸਾ ਵੰਡ ਲੈਂਦੇ ਹਨ।
"
"Laxman was born in Hyderabad, Telangana.[6][7] Laxman's parents are noted physicians Dr. Shantaram and Dr. Satyabhama of Vijayawada.[8] Laxman is the great grand nephew of India's second President Dr. Sarvepalli Radhakrishnan.[7]
","[9] ਲਕਸ਼ਮਣ ਦੇ ਮਾਪੇ ਵਿਜੇਵਾੜਾ ਦੇ ਪ੍ਰਸਿੱਧ ਡਾਕਟਰ ਹਨ ਅਤੇ[10] ਲਕਸ਼ਮਣ ਭਾਰਤ ਦੇ ਦੂਜੇ ਰਾਸ਼ਟਰਪਤੀ ਡਾ. ਸਰਵਪੱਲੀ ਰਾਧਾਕ੍ਰਿਸ਼ਨਨ ਦੇ ਮਹਾਨ ਭਤੀਜੇ ਹਨ।
"
"Maharani Uthrittathi Thirunal Gowri Parvati Bayi (1802-1853) was the Regent of the Indian state of Travancore who succeeded her sister Maharani Gowri Lakshmi Bayi from 1815 till her regency was relinquished in favour of her nephew, Maharajah Swathi Thirunal, in 1829.
","ਉਥਰੀਟਿਥ ਤੀਰੁਨਾਲ ਗੌਰੀ ਪਾਰਵਤੀ ਬਾਈ (1802-1853) ਭਾਰਤੀ ਰਾਜ ਤਰਾਵਣਕੋਰ ਦੀ ਰੀਜੈਂਟ ਸੀ, ਜਿਸ ਨੇ 1815 ਵਿੱਚ ਆਪਣੀ ਭੈਣ ਮਹਾਰਾਣੀ ਗੌਰੀ ਲਕਸ਼ਮੀ ਬਾਈ ਦੇ ਬਾਅਦ ਇਸ ਪਦਵੀ ਤੇ ਬਿਰਾਜਮਾਨ ਹੋਈ ਅਤੇ 1829 ਵਿੱਚ ਆਪਣੇ ਭਤੀਜੇ, ਮਹਾਰਾਜ ਸਵਾਥੀ ਥਿਰੁਨਲ ਦੇ ਪੱਖ ਵਿੱਚ ਸੇਵਾਮੁਕਤ ਹੋਣ ਤੱਕ ਅਹੁਦੇ ਤੇ ਰਹੀ।
"
"Meanwhile, although absent from Poland, he was elected canon of Frauenburg, and his uncle accepted the position by proxy of his nephew, who would not take office until 1501.
","ਹਾਲਾਂਕਿ, ਪੋਲੈਂਡ ਤੋਂ ਗ਼ੈਰਹਾਜ਼ਰ ਹੋਣ ਦੇ ਬਾਵਜੂਦ, ਉਹ ਫ੍ਰੂਏਨਬਰਗ ਦਾ ਕੈਨਨ ਚੁਣਿਆ ਗਿਆ, ਅਤੇ ਉਸਦੇ ਚਾਚੇ ਨੇ ਆਪਣੇ ਭਤੀਜੇ ਦੀ ਪ੍ਰੌਕਸੀ ਦੁਆਰਾ ਇਸ ਅਹੁਦੇ ਨੂੰ ਸਵੀਕਾਰ ਕਰ ਲਿਆ, ਜੋ 1501 ਤੱਕ ਅਹੁਦਾ ਨਹੀਂ ਲਵੇਗਾ।
"
"My nephew is in the police.
","ਮੇਰੇ ਵੱਡੇ ਭਰਾ ਪੁਲਿਸ ਵਿੱਚ ਹੈ।
"
"One of her nephews was Shanti Dasgupta, MLA, who was an education minister in the Government of West Bengal (1972-77).
","ਉਸਦੀ ਭਤੀਜੀ, ਸ਼ਾਂਤੀ ਦਾਸਗੁਪਤਾ, ਇਕ ਵਿਧਾਇਕ (ਐਮਐਲਏ) ਸੀ, ਜੋ ਪੱਛਮੀ ਬੰਗਾਲ ਦੀ ਸਰਕਾਰ (1972-77) ਵਿੱਚ ਸਿੱਖਿਆ ਮੰਤਰੀ ਸੀ।
"
"One of her nephews, Prasanna Sujit, is also a film choreographer.
","ਉਸਦੀ ਇੱਕ ਭਤੀਜੀ, ਪ੍ਰਸੰਨਾ ਸੁਜੀਤ ਵੀ ਫ਼ਿਲਮ ਕੋਰੀਓਗ੍ਰਾਫਰ ਹੈ।
"
"Pliny's dates are pinned to the eruption of Mount Vesuvius in AD 79 and a statement by his nephew that he died in his 56th year, which would put his birth in AD 23 or 24.
","ਪਲੀਨੀ ਦੀਆਂ ਜਨਮ ਮਰਨ ਦੀਆਂ ਤਾਰੀਖ਼ਾਂ, 79 ਈ. ਵਿੱਚ ਵੇਸੂਵੀਅਸ ਪਹਾੜ ਦੇ ਫੱਟਣ ਤੋਂ ਅਤੇ ਆਪਣੇ ਨੈਫਿਊ ਦੇ ਇੱਕ ਬਿਆਨ ਤੋਂ ਅਨੁਮਾਨਿਤ ਹਨ ਜਿਸ ਵਿੱਚ ਉਸ ਨੇ ਕਿਹਾ ਸੀ ਕਿ ਉਹ ਆਪਣੇ 56 ਵੇਂ ਸਾਲ ਵਿੱਚ ਅਕਾਲ ਚਲਾਣਾ ਕਰ ਗਿਆ ਸੀ, ਜਿਸ ਤੋਂ ਉਸ ਦਾ ਜਨਮ 23 ਜਾਂ 24 ਈਸਵੀ ਬਣਦਾ ਹੈ।
"
"Pliny's dates are pinned to the eruption of Mount Vesuvius in AD 79 and a statement of his nephew that he died in his 56th year, which would put his birth in AD 23 or 24.
","ਪਲੀਨੀ ਦੀਆਂ ਜਨਮ ਮਰਨ ਦੀਆਂ ਤਾਰੀਖ਼ਾਂ, 79 ਈ. ਵਿੱਚ ਵੇਸੂਵੀਅਸ ਪਹਾੜ ਦੇ ਫੱਟਣ ਤੋਂ ਅਤੇ ਆਪਣੇ ਨੈਫਿਊ ਦੇ ਇੱਕ ਬਿਆਨ ਤੋਂ ਅਨੁਮਾਨਿਤ ਹਨ ਜਿਸ ਵਿੱਚ ਉਸ ਨੇ ਕਿਹਾ ਸੀ ਕਿ ਉਹ ਆਪਣੇ 56 ਵੇਂ ਸਾਲ ਵਿੱਚ ਅਕਾਲ ਚਲਾਣਾ ਕਰ ਗਿਆ ਸੀ, ਜਿਸ ਤੋਂ ਉਸ ਦਾ ਜਨਮ 23 ਜਾਂ 24 ਈਸਵੀ ਬਣਦਾ ਹੈ।
"
"Pliny's dates are pinned to the eruption of Mount Vesuvius in AD 79 and a statement of his nephew that he died in his 56th year, which would put his birth in AD 23 or 24..
","ਪਲੀਨੀ ਦੀਆਂ ਜਨਮ ਮਰਨ ਦੀਆਂ ਤਾਰੀਖ਼ਾਂ, 79 ਈ. ਵਿੱਚ ਵੇਸੂਵੀਅਸ ਪਹਾੜ ਦੇ ਫੱਟਣ ਤੋਂ ਅਤੇ ਆਪਣੇ ਨੈਫਿਊ ਦੇ ਇੱਕ ਬਿਆਨ ਤੋਂ ਅਨੁਮਾਨਿਤ ਹਨ ਜਿਸ ਵਿੱਚ ਉਸ ਨੇ ਕਿਹਾ ਸੀ ਕਿ ਉਹ ਆਪਣੇ 56 ਵੇਂ ਸਾਲ ਵਿੱਚ ਅਕਾਲ ਚਲਾਣਾ ਕਰ ਗਿਆ ਸੀ, ਜਿਸ ਤੋਂ ਉਸ ਦਾ ਜਨਮ 23 ਜਾਂ 24 ਈਸਵੀ ਬਣਦਾ ਹੈ।
"
"Pliny's dates are pinned to the eruption of mount vesuvius in ad 79 and a statement of his nephew that he died in his 56th year, which would put his birth in ad 23 or 24.
","ਪਲੀਨੀ ਦੀਆਂ ਜਨਮ ਮਰਨ ਦੀਆਂ ਤਾਰੀਖ਼ਾਂ, 79 ਈ. ਵਿੱਚ ਵੇਸੂਵੀਅਸ ਪਹਾੜ ਦੇ ਫੱਟਣ ਤੋਂ ਅਤੇ ਆਪਣੇ ਨੈਫਿਊ ਦੇ ਇੱਕ ਬਿਆਨ ਤੋਂ ਅਨੁਮਾਨਿਤ ਹਨ ਜਿਸ ਵਿੱਚ ਉਸ ਨੇ ਕਿਹਾ ਸੀ ਕਿ ਉਹ ਆਪਣੇ 56 ਵੇਂ ਸਾਲ ਵਿੱਚ ਅਕਾਲ ਚਲਾਣਾ ਕਰ ਗਿਆ ਸੀ, ਜਿਸ ਤੋਂ ਉਸ ਦਾ ਜਨਮ 23 ਜਾਂ 24 ਈਸਵੀ ਬਣਦਾ ਹੈ।
"
"Scrooge's first appearance in animated form (save for a brief Mickey Mouse Club television series cameo) was in Disney's 1967 theatrical short Scrooge McDuck and Money (voiced by Bill Thompson), in which he teaches his nephews basic financial tips.[48]
","ਸਕ੍ਰੌਜ ਦੀ ਐਨੀਮੇਟਡ ਰੂਪ ਵਿੱਚ ਪਹਿਲੀ ਦਿੱਖ (ਇੱਕ ਸੰਖੇਪ ਲਈ ਸੁਰੱਖਿਅਤ ਕਰੋ ਮਿਕੀ ਮਾouseਸ ਕਲੱਬ ਟੈਲੀਵਿਜ਼ਨ ਲੜੀਵਾਰ ਕੈਮੀਓ [54]) ਡਿਜ਼ਨੀ ਦੇ 1967 ਦੇ ਥੀਏਟਰਿਕ ਸ਼ੌਰਟ ਵਿੱਚ ਸੀ ਸਕਰੂਜ ਮੈਕਡਕ ਅਤੇ ਪੈਸਾ (ਬਿਲ ਥੌਮਸਨ ਦੁਆਰਾ ਆਵਾਜ਼ ਦਿੱਤੀ ਗਈ), ਜਿਸ ਵਿੱਚ ਉਹ ਆਪਣੇ ਭਤੀਜਿਆਂ ਨੂੰ ਬੁਨਿਆਦੀ ਵਿੱਤੀ ਸੁਝਾਅ ਸਿਖਾਉਂਦਾ ਹੈ.
"
