eng_Latn,mar_Deva
"In 1460 Prince Henry the Navigator died, but work continued at Sagres under the direction of Henry's nephew, King John II of Portugal.
","1460 मध्ये प्रिन्स हेन्री निगेटरचे निधन झाले परंतु हेन्रीचे भाचे, पोर्तुगालचा राजा जॉन दुसरा याच्या दिशेने सागरस येथे काम चालू राहिले.
"
"In 1984, answering the question of his young nephew about the necessity of studying at the university, he cited several different points of view, giving the young man the right to choose.
","1984 मध्ये, त्याच्या तरुण पुतण्याकडे बद्दल एक प्रश्न प्रतिसाद विद्यापीठ अभ्यास, तो तरुण पुरुष निवड देणे, दृश्य विविध गुण अनेक नेतृत्व आवश्यक आहे.
"
"In such a situation, how can Fadnavis' nephew who is less than 45 years of age get vaccinated?
","""""""फडणवीस यांच्या 45 वर्षांपेक्षा कमी वय असलेल्या पुतण्याला लस मिळतेच कशी?""
"
"In this video, bonding between Salman Khan and his nephews is looking very tremendous.
","या व्हिडिओमध्ये सलमान खान आणि त्याचे पुतणे यांचे आपापसातले बॉन्डिंग खूप छान असल्याचे दिसत आहे.
"
"Indore: A 40 years old woman married 18 years old nephew of husband and ran away with him abandoning her husband and two sons.
","इंदूर - 40 वर्षीय एका महिलेने दोन मुले आणि पतीला सोडून आपल्या 18 वर्षांच्या भाच्याशी लग्न केले.
"
"Iqdal and his nephew sold items to undercover officers at least four times in April and May 2018 before the pair were arrested and taken to court.
","या जोडप्याला अटक करुन न्यायालयात नेण्यापूर्वी इकडल आणि त्याचा पुतण्याने एप्रिल आणि मे 2018 मध्ये किमान चार वेळा गुप्तहेर अधिका officers्यांना वस्तू विकल्या.
"
"Ishan is the nephew of Mr. Hooda and is married to Preet.
","ईशान हा श्री. हुडा यांचा पुतण्या आहे आणि त्याने प्रीतसोबत विवाह केला आहे.
"
"It was he who read the very young nephew Bible, poems of Taras Shevchenko, the prose of Leo Tolstoy, Alexander Pushkin and other famous writers.
","तोच तरूण भाषणाचा बायबल, तारस शेवचेंकोच्या कविता, लिओ टॉल्स्टॉयच्या गद्य, अलेक्झांडर पुश्किन आणि इतर प्रसिद्ध लेखक वाचत होता.
"
"Janata Dal-Secular (JDS) leader Puttaraju said three teams of Income Tax officials and Central Reserve Police Force (CRPF) personnel carried out raids at his Chinnakurli residence in Mandya and his nephew's house in Mysuru.
","जनता दल-एस नेते पुट्टाराजू म्हणाले की, प्राप्तिकर विभागाचे तीन पथक आणि सीआरपीएफच्या जवानांनी मांड्या येथे त्यांच्या चिन्नाकुरली आणि म्हैसुरूमध्ये त्यांच्या पुतण्याच्या घरी छापे टाकले.
"
"King Salman of Saudi Arabia removed the current Cross Prince and his nephew Mohammad bin Nayf (57) from his post.
","नवी दिल्ली - सौदी अरबचे किंग सलमान यांनी सध्याचे क्राऊन प्रिन्स आणि आपला पुतण्या मोहम्मद बिन नायेफ (57) यांना पदावरून हटवले आहे.
"
"Middleton, sister of Kate, Duchess of Cambridge, married hedge fund manager James Matthews in a Saturday ceremony where her niece and nephew Prince George and Princess Charlotte were in the wedding party, along with sister Kate and prince Harry and William.
","कॅथरीनची बहीण मिडलटन, डचेस ऑफ केंब्रिजने शनिवारी एका समारंभात हेज फंड व्यवस्थापक जेम्स मॅथ्यूजशी लग्न केले जेथे तिची भाची आणि पुतण्या प्रिन्स जॉर्ज आणि राजकुमारी शार्लोट लग्नाच्या मेजवानीत बहीण केट आणि राजकुमार हॅरी आणि विल्यमसह होते.
"
"Middleton, the sister of Catherine, Duchess of Cambridge married hedge fund manager James Matthews in a ceremony Saturday where her niece and nephew Prince George and Princess Charlotte was in the wedding party, along with sister Kate and princes Harry and William.
","कॅथरीनची बहीण मिडलटन, डचेस ऑफ केंब्रिजने शनिवारी एका समारंभात हेज फंड व्यवस्थापक जेम्स मॅथ्यूजशी लग्न केले जेथे तिची भाची आणि पुतण्या प्रिन्स जॉर्ज आणि राजकुमारी शार्लोट लग्नाच्या मेजवानीत बहीण केट आणि राजकुमार हॅरी आणि विल्यमसह होते.
"
"My Dad, Sister, Brother-in-law, 2 nieces, and 1 nephew all live together in one house.
","आई, बाबा, १ बहीण, २ भाऊ आणि आमची आजी, आम्ही सगळे एकाच घरात राहतो.
"
"My mom, dad, siblings and nephews live there.
","माझे काका-काकू, आजी-आजोबा आणि आई-वडील तेथे राहात होते.
"
"My nephew and I are only two years apart.
","मी आणि माझा भाऊ आमच्यात केवळ दोनच वर्षाचं अंतर.
"
"My nephew had to go into hospital suddenly.
","माझ्या मुलाला अचानक रुग्णालयात दाखल करावे लागले.
"
"My nephew is 15 months.
","माझी भाची १५ महीन्यांची आहे.
"
"My nephew is getting married in December.
","माझी बहिण डिसेंबरमध्ये लग्न करणार आहे.
"
"My nephew is in high school.
","माझा धाकटा भाऊ हायस्कूल मध्ये आहे.
"
"My niece and nephew are not even going to school.
","माझं पोरगं आणि पोरगीही शाळेत जात नाहीय.
"
"Played with my two nephews.
","माझ्या दोन छोटय़ा नातींबरोबर खेळतो.
"
"Randhir Kapoor has confirmed that his nephew Ranbir Kapoor isn't well' but isn't sure if it's COVID; READ ON
","Actor Ranbir Kapoor Is Unwell Confirms His Uncle Randhir Kapoor, But Says I Am Not Sure What He Has Got _ रणबीर कपूरची प्रकृती बिघडली, काका रणधीर म्हणाले - त्याला नेमके काय झाले ठाऊक नाही, पण कोविड पॉझिटिव्ह असण्याची शक्यता आहे - Divya Marathi
"
"Recently, Salman Khan has shared a video with his Twitter account, in which he is appearing to have fun with his family and nephews.
","अशातच सलमान खानने आपल्या ट्विटर अकाउंटवरून एक व्हिडीओ शेअर केला आहे, ज्यामध्ये तो आपले कुटुंब आणि पुतण्यांसोबत मस्ती करताना दिसत आहे.
"
"Salman Khan was accompanied by his nephew Nirvaan Khan.
","पार्टीत सोहेल खान मुलगा निर्वाण खानसोबत पोहोचला.
"
"Sathiamurthy, her husband, daughter and nephew were arrested on October 13, 2009 following a 10-month investigation by police.
","पोलिसांनी या प्रकरणी तब्बल १० महिने केलेल्या सखोल चौकशीनंतर डॉ. सत्यमूर्ती, त्यांचे पती, मुलगी आणि भाच्याला १३ ऑक्टोबरला अटक केली.
"
"Sridevi had been to Dubai with her family to attend her nephew's wedding.
","एका लग्न समारंभासाठी दुबई या ठिकाणी श्रीदेवी तिच्या कुटुंबीयांसह गेली होती.
"
"Thank you for being the best nephew ever.
","तुमचा आतापर्यंतचा सर्वात चांगला भाऊ असल्याबद्दल धन्यवाद.
"
"The 21-year-old Imam is the nephew of Inzamam-ul-Haq, the former captain, and Pakistan's current chief selector.
","23 वषीय इमाम-उल हक हा पाकचा माजी कर्णधार आणि विद्यमान निवड समिती प्रमुख इंझमाम-उल हक याचा पुतण्या आहे.
"
"The man's nephew shared the video on Twitter.
","दोन्ही भावांनी हा व्हिडीओ ट्विटरवर शेअर केलाय.
"
"The photo was taken by nephew.
","फोटो नाय बुवा काढले.
"
"The police have registered the case against the mother, her sister and nephew and have started investigation.
","पोलिसांनी मुलगी, तिची आई आणि वडिलांना ताब्यात घेऊन या प्रकरणाचा तपास सुरू केला आहे.
"
"The yesteryear actor Krishnam Raju said his nephew Prabhas might get married this year.
","प्रभासचे काका कृष्णम राजू यांनी सांगितलं की, प्रभास याच वर्षी लग्न करु शकतो.
"
"Today, the institution has a nephew Lusena Barrier, which is named in honor of the gambling establishment.
","आज, संस्थेचे भगिनी लुसेना बॅरियर आहे, ज्यात जुगार स्थापनेच्या सन्मानार्थ नाव देण्यात आले आहे.
"
"Two of those nephews lost their lives.
","त्यात या दोन आतेबहिणींना आपला जीव गमवावा लागला.
"
"Was the Nationalist Congress party (NCP) leader really not aware of the negotiations that his nephew Ajit Pawar was having with the BJP?
","पुतणे अजित पवार भाजपसोबत चर्चा करीत आहेत, हे राष्ट्रवादी काँग्रेसचे सर्वेसर्वा असलेल्या पवारांना खरोखरच माहीत नव्हते ?
"
"Was the Nationalist Congress party (NCP) leader really not aware of the negotiations that his nephew Ajit Pawar was having with the Bharatiya Janata Party (BJP)?
","पुतणे अजित पवार भाजपसोबत चर्चा करीत आहेत, हे राष्ट्रवादी काँग्रेसचे सर्वेसर्वा असलेल्या पवारांना खरोखरच माहीत नव्हते ?
"
"Yataro's brother, son and nephew expanded the business into various fields during their respective firms as president and set the foundation of the Mitsubishi companies.
","Yataro भाऊ, मुलगा व एक पुतण्या अध्यक्ष म्हणून त्यांच्या संबंधित अटी दरम्यान विविध क्षेत्रात मध्ये व्यवसाय वाढविण्यात आली आणि मित्सुबिशी कंपन्या पाया सेट.
"
"Deputy chief minister and the NCP chief’s nephew Ajit Pawar, however, downplayed the issue.
","दरम्यान यावरून राष्ट्रवादीचे नेते आणि उपमुख्यमंत्री अजित पवार यांनी जोरदार टीका केली आहे.
"
"NCP MP Supriya Sule and NCP MLA Rohit Pawar (grand nephew of Sharad Pawar) were also present.
","खासदार सुप्रिया सुळे व नवनिर्वाचित आमदार रोहित पवार हेही यावेळी उपस्थित होते.
"
"Justice Dipak Mishra is the nephew of former CJI Justice Ranganath Mishra.
","* सरन्यायाधीश दीपक मिश्रा यांचे काका रंगनाथ मिश्रा हे देखील सरन्यायाधीश होते.
"
"Also, the man stressed that he and his nephews have repeatedly turned to the famous aunt, but she ignores calls and messages.
","त्याचबरोबर, त्यानं असं म्हटलं की तो आणि त्याच्या भगिनींनी वारंवार प्रसिद्ध मावशीकडे वळले आहे, परंतु ते कॉल आणि संदेश दुर्लक्ष करतात.
"
"Music Composer Mannan Shaah, the nephew of popular filmmaker Vipul Amrutlal Shah, is producing Roop Nagar Ke Cheetey, under his newly formed banner 'ACE Entertainment'.
","बॅालीवुडमधील सुप्रसिद्ध फिल्ममेकर विपुल अमृतलाल शाह यांचे पुतणे संगीतकार मनन शाह यांनी एस एंटरटेन्मेंटच्या बॅनरखाली 'रूप नगर के चीते' या मराठी सिनेमाची निर्मिती केली आहे.
"
"Amitabh and Jaya Bachchans daughter Shweta is married to Rishi Kapoors nephew Nikhil Nanda.
","त्यांचा मुलगा निखिल नंदा आणि अमिताभ बच्चन यांची मुलगी श्वेता बच्चन हे पती-पत्नी आहेत.
"
"Buried with him are his mother and father and two nephews.
","त्यांच्या पश्चात आई, वडील व दोन लहान भाऊ आहेत.
"
"The Enforcement Directorate (ED) has summoned Trinamool Congress MP Abhishek Banerjee, nephew of West Bengal chief minister Mamata Banerjee, and his wife Rujira Banerjee for questioning in a money laundering case linked to the coal scam.
","अंमलबजावणी संचालनालयाने (ED) ममता बॅनर्जी यांचे पुतणे अभिषेक बॅनर्जी आणि त्यांची पत्नी रुजीरा बॅनर्जी यांना कोळसा तस्करी प्रकरणात समन बजावले आहे.
"
"The family feud between Bollywood actor Govinda and his nephew Krushna Abhishek has been making headlines for the past few days.
","अभिनेता आणि कॉमेडियन कृष्णा अभिषेक आणि त्याचा मामा लोकप्रिय अभिनेता गोविंदा यांच्यात गेल्या काही वर्षापासून वाद सुरु आहे.
"
"His nephew Ajit Pawar's son, Parth, wants to contest the Lok Sabha polls.
","अजित पवारांचा मुलगा पार्थ पवार आगामी लोकसभा निवडणूक लढणार असल्याची चर्चा आहे.
"
"It is known to everyone that Salman Khan shares a great bond with his nephew Ahil Sharma, son of his sister Arpita Khan Sharma and Aayush Sharma.
","बहिण अर्पिता खानचा मुलगा आहिलसोबत सलमानची बॉंन्डिंग सगळ्यांना माहित आहे.
"
"Mithila Pawar, daughter of Srinivasa Pawar, nephew of NCP president Sharad Pawar, got married in Bangalore.
","राष्ट्रवादी काँग्रेसचे अध्यक्ष शरद पवार यांचे पुतणे श्रीनिवास पवार यांची कन्या मिथिला पवार हिचे लग्न बंगळुरूमध्ये झाले,.
"
"“And he liked playing with his nephews.
","तसंच त्यांना नातवंडासोबत खेळायलाही खूप आवडायचं.
"
"Parth is the eldest son of NCP supremo Sharad Pawar’s nephew and former deputy chief minister of Maharashtra Ajit Pawar.
","ज्येष्ठ नेते शरद पवार यांचे नातू आणि माजी उपमुख्यमंत्री अजित पवार यांचे पुत्र पार्थ यांचा शिवसेना-भाजप महायुतीचे श्रीरंग बारणे यांनी दारुण पराभव केला.
"
"She posted new photos, featuring her brother Saif Ali Khan , nephew Ibrahim Ali Khan and niece Sara Ali Khan .
","सबाने आणखी एक फोटो शेअर केला आहे, ज्यामध्ये ती भाऊ सैफ आणि त्याची मोठी मुलं इब्राहिम अली खान आणि सारा अली खानसोबत दिसली.
"
"Sena leader Sanjay Raut and NCP leader and Pawar’s nephew Ajit Pawar were also present at the meeting.
","या बैठकीला स्वत: राष्ट्रवादीचे अध्यक्ष शरद पवार, उपमुख्यमंत्री अजित पवार, शिवसेना खासदार संजय राऊतही उपस्थित आहेत.
"
"MP and Mamata Banerjee’s nephew Abhishek Banerjee was also present at the meeting.
","या बैठकीला टीएमसीचे खासदार आणि ममतांचे पुतणे अभिषेक बॅनर्जी आणि निवडणुकीचे रणनितीकार प्रशांत किशोर उपस्थित होते.
"
"Anil Kapoor posed for a picture with his nephew actor Arjun.
","अर्जुन कपूरनं बहीण अनुशालाबरोबरचा लहानपणीचा फोटो शेअर केलाय.
"
"Rohit Pawar, the grand nephew of NCP chief Sharad Pawar, won from Karjat Jamkhed constituency in the Maharashtra election.
","नगरच्या कर्जत जामखेडमधून शरद पवार यांचे नातू रोहित पवार निवडून आले, ही सर्वात उल्लेखनीय बाब ठरली.
"
"Ajit Pawar's wife Sunaetra's nephew Ranajagjitsinha Patil has been elected from Tuljapur on a BJP ticket.
","अजित पवारांच्या पत्नी सुनेत्रा यांचे भाचे राणा जगजितसिंह पाटील हे देखील तुळजापूरमधून भाजपकडून विजयी झाले आहेत.
"
"Abhishek Banerjee, Trinamool Congress (TMC) MP and West Bengal CM Mamata Banerjee’s nephew slams Bharatiya Janata Party.
","नवी दिल्ली - तृणमूल काँग्रेसचे खासदार आणि पश्चिम बंगालच्या मुख्यमंत्री ममता बॅनर्जी यांचे भाचे अभिषेक बॅनर्जी यांनी भाजपावर जोरदार हल्लाबोल केला आहे.
"
"A mother and father-in law, two brothers-in-law, two sisters-in-law, he had two children and a nephew.
","त्यांच्या पश्‍चात आई, वडील, भाऊ, दोन बहिणी, दोन मुली व दोन मुले असा परिवार होता.
"
"The agency has sent summons to National Congress Party chief Sharad Pawar with regard to allegations against bank director Sharad Pawar’s nephew and former Maharashtra deputy chief minister Ajit Pawar, and 70 former functionaries of the bank.
","शिखर सहकारी बँकेच्या कथित घोटाळ्याप्रकरणी ईडी मंगळवारी राष्ट्रवादी काँग्रेसचे अध्यक्ष शरद पवार माजी उपमुख्यमंत्री अजित पवार यांच्यासह 70 जणांविरुद्ध गुन्हे दाखल केले आहेत.
"
"A few days back Soha Ali Khan posted a picture on instagram of nephew Taimur Ali Khan and daughter Inaaya's play date.
","काही दिवसांपूर्वी करीना आणि सोहा अली खानने आपली मुले घरातच रंगपंचमी खेळत असल्याचा फोटो शेअर केला होता.
"
"Padmasinh Patil's sister is married to Pawar's nephew and former deputy chief minister Ajit Pawar.
","पद्मसिंह पाटील हे माजी उपमुख्यमंत्री अजित पवार यांचे सख्खे मेहुणे आहेत.
"
"Aishwarya Rai Bachchan was seen with daughter Aaradhya at her nephew’s birthday party.
","ऐश्वर्या राय बच्चन आणि अभिषेक बच्चन यांची मुलगी आराध्या बच्चन हिचा वाढदिवस थाटात साजरा झाला.
"
"His nephew Ravi Chopra, who is the son of late producer-director B R Chopra, is also a director and producer.
","रवी चोप्रा प्रसिद्ध दिग्दर्शक आणि निर्माते बी. आर. चोप्रा यांचे चिरंजीव आणि यश चोप्रा यांचे पुतणे होत.
"
"Her nephew is also seen in the picture.
","फोटोंमध्ये तिची बहीण रंगोलीसुद्धा दिसत आहे.
"
"Earlier, Chhagan Bhujbal and his nephew, Sameer Bhujbal had filed an application in the court for bail.
","छगन भुजबळ आणि त्यांचे पुतणे समीर भुजबळ यांनी जामीनासाठी सत्र न्यायालयात अर्ज केला होता.
"
"Parth Pawar, who lost the last year's Lok Sabha election from Maval seat in Maharashtra, is the son of the NCP president's nephew and state Deputy Chief Minister Ajit Pawar.
","मावळ लोकसभा मतदारसंघातून माजी उपमुख्यमंत्री अजित पवार यांचे पुत्र पार्थचा दारूण पराभव झाला.
"
"He is the nephew of Congress MLA from Pulakeshinagar, Akhanda Srinivasa Murthy.
","पी. नवीन हा पुलकेशीनगर विधानसभा मतदार संघातील काँग्रेसचे आमदार अखंड श्रीनिवास मूर्ती यांचा पुतण्या आहे.
"
"Deputy chief minister and the NCP chief’s nephew Ajit Pawar, however, downplayed the issue.
","एकीकडे राष्ट्रवादीचे नेते आणि उपमुख्यमंत्री अजित पवार यांनी ही चर्चा फेटाळून लावली आहे.
"
"Ajit Pawar, who is the nephew of NCP chief Sharad Pawar, said he reached the decision on his own.
","यात अजित पवारांचा निर्णय हा वैयक्तीक असल्याचे राष्ट्रवादीचे अध्यक्ष शरद पवार म्हणाले.
"
"NCP chief Sharad Pawar’s grand nephew Rohit Pawar also filed his nomination from Karjat-Jamkhed.
","राष्ट्रवादी काँग्रेसचे अध्यक्ष शरद पवार यांचे नातू रोहित पवार यांना कर्जत जामखेडमधून उमेदवारी जाहीर करण्यात आली आहे.
"
"Rohit is grandson of Appasaheb Pawar, nephew of Ajit Pawar and elder brother of Sharad Pawar.
","रोहित हे अजित पवार यांचे चुलत भाऊ राजेद्र पवार यांचे सुपुत्र आहेत.
"
"A high profile Nationalist Congress Party (NCP) leader, Ajit Pawar is the nephew of the party chief Sharad Pawar and is contesting from Baramati constituency.
","या मतदार संघातून राष्ट्रवादीचे नेते अजित पवार यांचा मुलगा पार्थ पवार या मतदार संघातून निवडणूक लढवत आहे.
"
"Pawar has been named in a criminal case filed by ED, along with his nephew Ajit Pawar and 70 others, in connection with the alleged multi-crore Maharashtra State Cooperative Bank (MSCB) embezzlement case.
","मुंबई - महाराष्ट्र राज्य सहकारी बँक घोटाळा प्रकरणी ईडी कडून राष्ट्रवादीचे नेते अजित पवार यांच्यासह 70 जणांच्या विरोधात गुन्हा नोंदविण्यात आला आहे.
"
"Her grandmother, mother, sister and nephew lay immobile beside her.
","त्याच्या आजूबाजूला दिवसभर आई, आजी, मावश्या, भावंडं असत.
"
"NCP minister Dhananjay Munde is the nephew of BJP leader and former state and central Minister Gopinath Munde.
","धनंजय मुंडे : राष्ट्रवादीच्या कोट्यातून कॅबिनेट मंत्री झालेले धनंजय मुंडे हे माजी केंद्रीय मंत्री आणि भाजपाचे दिग्गज नेते दिवंगत गोपीनाथ मुंडे यांचे पुतणे आहेत.
"
"Parth Pawar, the son of his nephew Ajit Pawar, is the NCP candidate.
","कारण अजितदादांचे पुत्र पार्थ पवार हे या मतदारसंघात राष्ट्रवादीचे उमेदवार आहेत.
"
"Dhaval Pratapsingh is the son of Pratapsingh Mohite Patil, nephew and brother of the former State Deputy CM Vijaysinh Mohite-Patil respectively.
","धवलसिंह मोहिते पाटील हे माजी सहकार मंत्री आणि दिवंगत नेते प्रतापसिंह मोहिते पाटील यांचे चिरंजीव आहेत.
"
"NCP leader, Chhagan Bhujbal and his nephew Samir Bhujbal, who recently got bail in a money laundering case, were also lodged in Barrack 12.
","राष्ट्रवादी कॉंग्रेसचे नेते छगन भुजबळ आणि त्यांचे पुतणे समीर भुजबळ यांनाही मनी लॉण्ड्रिंग प्रकरणात आरोपी म्हणून बॅरेक क्रमांक 12 मध्ये ठेवलं होतं.
"
"Congratulations on your new nephew!!
","तुमच्या नव्या इनिंगसाठी हार्दिक शुभेच्छा. . !
"
"Ajit Pawar, the NCP leader and nephew of party chief Sharad Pawar, was to be deputy chief minister.
","जयंत पाटील यांच्या मुख्यमंत्री होण्याच्या इच्छेला उपमुख्यमंत्री आणि राष्ट्रवादी काँग्रेसचे नेते अजित पवार यांनी देखील पाठिंबा दिला आहे.
"
"Dhaval Pratapsingh is the son of Pratapsingh Mohite Patil, nephew and brother of the former State Deputy CM Vijaysinh Mohite-Patil respectively.
","डॉ. धवलसिंह मोहिते पाटील हे महाराष्ट्राचे माजी राज्यमंत्री प्रतापसिंह मोहिते पाटील यांचे सुपुत्र आहेत.
"
"A son and a nephew have it.
","त्यांच्या पश्चात मुलगा व सून आहे.
"
"Ajit Pawar is the nephew of NCP chief Sharad Pawar.
","राष्ट्रवादीचे अध्यक्ष शरद पवार हे अजित पवारांचे काका आहेत.
"
"Abhishek Banerjee is the nephew of Chief Minister and TMC supremo Mamata Banerjee and is considered the number two in the party.
","पश्चिम बंगालच्या मुख्यमंत्री व तृणमूल काँग्रेसच्या सर्वेसर्वा मुख्यमंत्री ममता बॅनर्जी यांचे भाचे असलेले अभिषेक यांना वारसदार ठरवण्यात आले आहे.
"
"Parth Pawar, who lost the last year's Lok Sabha election from Maval seat in Maharashtra, is the son of the NCP president's nephew and state Deputy Chief Minister Ajit Pawar.
","राष्ट्रवादी काँग्रेसचे अध्यक्ष शरद पवार यांचे नातू आणि माजी उपमुख्यमंत्री अजित पवार यांचे पुत्र असलेल्या पार्थ पवार यांचा मावळ लोकसभा मतदारसंघात धक्कादायकरीत्या पराभव झाला.
"
"Sharad Pawar has said that his nephew Ajit Pawar's decision to support the BJP was his personal one.
","शरद पवार यांनी सत्ता स्थापनेची कोंडी फुटल्यानंतर असे म्हटले आहे की, भाजपला पाठिंबा देण्याचा निर्णय हा अजित पवार यांनी वैयक्तिक घेतला आहे.
"
"Diamond Harbour is Abhishek Banerjee’s constituency, who is TMC MP and nephew of chief minister Mamata Banerjee.
","डायमंड हार्बर हे तृणमूल कॉंग्रेसचे खासदार आणि मुख्यमंत्री ममता बॅनर्जी यांचे पुतणे अभिषेक बॅनर्जी यांचा लोकसभा मतदारसंघ आहे.
"
"In September 2019 , a month before the assembly polls in Maharashtra, the ED registered a money laundering case against NCP chief Sharad Pawar and his nephew Ajit Pawar in connection with the Maharashtra State Cooperative Bank scam.
","महाराष्ट्र राज्य सहकारी बँक घोटाळ्याप्रकरणी ईडीनं २०१९च्या निवडणुकांच्या आधीच राष्ट्रवादी काँग्रेसचे अध्यक्ष शरद पवार आणि राज्याचे सध्याचे उपमुख्यमंत्री अजित पवार यांच्याविरुद्ध गुन्हा दाखल केला आहे.
"
