eng_Latn,mar_Deva
"She posted new photos, featuring her brother Saif Ali Khan , nephew Ibrahim Ali Khan and niece Sara Ali Khan .
","सबाने आणखी एक फोटो शेअर केला आहे, ज्यामध्ये ती भाऊ सैफ आणि त्याची मोठी मुलं इब्राहिम अली खान आणि सारा अली खानसोबत दिसली.
"
"Sayesha Saigal, grand niece of legendary actor Dilip Kumar and Saira Banu, will be seen making her debut in the film.
","ज्येष्ठ अभिनेते दिलीप कुमार आणि अभिनेत्री सायरा बानू यांची नात सायशा सहगल लवकरच विवाहबंधनात अडकणार आहे.
"
"In the end, her daughter discovered the niece had been killed.
","अखेर महिलेच्या मुलानेच तिची हत्या केल्याचं उघड झालं आहे.
"
"Also, she is niece of famous actress Padmini Kolhapure.
","श्रद्धाची मावशी अभिनेत्री पद्मिनी कोल्हापुरे यादेखील नावाजलेल्या अभिनेत्री आहेत.
"
"All of my nieces and nephews, my mother, my mother-in-law, hubby and grandmother.
","माझे सख्खे आज्जी आजोबा, मामा-मामी, आत्या, आत्तेभावडं हे सगळेच ठाण्याचे.
"
"A little while later my sister-in-law and niece arrive.
","थोड्याच वेळात सुंदरी मावशी आणि मक्षिका पण येऊन पोचल्या.
"
"Saba Ali Khan has shared an old picture of her niece Sara Ali Khan and her mother Amrita Singh.
","सारा अली खानने आई अमृता सिंग आणि आजीचा एक फोटो शेअर केला आहे.
"
"Actress Madhoo, who is also Hema Malini's niece, also came to support her.
","त्याचप्रमाणे मधू ही अभिनेत्री हेमा मालिनी यांची देखील नातलग आहे.
"
"A family member is defined as being a parent, guardian, sibling, spouse, grandparent, child, aunt, uncle, niece, nephew or first cousin.
","कुटुंबातील व्यक्ती ही पिता, पती, पुत्र, भाऊ किंवा माता, पत्‍नी, पुत्री किंवा भगिनी यांपैकी एखादी भूमिका पार पाडत असते.
"
"Alia was seen making merry with Ranbir's family - mother Neetu Kapoor, father Rishi Kapoor, sister Riddhima Kapoor Sahni and niece Samiera Kapoor.
","यामध्ये रणबीर, त्याची आई नीतू कपूर आणि बहीण रिद्धिमा कपूर-साहनी यांच्यासह आलिया लंच करताना दिसली होती.
"
"A daughter and two nieces.
","दोन मुलगे आणि एक मुलगी.
"
"Bollywood actor Salman Khan's sister Arpita Khan Sharma shared an awwdorable video of the superstar spending quality time with his niece Ayat.
","सलमानची बहिण अर्पिता खान हिनं व्हिडीओ शेअर केला आहे.
"
"And that little girl is my niece.
","तर ती मुलगी माझ्या धाकट्या कन्येने साकारलेली.
"
"His niece, Alyssa Healy is the wicket-keeper of the Australian women’s cricket team and is married to Australian spearhead Mitchell Starc.
","एलिसी हीली ही ऑस्ट्रेलियन क्रिकेटपटू मिचेल स्टार्कची पत्नी आहे.
"
"Abhishek Bachchan and niece Navya Nanda, Anil Kapoor and wife Sunita Kapoor, siblings Arjun and Anshula Kapoor, Rajkummar Rao and Patralekhaa were among those who attended the party.
","या पार्टीत अनिल कपूर, त्याची पत्नी सुनीता, अनू आणि शशी रंजन, अर्चना पूरण सिंग, तिचा नवरा परमीत सिंग सामील झाले होते.
"
"Mukesh Ambani's niece is married to Modi's brother Nishal.
","मुकेश अंबानी यांची बहीण नीना कोठारी यांच्या मुलीचे लग्न आहे.
"
"“Both my sister and my niece are doing well.
","“मी आणि माझी बहिण ठीक आहोत.
"
"Also numerous nieces, nephews and their families.
","तसेच आत्या, मावशी व त्यांचे परिवार.
"
"""13-year-old Paris is prettier and starred in her first film, """"London Bridge and the Three Keys,"""" although her aunt Janet Jackson was categorically against her niece's career at such a young age:""
","""13 वर्षाच्या पॅरिसने आपली पहिली फिल्म """"लंडन ब्रिज अँड द थ्री कीज"""" मध्ये सुंदर आणि अभिनय केला आहे, तरीही तिच्या आत्या जेनेट जॅक्सन या लहान वयात तिच्या भगिनी कारकिर्दीवर स्पष्टपणे बोलत होते:""
"
"I have a niece and two cats.
","माझ्याकडे एक गीर आणि दोन गावरान गाई आहेत.
"
"Be that your mom, grandma, niece, sister - whoever.
","मग ती आजी, आई, बायको, बहीण कुठल्याही स्वरूपात असो.
"
"She is his niece.
","ती त्याची चुलत बहीण आहे.
"
"your niece
","तुमची बहिण ?
"
"She is a niece.
","ती बहिणच आहे.
"
"Both are married and he has three nephews and two nieces.
","त्याचवेळी त्यांचा विवाह होऊन दोन मुलगे आणि एक कन्या अशी त्यांना तीन अपत्येही आहेत.
"
"After Kamala Harris was sworn in as the Vice President of the United States of America, her niece Meena Harris has become a centre of attention.
","जेव्हापासून तिची मावशी कमला हॅरीस अमेरिकेच्या उपाध्यक्षा झाल्या आहेत तेव्हापासून मीना जास्तच चर्चेमध्ये आहे.
"
"Along with two of her kids, she was predeceased by her spouse, brother, two sisters plus a niece.
","सोबत पत्नी, दोन धाकटे भाऊ, काका आणि आत्यासह दोन लहान मुलं होते.
"
"Born in Mumbai to actor Shakti Kapoor and Shivangi Kapoor, she is the niece of actress Padmini Kolhapure.
","शक्ती कपूर यांनी प्रसिद्ध अभिनेत्री पद्मिनी कोल्हापूरेच्या बहिणीसोबत लग्न केले असून त्यांच्या पत्नीचे नाव शिवांगी कपूर आहे. . . .
"
"Comment is survived by his wife; two children; his mother; a sister; two brothers; and nieces and nephews.
","त्यांच्या पश्चात पत्नी, दोन लहान मुले, दोन भाऊ, बहीण, भावजय, पुतणे असा परिवार आहे.
"
"35-year-old arrested for raping, murdering minor niece
","⚡दिव्यांग सावत्र मुलाचे गुप्तांग जाळल्या प्रकरणी 35 वर्षीय महिला अटकेत
"
"Not many know that Bollywood actress Tabu is Shabana Azmi's niece and actress Farah Naaz's younger sister.
","फार कमी लोकांना माहित असेल की अभिनेत्री फरहा नाज तब्बूची सख्खी बहिण आहे.
"
"His wife is the daughter of actor-director Sanjay Khan and niece of another actor-producer, Feroz Khan.
","तसेच फिरोज खान यांचा अभिनेता मुलगा फरदीन खान व दिग्दर्शक भाऊ संजय खान यांची कामेही त्या करत होत्या.
"
"And where is my niece?
","आणि माझी वहिनी कौसरबी कुठे आहे?
"
"His niece, Alyssa Healy is the wicket-keeper of the Australian women’s cricket team and is married to Australian spearhead Mitchell Starc.
","ऑस्ट्रेलियाचा वेगवान गोलंदाज मिचेल स्टार्कने आपल्याच देशाची महिला क्रिकेटपटू एलिसा हिलीशी लग्न केले आहे.
"
"Earlier in the day, Kareena Kapoor shared an adorable birthday post for niece Inaaya on Instagram.
","दरम्यान, या आधी नेहाने तिच्या इन्स्टाग्राम अकाऊंटवरुन करणच्या वाढदिवसानिमित्त एक पोस्ट शेअर केली होती.
"
"An uncle does not exist if there is no niece, a wife if there is no husband, a mother if there is no child.
","बापाला मुलगी नाही, भावाला बहीण नाही, दीराला वहिनी नाही, सासऱ्याला सून नाही अशीही गत आहे.
"
"She is a daughter of Shakti Kapoor and Shivangi Kapoor while niece of Padmini Kolhapure.
","श्रद्धाची आई शिवांगी कपूर ही पद्मिनी कोल्हापुरेची बहीण.
"
"He was being looked after by his niece.
","नातू त्यांची काळजी घेत असे.
"
"It is attachment to relatives-parents, brother and sister, wife and children, nephew and niece.
","हा दुरावा येतो, नवरा-बायकोत, आई-वडील आणि मुलांत, भावंडांमध्ये, मित्रमैत्रिणींमध्ये.
"
"Congrats on the birth of your niece!
","तुझ्या लेकीला वाढदिवसाच्या शुभेच्छा!
"
"Among the dead, he said, were his wife, two children and one of his nieces.
","यातील मृतांमध्ये एक पुरुष, त्याची पत्नी, मुलगी व दोन मुलग्यांचा समावेश आहे.
"
"child, parent, brother or sister, uncle or aunt, nephew or niece,
","आजी-आजोबा, आई-वडील, दोन मुले, दोन नातवंडे, पती किंवा पत्नी किंवा भावंडे.
"
"She is actress Tanvi Azmi’s niece.
","अभिनेत्री तन्वी आझमी तिची आत्या आहे.
"
"A few days ago, Alia was spotted dining out with Ranbir’s mother Neetu Kapoor, sister Riddhima Kapoor Sahni and niece Samaira Sahni.
","यामध्ये रणबीर, त्याची आई नीतू कपूर आणि बहीण रिद्धिमा कपूर-साहनी यांच्यासह आलिया लंच करताना दिसली होती.
"
"She is a daughter of Shakti Kapoor and Shivangi Kapoor while niece of Padmini Kolhapure.
","पद्मिनीची बहीण शिवांगी आणि शक्ती कपूर यांना श्रद्धा आणि सिद्धांत हि त्यांची मुले आहेत.
"
"Recently, Kareena Kapoor Khan attended a Diwali party with sister Karisma Kapoor niece Samiera Kapoor and BFF Amrita Arora.
","नुकतेच मलायका आणि तिची खास मैत्रिण करीना कपूर खा आणि करिश्मा कपूर एका डिनर पार्टीत सहभागी झाल्या होत्या.
"
"uncles and aunties, nephews and nieces.
","भाऊ, वहिनी आणि पुतण्या.
"
"Congratulations to you and your niece.
","तुम्हाला आणि चिरंजीवांना शुभेच्छा.
"
"Among those killed were her mother, father, two brothers, sister-in-law, nephews and nieces, including a two-month-old.
","त्या आठ जणांमध्ये मृत व्यक्तीची पत्नी,दोन मुले,आई, सख्खा भाऊ,त्याची पत्नी, त्यांचा मुलगा आणि चुलत भाऊ यांचा समावेश आहे.
"
"Her niece is Sohail Khan’s wife Seema, a fashion designer.
","सोहेलची पत्नी सीमा एक फॅशन डिझायनर आहे.
"
"Maheep Kapoor shared a new video on Instagram in which she was seen dancing on stage with her niece Janhvi Kapoor.
","जान्हवी कपूरने नुकताच इन्स्टाग्रामवर आपला एक डान्सचा व्हिडीओ शेअर केला आहे, ज्यातून स्पष्ट होतं की, तिनेही आपल्या आईचे डान्सचे गुण आत्मसात केले आहेत.
"
"A brother, a sister, a niece or nephew… a son or a daughter.
","बहिण, भाऊ, नणंद किंवा निदान मानलेला पण जन्माला न आलेला नातू?
"
"She has blessed the newlyweds by sharing photos of his niece's wedding.
","सुळेंनी नवदाम्पत्याचे फोटो शेअर करत शुभाशीर्वाद दिले आहेत.
"
"The Mexican court, caring for the cultural heritage and legal settlement with the artist's relatives, demanded that the manufacturer obtain permission from niece Mara de Anda Romeo, a representative of Calo, and correct the actual errors in the image.
","कलाकारांच्या नातेवाईकांबरोबर सांस्कृतिक वारसा आणि कायदेशीर सेटलमेंटची काळजी घेत मेक्सिकन न्यायालयाने मागणी केली की निर्मात्याला कॅलोचा प्रतिनिधी, मारू दे आंडा रोमिओ, आणि प्रतिमामधील वास्तविक चुका सुधारण्याची परवानगी प्राप्त केली.
"
"His niece Poonam Mahajan is the MP from Mumbai North Central.
","उत्तर मध्य मुंबईत भाजपाच्या पुनम महाजन या खासदार आहेत.
"
"And so is my niece.
","तसंच माझी नंदा आत्या.
"
"His niece, Alyssa Healy is the wicket-keeper of the Australian women’s cricket team and is married to Australian spearhead Mitchell Starc.
","या मॅचमध्ये ओस्ट्रेलिया संघाचा वेगवान गोलंदाज मिचेल स्टार्क याची पत्नी एलिसा हिली यांना विकेट कीपर म्हणून संधी मिळाली आहे.
"
"Congrats on the new niece!
","नव्या विद्वत्तेला हार्दिक शुभेच्छा!
"
"And niece's quilt is fabulous!
","आणि गिलक्‍याची थालीपिठे तर अप्रतिम!
"
"Actually, she’s my oldest niece.
","खरं तर ती माझी मोठी बहीण.
"
"During this time, Rashmi became friends with Jaywanti, Bal Thackeray's niece and Raj Thackeray’s elder sister.
","त्यादरम्यान राज ठाकरे यांची सख्खी बहीण जयवंती ठाकरे यांच्याशी रश्मी यांची मैत्री झाली.
"
"And his own niece!
","आणि चाची अन तिचा मुलगाही!
"
"A daughter, a son, a niece, a nephew or the young one next door?
","बहिण, भाऊ, नणंद किंवा निदान मानलेला पण जन्माला न आलेला नातू?
"
"Saba Ali Khan took to Instagram to share an unseen picture of her niece actor Sara Ali Khan, and fans can't stop gushing over it.
","ग्लॅमरस अभिनेत्रीनं इंस्टाग्रामवर फोटोशूटशी संबंधित काही असे फोटो सोशल मीडियावर शेअर केले आहेत की तिचा सुपर ग्लॅमरस अवतार पाहून चाहत्यांसह तिची नणंद सबा अली खानही प्रतिक्रिया देण्यापासून स्वतःला रोखू शकली नाही.
"
"grandfather. father. elder brother. younger brother. son. nephew. daughter. niece grandson. granddaughter. grandmother. aunt. cousin.
","वडिल, नातवंडे, बहीण, भाऊ, बहिणीची अपत्ये, भावाची अपत्ये, मुलीची नातवंडे, भावाचा मुलगा, बहिणीचा मुलगा.
"
"And, I have a niece.
","मला एक बहिणही आहे.
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","बॉलिवूड अभिनेत्री सोहा अली खानने नुकतंच काही फोटो सोशल मीडियावर शेअर केले आहेत.
"
"Sayesha Saigal, grand niece of legendary actor Dilip Kumar and Saira Banu, will be seen making her debut in the film.
","या चित्रपटाच्या माध्यमातून दिलीप कुमार आणि सायरा बानो यांची नात सायशा सैगल बॉलीवूडमध्ये पदार्पण करीत आहे.
"
"Also he has many nephews, nieces and cousins.
","कारण त्याला खूप भाच्या-भाचे, पुतण्या आणि पुतणे आहेत.
"
"She was his wife’s niece.
","ती माधूचीच बायको होती.
"
"His niece, Alyssa Healy is the wicket-keeper of the Australian women’s cricket team and is married to Australian spearhead Mitchell Starc.
","एलिसा हिली असे स्टार्कच्या पत्नीचं नाव आहे आणि ती ऑस्ट्रेलियन महिला क्रिकेट संघात यष्टिरक्षक आहे.
"
"A viral picture of Bollywood actors Aishwarya Rai Bachchan, Abhishek Bachchan along with their little girl Aaradhya and his niece Navya Naveli Nanda from New York has surfaced online.
","बॉलिवूड अभिनेत्री ऐश्वर्या राय बच्चन आणि अभिषेक बच्चन यांची मुलगी आराध्या बच्चन हिचा एक नवा फोटो समोर आलाय.
"
"Sanjay Leela Bhansali's niece is making her Bollywood debut with the filmmaker's home production Malaal.
","तिचा भाऊ मिझान याने संजय लीला भन्साळी यांच्या प्रोडक्शन हाऊसमध्ये बनलेल्या, मलाल या सिनेमामधून बॉलीवूडमध्ये पदार्पण केले.
"
"Kareena Kapoor Khan is Rajiv Kapoor's niece, daughter of Randhir Kapoor.
","करीना ही राज कपूर यांची नात आहे आणि पृथ्वीराज कपूरची पणती आहे.
"
"I am their grandmother and they are my niece’s children,"" she said.
","""ती सर्व माझीच मुले, नातवंडे आहेत व मी त्यांची आजी आहे|""""""
"
"Lajmi was the daughter of renowned artist Lalita Lajmi and the niece of legendary filmmaker Guru Dutt.
","कल्पना लाजमी या प्रसिद्ध चित्रकार ललिता लाजमी यांच्या कन्या होत्या.
"
"She is a niece.
","ती भावनीक आहे.
"
"Referring to the farmers’ protests, Meena Harris, niece of US Vice President Kamala Harris, alleged that the world”s biggest democracy is under an assault.
","त्याच दरम्यान आता भारतीय वंशाच्या अमेरिकेच्या पहिल्या महिला उपराष्ट्रपती कमला हॅरीस यांच्या जवळच्या नातलग असलेल्या मीना हॅरीस यांनी शेतकरी आंदोलनाला पाठिंबा देताना जगातील सर्वात मोठी लोकशाही धोक्यात आली असल्याचं म्हटले आहे.
"
"My sister lost a niece.
","माझ्या भावाने बहिण गमावली असती.
"
"grandfather. father. elder brother. younger brother. son. nephew. daughter. niece grandson. granddaughter. grandmother. aunt. cousin.
","आई-वडील, बहीण, भाऊ, काका, मामा, आत्या यांच्याबरोबर घालवलेले लहानपणीचे
"
"Aamir Khan, along with his wife Kiran Rao and daughter Ira Khan, watched his niece Zayn Marie Khan's debut film Mrs.
","इरा खान ही अभिनेता आमिर खान आणि त्याची पहिली पत्नी रिना खान हीची मुलगी आहे.
"
"This is my niece.
","हा माझा भाचा परमेश.
"
"Lajmi was the daughter of renowned artist Lalita Lajmi and the niece of legendary filmmaker Guru Dutt.
","प्रसिद्ध चित्रकार ललिता लाजमी यांच्या त्या कन्या होत्या.
"
"Priyanka Chopra shared adorable photos with her niece, Krishna Sky, on social media recently.
","प्रियंका चोप्राच्या एका नातेवाईकानं काही दिवसांपूर्वी तिचा फोटो सोशल मीडियावर शेअर केला होता.
"
"Both my niece and my sister are working.
","मोठा भाऊ आणि वहिणी दोघेही नोकरी करतात.
"
"Kareena Kapoor, Karisma Kapoor and sister-in-law Neetu Kapoor, niece Riddhima Kapoor Sahni and nephew Aadar Jain were all in attendance.
","करिनाची बहीण करिश्मा कपूर, काकू नीतू सिंग, चुलत भाऊ रणबीर कपूर हे निकटवर्तीय या वेळी उपस्थितीत होते.
"
"She is the niece of actor Govinda and sister to actor/comedian Krushna Abhishek.
","कृष्णा अभिषेक हा अभिनेता गोविंदा आहुजा (Govinda Ahuja)याचा भाचा आहे.
"
"Along with his wife, Deb, he leaves behind two daughters, one son, one stepson, seven grandchildren, three brothers, three sisters, and many nephews and nieces.
","त्यांच्या पश्चात पत्नी, एक मुलगा, दोन मुली, दोन भाऊ, तीन बहिणी, सून, नातवंडे,पतवंडे असा मोठा परिवार आहे.
"
"Meena Harris, author and niece of the US Vice President Kamala Harris, Lilly Singh and many others tweeted on the same.
","अमेरिकेच्या उपाध्यक्ष कमला हॅरिस यांचे नातेलग रिहाना, मीना हॅरिस, लिली सिंह, मिया खलीफा आणि जय सीन यांनीही ट्विट केले आहे.
"
"Meezaan is actor Jaaved Jaaferi's son and is going to make his Bollywood debut with Sanjay Leela Bhansali's niece Sharmin Segal.
","या चित्रपटातून संजय लीला भंसाळींची बहिण बेला सेगल यांची मुलगी शर्मिन सेगल आणि जावेद जाफरी यांचा मुलगा मिझान जाफरी बॉलिवूडमध्ये पदार्पण करणार आहेत.
"
"Among them was her sister and little niece.
","तिच्यासोबत तिच्या मामाच्या मुली आणि तिची लहान बहीण होती.
"
"“Am I really your niece?
","""""""मी तुझा भैया आहे काय?""
"
"The accused had raped his niece.
","आरोपीने चिमुकलीवर बलात्कार केला.
"
"A son or daughter, niece or nephew?
","बहिण, भाऊ, नणंद किंवा निदान मानलेला पण जन्माला न आलेला नातू?
"
