eng_Latn,tel_Telu
"""""""Obviously my nieces and nephew, they didn't ask for this,"""" he said in 2015.""
","'సహజంగానే నా మేనకోడళ్ళు, మేనల్లుడు, వారు దీనిని అడగలేదు , 'అతను 2015 లో చెప్పాడు.
"
"""""""Our nephew is adorable!""""""
",""""""" మా అబ్బాయి బుడుగు ఆర్తనాదం!""
"
"""""""This time, I'll let you go because you're my nephew.""
","""""""మా వాసు చెల్లెలివి కాబట్టి ఈసారికి నిన్ను వదిలేస్తున్నాను.""
"
"""""""While walking in the woods of New Jersey, American mathematician Edward Kasner asked his young nephew Milton Sirotta to help him choose a name for a mind-boggling number: a 1 followed by 100 zeros,"""" the search engine says.""
","""""""న్యూజెర్సీ అడవుల్లో నడుస్తున్నప్పుడు, అమెరికన్ గణిత శాస్త్రజ్ఞుడు ఎడ్వర్డ్ కాస్నర్ తన యువ మేనల్లుడు మిల్టన్ సిరోటాను మనస్సును కదిలించే సంఖ్యకు పేరును ఎన్నుకోవడంలో సహాయం చేయమని కోరాడు.""
"
"""""""While walking in the woods of New Jersey, American mathematician Edward Kasner asked his young nephew Milton Sirotta to help him choose a name for a mind-boggling number: a 1 followed by 100 zeros.""
","""""""న్యూజెర్సీ అడవుల్లో నడుస్తున్నప్పుడు, అమెరికన్ గణిత శాస్త్రజ్ఞుడు ఎడ్వర్డ్ కాస్నర్ తన యువ మేనల్లుడు మిల్టన్ సిరోటాను మనస్సును కదిలించే సంఖ్యకు పేరును ఎన్నుకోవడంలో సహాయం చేయమని కోరాడు.""
"
"""""""You saved my nephew... How can I repay you?""""""
","""""""నా కూతురిని మళ్లీ నువ్వే కాపాడావు. . . నీ ఋణం ఎలా తీర్చుకోవాలి?""
"
"""Alongside his nephew Waldo, Mr. Magoo first appeared in 1949 in the theatrical short """"Ragtime Bear.""""""
","""తన మేనల్లుడు వాల్డోతో పాటు, మిస్టర్ మాగూ మొదటగా 1949 లో నాటకరంగ చిన్న """"రాగ్ టైం బేర్"""" లో కనిపించాడు.""
"
"""Ayrton was the uncle of Formula One driver Bruno Senna (Viviane's son), of whom he said in 1993: """"If you think I'm fast, just wait until you see my nephew Bruno.""""""
","""అతను ఫార్ములా వన్ డ్రైవర్ బ్రూనో సెన్నాకు మేనమామ అని 1993లో గర్వంగా పేర్కొన్నాడుః """"నేను వేగంగా డ్రైవ్ చేస్తున్నాని భావిస్తే, మా మేనల్లుడు బ్రూనో వచ్చేంత వరకు వేచి ఉండండి.""
"
"""Ayrton was the uncle of Formula One driver Bruno Senna, of whom he said in 1993: """"If you think I'm fast, just wait until you see my nephew Bruno.""""""
","""అతను ఫార్ములా వన్ డ్రైవర్ బ్రూనో సెన్నాకు మేనమామ అని 1993లో గర్వంగా పేర్కొన్నాడుః """"నేను వేగంగా డ్రైవ్ చేస్తున్నాని భావిస్తే, మా మేనల్లుడు బ్రూనో వచ్చేంత వరకు వేచి ఉండండి.""
"
"""Catholics interpret the term """"brothers"""" (adelphos in Greek) and """"sisters"""" in these passages to include nephews, nieces, cousins, half-brothers and half-sisters.""
","""కాథలిక్కులు మేనల్లుళ్ళు, మేనళ్ళు, బంధువులు, అర్ధ-సోదరులు మరియు సగం-సోదరీమణులను చేర్చడానికి ఈ భాగాలలో """"సోదరులు"""" (గ్రీకులో అడేల్ఫోస్) మరియు """"సోదరీమణులు"""" అనే పదాన్ని అర్థం చేసుకుంటారు.""
"
"""For example, """"My nephew is autistic, but that hasn't slowed him down: he's one of the best players in the high school chess team!""""""
","""ఉదాహరణకు, """"నా మేనల్లుడు ఆటిస్టిక్, కానీ అతనిని తగ్గించలేదుః అతను హైస్కూల్ చెస్ జట్టులోని ఉత్తమ ఆటగాళ్ళలో ఒకడు!""
"
"""Furthermore, this woman ended up being right: two months later, Raven's sister gave birth to a boy - a """"beautiful nephew"""" for Raven.""
","""అంతేకాకుండా, ఈ స్త్రీ సరైనదిగా ముగించిందిః రావెన్ సోదరి రావెన్ కోసం ఒక """"అందమైన మేనల్లుడు"""" - రెండు నెలల తరువాత, రావెన్ యొక్క సోదరి ఒక అబ్బాయికి జన్మనిచ్చింది.""
"
"""He has been castrated at the age of six by the leader of a rival tribe, so he had no sons, but his nephew Fath Ali Shah Qajar succeeded him as Shahanshah, or """"King of Kings.""""""
","""ప్రత్యర్థి తెగకు నాయకత్వం వహించిన అతను ఆరు సంవత్సరాల వయస్సులో అతన్ని కుదించాడు, అందువలన అతనికి కుమారులు లేరు, కాని అతని మేనల్లుడు ఫాథ్ అలీ షా కజార్ అతన్ని షాహన్షాగా లేదా """"రాజుల రాజు"""" గా విజయవంతం అయ్యాడు.""
"
"""He was the uncle of Formula One driver Bruno Senna, of whom he famously said in """"If you think I'm fast, just wait until you see my nephew Bruno.""""""
","""అతను ఫార్ములా వన్ డ్రైవర్ బ్రూనో సెన్నాకు మేనమామ అని 1993లో గర్వంగా పేర్కొన్నాడుః """"నేను వేగంగా డ్రైవ్ చేస్తున్నాని భావిస్తే, మా మేనల్లుడు బ్రూనో వచ్చేంత వరకు వేచి ఉండండి.""
"
"""He was the uncle of Formula One driver Bruno Senna, of whom he famously said in 1993: """"If you think I'm fast, just wait until you see my nephew Bruno.""""[83]""
","""అతను ఫార్ములా వన్ డ్రైవర్ బ్రూనో సెన్నాకు మేనమామ అని 1993లో గర్వంగా పేర్కొన్నాడుః """"నేను వేగంగా డ్రైవ్ చేస్తున్నాని భావిస్తే, మా మేనల్లుడు బ్రూనో వచ్చేంత వరకు వేచి ఉండండి.""
"
"""If you are a second-degree relative (aunt, uncle, niece, nephew, grandparent, grandchild or half-sibling), your risk is 1 in 39."""" (link).""
","మీరు రెండవ-స్థాయి బంధువు (అత్త, మామ, మేనకోడలు, మేనల్లుడు, తాత, మనుమరాలు లేదా సగం-తోబుట్టువులు) అయితే, మీ ప్రమాదం 39 లో 1.
"
"""In 1920, Edward Kasner's nine-year-old nephew, Milton Sirotta, coined the term googol, which is 10100, then proposed the further term googolplex to be """"one, followed by writing zeroes until you get tired.""""""
","""1920 లో, ఎడ్వర్డ్ కాస్నర్ యొక్క తొమ్మిదేళ్ల మేనల్లుడు, మిల్టన్ సిరోటా, గూగోల్ అనే పదాన్ని 10100 అని పిలిచాడు, తరువాత గూగోల్ ప్లెక్స్ అనే పదాన్ని """"ఒకటి, తరువాత మీరు అలసిపోయే వరకు సున్నాలు రాయడం"""" అని ప్రతిపాదించాడు[1].""
"
"""In 1920, Edward Kasner's nine-year-old nephew, Milton Sirotta, coined the term googol, which is 10100, then proposed the further term googolplex to be """"one, followed by writing zeros until you get tired.""""""
","""1920 లో, ఎడ్వర్డ్ కాస్నర్ యొక్క తొమ్మిదేళ్ల మేనల్లుడు, మిల్టన్ సిరోటా, గూగోల్ అనే పదాన్ని 10100 అని పిలిచాడు, తరువాత గూగోల్ ప్లెక్స్ అనే పదాన్ని """"ఒకటి, తరువాత మీరు అలసిపోయే వరకు సున్నాలు రాయడం"""" అని ప్రతిపాదించాడు[1].""
"
"""In 1938, Edward Kasner's nine-year-old nephew, Milton Sirotta, coined the term googol, which is 10100, then proposed the further term googolplex to be """"one, followed by writing zeroes until you get tired.""""""
","""1920 లో, ఎడ్వర్డ్ కాస్నర్ యొక్క తొమ్మిదేళ్ల మేనల్లుడు, మిల్టన్ సిరోటా, గూగోల్ అనే పదాన్ని 10100 అని పిలిచాడు, తరువాత గూగోల్ ప్లెక్స్ అనే పదాన్ని """"ఒకటి, తరువాత మీరు అలసిపోయే వరకు సున్నాలు రాయడం"""" అని ప్రతిపాదించాడు[1].""
"
"""In India, the system is when a girl is married to a boy, so - in your country also, everywhere, the same system - just like the nephew of the boy calls the girl """"Aunt.""""""
","భారతదేశంలో, వ్యవస్థ ఒక అమ్మాయికి ఒక అబ్బాయితో వివాహం అయినప్పుడు మీ దేశంలో కూడా, ప్రతిచోటా, అదే వ్యవస్థ.
"
"""In that case, prosecutors said the nephews - sometimes called the """"narcosobrinos"""" in Venezuela - attempted to bring in $20 million in drug money to assist their family in staying in power.""
","""ఆ సందర్భంలో, ప్రాసిక్యూటర్లు, మేనల్లుళ్ళు - కొన్నిసార్లు వెనిజులాలోని """"నార్కోసోబ్రినోస్"""" అని పిలుస్తారు - వారి కుటుంబానికి అధికారంలో ఉండటానికి 20 మిలియన్ డాలర్ల మాదకద్రవ్యాల డబ్బును తీసుకురావడానికి ప్రయత్నించారు.""
"
"""In the photo album on Instagram, in the """"personal"""" section, there are photos of Isabella only with her nephew.""
","""ఇన్స్టాగ్రామ్లోని ఫోటో ఆల్బమ్లో, """"వ్యక్తిగత"""" విభాగంలో, ఇసాబెల్లా తన మేనల్లుడితో మాత్రమే ఉన్న ఫోటోలు ఉన్నాయి.""
"
"""Next to be introduced is Jasper's nephew, Edwin Drood (whom the Chairman reveals is being played by the famous male impersonator, Miss Alice Nutting), who discusses his impending arranged marriage to Rosa Bud with Jasper, as well as his plans to leave for Egypt after the wedding (""""Two Kinsmen"""").""
","""తర్వాత పరిచయం చేయాల్సిన వ్యక్తి జాస్పర్ మేనల్లుడు ఎడ్విన్ డ్రూడ్ (ఆయన గురించి ఛైర్మన్ బయటపెట్టే పాత్రను ప్రసిద్ధ మగ వేషధారిణి మిస్ అలీస్ నట్టింగ్ పోషించారు) అతను రోసా బడ్తో తనకు జరగబోయే పెళ్ళితో పాటు పెళ్ళయిన వెంటనే ఈజిప్టును విడిచి వెళ్లే తమ ప్రణాళిక గురించి చర్చిస్తున్నారు ("""" టూ కింగ్స్మెన్"""").""
"
"""Salil Singhal, the nephew of late VHP leader Ashok Singhal, will be the """"yajmaan"""" at the ceremony.""
","దివంగత విహెచ్పి నేత అశోక్ సింఘాల్ సమీపబంధువు సలీల్ సింఘాల్ ఈ కార్యక్రమానికి 'యజమాన్' (ప్రధాన నిర్వాహకుడు) గా ఉంటారు.
"
"""She touched Raven's arm and said, """"You're going to have a beautiful nephew, young lady!""""""
",""""""" ఆమె రావెన్ యొక్క చేతిని తాకి, """"మీరు ఒక అందమైన మేనల్లుడు, యువ లేడీని చూడబోతున్నారు!""
"
"""Stories have long circulated that Richard III was responsible for the deaths of his nephews, the """"Princes in the Tower,"""" to remove rival claimants for the crown.""
","""రిచర్డ్ III కి తన మేనల్లుళ్ళు, """"టవర్లోని రాజులు"""" మరణం కోసం కిరీటం కోసం ప్రత్యర్థి హక్కుదారులను తొలగించడానికి కారణాలు సుదీర్ఘంగా పంపిణీ చేయబడ్డాయి.""
"
"""There were nearly - but not quite - two family """"two-fers"""" in this tournament's history: Sam Snead won in 1955; his nephew J.C. Snead finished second in 1971 and 1976.""
","""ఈ టోర్నమెంట్ చరిత్రలో దాదాపుగా - రెండు కుటుంబాలు """"రెండు-ఫెర్ర్స్"""" ఉన్నాయిః సామ్ స్నీడ్ 1955 లో గెలిచింది; అతని మేనల్లుడు JC స్నీయాడ్ 1971 మరియు 1976 లో రెండవ స్థానంలో నిలిచాడు.""
"
"""When Mojmír I endeavoured to secede from the supremacy of the king of East Francia in 846, King Louis the German deposed him and assisted Moimír""""s nephew, Rastislav (846-870) in acquiring the throne.""
","[25] 846 లో తూర్పు ఫ్రాన్సియా రాజు మోజ్మిర్ ఆధిపత్యాన్ని విడిచిపెట్టడానికి ప్రయత్నించినప్పుడు, జర్మన్ లూయిస్ జర్మన్ అతనిని తొలగించి, సింహాసనాన్ని మోజ్మిర్ మేనల్లుడు రాస్టిస్లావ్ పొందడానికి (846-870) కి సహాయం చేసాడు.
"
"(Foulis was the nephew of James Foulis, who won the 1896 U.S. Open, the second one ever played.)
","(ఫౌలీస్ జేమ్స్ ఫౌలిస్ యొక్క మేనల్లుడు, అతను 1896 US ఓపెన్ను గెలుచుకున్నాడు, ఇప్పటివరకు ఆడిన రెండోది.
"
"3 days later on the body of 7-year-old Julian, Hudson's nephew, was found in a SUV left on the Western Side.
","మూడు రోజుల తరువాత 7 ఏళ్ల జూలియన్, హడ్సన్ యొక్క మేనల్లుడు, వెస్ట్ సైడ్ లో నిలిపిన ఒక SUV వెనుక సీటు లో కనుగొనబడింది.
"
"5 And Abram took his wife Sarai, his nephew Lot, and all the possessions they had accumulated and the people they had acquired in Haran, and they left for the land of Canaan.
","5 అతను తన భార్య సారాయ్, అతని మేనల్లుడు లోత్, వారు సేకరించిన ఆస్తులన్నీ, హర్రాన్ లో వారు సంపాదించిన ప్రజలను తీసుకొని వారు కనాను దేశానికి బయలుదేరారు, వారు అక్కడికి చేరుకున్నారు. . . .
"
"8:19 and Hashabiah, together with Jeshaiah from the descendants of Merari, and his brothers and nephews, 20 men.
","8:19 మరియు హషబ్యా, and with him Jeshaiah, మెరారి కుమారులు, మరియు తన సోదరులు, మరియు అతని కుమారులు, numbering twenty.
"
"A lawyer (Amitabh Bachchan) comes out of retirement to help three women (Taapsee Pannu, Kirti Kulhari, and Andrea Tariang) clear their names in a crime involving a politician's nephew (Angad Bedi).
","ఒక రాజకీయ నాయకుడి మనవడు (అంగద్ బేడి) పాల్గొన్న నేరంలో ముగ్గురు మహిళలకు (తాప్సీ పన్నూ, కీర్తి కుల్హారీ మరియు ఆండ్రియా తారియాంగ్) తమ పేర్లను క్లియర్ చేయడంలో సహాయపడటానికి ఒక న్యాయవాది (అమితాబ్ బచ్చన్) పదవీ విరమణను విడిచిపెట్టారు.
"
"A man helps his two nephews, prepares them for sailors.
","ఒక వ్యక్తి నావికులు వాటిని తయారు, తన ఇద్దరు మేనల్లుళ్ళు సహాయపడుతుంది.
"
"A nephew of Elizabeth Cady Stanton climbed in a window and opened the door.
","ఎలిజబెత్ కేడీ స్టాంటన్ యొక్క మేనల్లుడు ఒక కిటికీలో చేరుకున్నాడు మరియు తలుపు తెరిచాడు.
"
"A nephew of Henry I, Stephen seized the throne on the latter's death, but was forced to fight a war against the rightful claimant, Matilda.
","హెన్రీ I యొక్క మేనల్లుడు, స్టెఫెన్ తరువాతి మరణంపై సింహాసనాన్ని స్వాధీనం చేసుకున్నారు, కానీ మటిల్డాకు చెందిన హక్కుదారుడు, మటిల్డాకు వ్యతిరేకంగా యుద్ధం చేయవలసి వచ్చింది.
"
"A woman with a second-degree relative with breast cancer has around a 22 percent chance of developing breast cancer (second-degree relatives include grandparents, aunts, uncles, nieces, and nephews.)
","రొమ్ము క్యాన్సర్తో రెండో డిగ్రీ ఉన్న స్త్రీని రొమ్ము క్యాన్సర్ అభివృద్ధికి 22 శాతం అవకాశం ఉంది (రెండవ-స్థాయి బంధువులు తాతలు, అత్తమామలు, మేనళ్ళు, మేనళ్ళు మరియు మేనల్లుళ్ళు.
"
"A year later, Lise Meitner and her nephew Otto Frisch verified that Hahn's result were the first experimental nuclear fission.
","ఒక సంవత్సరం తరువాత, లిన్ మీట్నర్, ఆమె మేనల్లుడు ఒట్టో ఫ్రిష్ హాన్ ప్రయోగాల ఫలితంగా ఇది మొదటి ప్రయోగాత్మక పరమాణు విచ్ఛిత్తి అని ధృవీకరించారు.
"
"Aamir Khan's nephew, Imran Khan, was also not born in India.
","ఇమ్రాన్ ఖాన్ః అమిర్ ఖాన్ మేనల్లుడైన ఈ యువ హీరోకి కూడా ఇండియాలో ఓటు హక్కులేదు.
"
"About Domenico Berardi's relatives: Away from Berardi's immediate family, not much is known about his maternal and paternal grandparents while his uncles, aunts, cousins, nephews and nieces are yet to be identified.
","డొమెనికో బెరార్డి బంధువుల గురించిః బెరార్డి యొక్క తక్షణ కుటుంబానికి దూరంగా, అతని మామ, తల్లితండ్రుల గురించి పెద్దగా తెలియదు, అయితే అతని మేనమామలు, అత్తమామలు, దాయాదులు, మేనల్లుళ్ళు మరియు మేనకోడళ్ళు ఇంకా గుర్తించబడలేదు.
"
"About Donyell Malen's relatives: Away from Malen's immediate family life, he has a grandfather and grandmother identified as Joop and Marian respectively while there are no existing records of his uncles, aunts, cousins, nieces and nephews at the time of writing.
","డోన్యెల్ మాలెన్ బంధువుల గురించిః మాలెన్ యొక్క తక్షణ కుటుంబ జీవితానికి దూరంగా, అతనికి ఒక తాత మరియు అమ్మమ్మలను వరుసగా జూప్ మరియు మరియన్లుగా గుర్తించారు, అయితే అతని మామలు, అత్తమామలు, దాయాదులు, మేనకోడళ్ళు మరియు మేనల్లుళ్ళు గురించి వ్రాసే సమయంలో రికార్డులు లేవు.
"
"About Emi Buendia's Relatives: Regarding Buendia's larger family tree, his paternal and maternal grandparents are one of football's unravelled mysteries while there are no available records of his uncles, aunts, nieces and nephews.
","ఎమి బ్యూండియా బంధువుల గురించిః బ్యూండియా యొక్క పెద్ద కుటుంబ వృక్షానికి సంబంధించి, అతని తల్లితండ్రులు మరియు తల్లితండ్రులు ఫుట్బాల్ యొక్క బయటపడని రహస్యాలలో ఒకటి, అయితే అతని మేనమామలు, అత్తమామలు, మేనకోడళ్ళు మరియు మేనల్లుళ్ల గురించి రికార్డులు అందుబాటులో లేవు.
"
"About Mario Balotelli Relatives: There is no denying the fact that Balotelli has uncles, aunts, cousins, nephews and nieces regardless of the fact that he doesn't identify with them.
","మారియో balotelli గురించి బంధువులుః బాలోటెల్లికి వారితో గుర్తించలేదనే వాస్తవం లేకుండానే బాలోటెల్లీకు బంధువులే, అత్తమామలు, బంధువులు, మేనళ్ళు మరియు మేనళ్ళు ఉన్నారన్న వాస్తవాన్ని తిరస్కరించడం లేదు.
"
"About Ángel Correa relatives: Away from Angel Correa's family life, there is not much known about his ancestry and family roots, particularly as it relates to his paternal and maternal grandparents while his uncles, aunts, cousins, nieces and nephews are yet to be identified at the time of writing this bio.
","ఏంజెల్ కొరియా బంధువుల గురించిః ఏంజెల్ కొరియా కుటుంబ జీవితానికి దూరంగా, అతని పూర్వీకులు మరియు కుటుంబ మూలాల గురించి పెద్దగా తెలియదు, ప్రత్యేకించి ఇది అతని తల్లి మరియు తల్లితండ్రులకు సంబంధించినది, అయితే అతని మామలు, అత్తమామలు, దాయాదులు, మేనకోడళ్ళు మరియు మేనల్లుళ్ళు ఇంకా వ్రాయబడలేదు.
"
"According to Roman legends about the establishment of the Roman Republic, Lucius Junius Brutus (6th C. B.C.) was the nephew of the last Roman king, Tarquinius Superbus (King Tarquin the Proud).
","రోమన్ రిపబ్లిక్ స్థాపన గురించి రోమన్ పురాణాల ప్రకారం, లూసియస్ జూనియస్ బ్రూటస్ (6 వ CBC) చివరి రోమన్ రాజు, టార్క్వినియస్ సూపర్బస్ (కింగ్ టార్క్విన్ ది ప్రౌడ్) యొక్క మేనల్లుడు.
"
"According to documents accessed by author and researcher Anuj Dhar, Bose's close relatives, including his two nephews Sisir Kumar Bose and Amiya Nath Bose, were purportedly spied upon for 20 years between 1948 and 1968.
","రచయిత, పరిశోధకుడు అనూజ్ ధర్కు అందిన పత్రాల ప్రకారం, బోస్ ఇద్దరు మేనల్లుళ్ళు శిశిర్ కుమార్ బోస్, అమియా నాథ్ బోస్లపై కూడా 20ఏళ్ళ పాటు గూఢచర్యం సాగింది.
"
"According to documents accessed by author and researcher Anuj Dhar, Bose's close relatives, including his two nephews Sisir Kumar Bose and Amiya Nath Bose, were spied upon for 20 years between 1948 and 1968.
","రచయిత, పరిశోధకుడు అనూజ్ ధర్కు అందిన పత్రాల ప్రకారం, బోస్ ఇద్దరు మేనల్లుళ్ళు శిశిర్ కుమార్ బోస్, అమియా నాథ్ బోస్లపై కూడా 20ఏళ్ళ పాటు గూఢచర్యం సాగింది.
"
"According to documents accessed by author and researcher Anuj Dhar, Bose's close relatives, including his two nephews Sisir Kumar Bose and Amiya th Bose, were purportedly spied upon for 20 years between 1948 and 1968.
","రచయిత, పరిశోధకుడు అనూజ్ ధర్కు అందిన పత్రాల ప్రకారం, బోస్ ఇద్దరు మేనల్లుళ్ళు శిశిర్ కుమార్ బోస్, అమియా నాథ్ బోస్లపై కూడా 20ఏళ్ళ పాటు గూఢచర్యం సాగింది.
"
"According to this collection of Arthurian tales, Morgan fell in love with Arthur's nephew, Giomar.
","ఆర్థూరియన్ కథల యొక్క ఈ సేకరణ ప్రకారం, మోర్గాన్ ఆర్థర్ యొక్క మేనల్లుడు గియోమర్తో ప్రేమలో పడ్డాడు.
"
"Aeneas: The nephew of King Priam of Troy, a son of Anchises and the goddess Aphrodite.
","ఏనియస్ - ట్రోయ్ రాజు ప్రియామ్ యొక్క మేనల్లుడు, అంజిసెస్ కుమారుడు మరియు దేవస్ ఆఫ్రొడైట్ .
"
"Aeneas: The nephew of King Priam of Troy, a son of Anchises and the goddess.
","ఏనియస్ - ట్రోయ్ రాజు ప్రియామ్ యొక్క మేనల్లుడు, అంజిసెస్ కుమారుడు మరియు దేవస్ ఆఫ్రొడైట్ .
"
"After Francia's death in 1840, Paraguay was ruled by various military officers under a new junta, until Carlos Antonio López (allegedly De Francia's nephew) came to power in 1841.
","1840 లో ఫ్రాన్సియా మరణం తరువాత కార్లోస్ ఆంటోనియో లోపెజ్ (1814 లో రోడ్రిగ్యుజ్ డే ఫ్రాన్సియా యొక్క మేనల్లుడు) అధికారంలోకి వచ్చే వరకు పరాగ్వేను కొత్త సైనిక అధికారంతో వివిధ సైనిక అధికారులు పాలించారు.
"
"After Francia's death in 1840, Paraguay was ruled by various military officers under a new junta, until Carlos Antonio López (allegedly Rodríguez de Francia's nephew) came to power in 1841.
","1840 లో ఫ్రాన్సియా మరణం తరువాత కార్లోస్ ఆంటోనియో లోపెజ్ (1814 లో రోడ్రిగ్యుజ్ డే ఫ్రాన్సియా యొక్క మేనల్లుడు) అధికారంలోకి వచ్చే వరకు పరాగ్వేను కొత్త సైనిక అధికారంతో వివిధ సైనిక అధికారులు పాలించారు.
"
"After a number of attempts by the Crusaders of Jerusalem to capture Egypt, Nur al-Din's forces (led by the general Shirkuh and his nephew Saladin) seized Cairo in 1169 and forced the Crusader army to evacuate .
","ఈజిప్టును స్వాధీనం చేసుకోవడానికి జెరూసలేం యొక్క క్రూసేడర్స్ అనేక ప్రయత్నాల తరువాత, నూర్ అల్-దిన్ యొక్క దళాలు (జనరల్ షిర్కుహ్ మరియు అతని మేనల్లుడు సలాదిన్ నేతృత్వంలో) 1169 లో కైరోను స్వాధీనం చేసుకున్నారు మరియు క్రూసేడర్ సైన్యాన్ని ఖాళీ చేయమని బలవంతం చేశారు.
"
"After a week, he filed a missing complaint with police saying his nephew didn't return after he went out with some friends.
","వారం రోజుల తరువాత తన మేనల్లుడు కొందరి స్నేహితులతో బయటకు వెళ్లి ఇంటికి తిరిగి రాలేదని పోలీసు స్టేషన్లో ఫిర్యాదు చేశాడు.
"
"After numerous attempts by the Crusaders of Jerusalem to capture Egypt, Nur al-Din's forces (led by the general Shirkuh and his nephew, Saladin) seized Cairo in 1169 and forced the Crusader army to evacuate.
","ఈజిప్టును స్వాధీనం చేసుకోవడానికి జెరూసలేం యొక్క క్రూసేడర్స్ అనేక ప్రయత్నాల తరువాత, నూర్ అల్-దిన్ యొక్క దళాలు (జనరల్ షిర్కుహ్ మరియు అతని మేనల్లుడు సలాదిన్ నేతృత్వంలో) 1169 లో కైరోను స్వాధీనం చేసుకున్నారు మరియు క్రూసేడర్ సైన్యాన్ని ఖాళీ చేయమని బలవంతం చేశారు.
"
"After numerous attempts by the Crusaders of Jerusalem to capture Egypt, Nur al-Din's forces, led by the general Shirkuh and his nephew, Saladin, seized Cairo in 1169 and forced the Crusader army to evacuate.
","ఈజిప్టును స్వాధీనం చేసుకోవడానికి జెరూసలేం యొక్క క్రూసేడర్స్ అనేక ప్రయత్నాల తరువాత, నూర్ అల్-దిన్ యొక్క దళాలు (జనరల్ షిర్కుహ్ మరియు అతని మేనల్లుడు సలాదిన్ నేతృత్వంలో) 1169 లో కైరోను స్వాధీనం చేసుకున్నారు మరియు క్రూసేడర్ సైన్యాన్ని ఖాళీ చేయమని బలవంతం చేశారు.
"
"After only a few generations, the tangle was completely entangled, creating numerous quarrels between relatives, cousins, nephews and uncles of the Rurik dynasty.
","కొన్ని తరాల తరువాత, చిక్కు పూర్తిగా చిక్కుకుంది, బంధువులు, బంధువుల, మేనల్లుళ్ళు మరియు రూరిక్ రాజవంశం యొక్క పినతండ్రుల మధ్య అనేక కలహాలు పెరగడం .
"
