eng_Latn,tel_Telu
"Peter later finds out that the same robber that he could have stopped at the television studio attempted to rob his aunt and uncle's residence, and his Uncle Ben was killed in the struggle.
","టెలివిజన్ స్టూడియోలో తన ఆంటూ, మామయ్య నివాసంలో దోపిడీ చేయడానికి ప్రయత్నించిన దొంగల దొంగ అని పీటర్ తర్వాత తెలుసుకుంటాడు, మరియు అతని అంకుల్ బెన్ ఈ పోరాటంలో చంపబడ్డాడు.
"
"Saiyami Kher aunt is Shabana Azmi.
","సయామీ ఖేర్ షబానీ అజ్మీ మేనకోడలు.
"
"She has been living with her father and aunt since then.
","అప్పటి నుంచి తన అంకుల్, ఆంటీలతో కలిసి ఉంటున్నాడు.
"
"She is the aunt of actress Kiara Advani.
","నటి కైరా అద్వాణీ కి ఈమె ఆంటీ.
"
"So many of us have lost loved ones, mothers, sisters, aunts and friends to this devastating disease.
","మనలో చాలా మంది మా తల్లిదండ్రులు, పిల్లలు, జీవిత భాగస్వాములు మరియు స్నేహితులను ఈ భయంకరమైన వ్యాధికి కోల్పోయారు.
"
"Such as an aunt or grandmother, for example.
","ఉదాహరణకు మీ అమ్మ లేదా ఆంటీ లాంటి వాళ్లు.
"
"Talk to my aunt.
","ఆంటీ తో మాట్లాడేరు.
"
"Thank you to your aunt!
","తారా ఆంటీకి థ్యాంక్స్!
"
"That's not the case, aunt.
","అదేం లేదు ఆంటీ.
"
"The aunt locked the door.
","ఆంటీ తలుపు తీసింది.
"
"The aunt looked at me.
","ఆంటీ నా వైపు చూసింది.
"
"The aunt opened the door.
","ఆంటీ తలుపు తీసింది.
"
"The aunt was crying.
","ఆంటీ ఏడుస్తూ ఉన్నారు.
"
"The practitioner visited her 82-year-old terminally ill aunt on 9 November 2015.
","అభయాసకురాలు అనారోగయంతో అంతిమ దశలో ఉనన తన 82 సంవతసరాల ఆంటీని 9 నవంబరు 2015 న సందరశించారు.
"
"This happened between me and my aunt.
","ఇది నాకు మరియు మా ఆంటీ కి మధ్య జరిగిన సంఘటన.
"
"Today I am going to the U.S. With my mom and grandmom to see my aunt.
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"Today I am going to the U.S. with my mom and grandmom to see my aunt.
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"Today I am going to the U.S. with my mum and grandmum to see my aunt.
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"Today I'm going to the U.S. with my mom and grandma to see my aunt.
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"Today, I am going to the U.S. with my mom and grandma to see my aunt.
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"Today, I am going to the U.S. with my mom and grandmom to see my aunt.
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"Today, I am going to the US with my mom and grandmom to see my aunt.
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"Two aunts of the rape victim were killed in the accident while she, along with her lawyer, was seriously injured.
","ఈ ఆక్సిడెంట్లో బాధిత యువతి బంధువులు ఇద్దరు మరణించగా, బాధితురాలితోపాటు ఆమె న్యాయవాది కూడా తీవ్రగాయాలపాలయ్యారు.
"
"Two of the victim's aunts were killed in the incident, while she and her lawyer were critically injured.
","ఈ ఆక్సిడెంట్లో బాధిత యువతి బంధువులు ఇద్దరు మరణించగా, బాధితురాలితోపాటు ఆమె న్యాయవాది కూడా తీవ్రగాయాలపాలయ్యారు.
"
"Vandana Talwar, Aarushi's aunt, said entire family had suffered for nearly a decade as the case dragged on.
","మా కుటుంబం మొత్తం ఈ కేసు విచారణ సాగిన సుమారు దశాబ్ద కాలం పాటు అనేక ఇబ్బందులు పడిందని, నరకం అనుభవించిందని ఆరుషి మేనత్త వందన తల్వార్ పేర్కొన్నారు.
"
"Vandana Talwar, Aarushi's aunt, said the entire family had suffered for nearly a decade as the case dragged on.
","మా కుటుంబం మొత్తం ఈ కేసు విచారణ సాగిన సుమారు దశాబ్ద కాలం పాటు అనేక ఇబ్బందులు పడిందని, నరకం అనుభవించిందని ఆరుషి మేనత్త వందన తల్వార్ పేర్కొన్నారు.
"
"What came to my mind when I saw were childhood memories of summers days in a French country home where I would spend vacations with my aunt.
","నా బాల్యాన్ని తలచుకోగానే, అమ్మానాన్నలతో కలిసి దక్షిణ ఫ్రాన్స్లోని ఓ పల్లెటూర్లో ఆన౦ద౦గా గడిపిన రోజులు గుర్తుకొస్తాయి.
"
"What happened to her aunt?
","ఆంటీకి ఏమయ్యింది?
"
"What is her aunt's name?
","ఆంటీ సర్ పేరు ఏంటి?
"
"What's going on aunt?
","ఏమైంది ఆంటీ?
"
"What's his aunt's name?
","ఆంటీ సర్ పేరు ఏంటి?
"
"Whether you are a new parent bringing a baby home for the first time, a loving aunt, uncle of family friend searching for gifts for many children who are different ages, or a doting grandparent, these lists are here to serve as a resource.
","మీరు మొదటి సారి ఒక బిడ్డ ఇంటిని తీసుకువచ్చిన ఒక కొత్త పేరెంట్ అయినా, ఒక విభిన్న వయస్సు గల పిల్లవాడికి బహుమతిగా ఉన్న బహుమతుల కోసం ఒక ఫ్రెండ్ మిత్రుడు, లేదా ఒక ధైర్యవంతుడైన తల్లిదండ్రుల మామయ్య, ఈ జాబితాలు ఒక వనరుగా ఉండటానికి ఇక్కడ ఉన్నాయి.
"
"Why don't you ask your aunt?
","మీ అంకుల్ ని అడిగి చూడరాదూ?
"
"Yes, we are talking about aunts.
","అవును, అవును, మేము పిశాచములు గురించి మాట్లాడుతున్నాము.
"
"You shall not uncover the nakedness of your father's brother; you shall not approach his wife, she is your aunt.
","నీ తండ్రి సహోదరుని మానాచ్ఛాదనమును తీయకూడదు, అనగా అతని భార్యను సమీపింపకూడదు; ఆమె నీ పినతల్లి.
"
"aunt came to me.
","ఆంటీ అంటూ నా దగ్గరకు వచ్చాడు.
"
"i feel more connected with my aunts than my parents.
","నాకు మా అన్నాదమ్ముళ్లతో కంటే అక్కాచెల్లెళ్లతో అనుబంధం ఎక్కువ.
"
"my aunt said.
","ఆంటీ చెప్పింది.
"
"what is the name of the aunt?
","ఆంటీ సర్ పేరు ఏంటి?
"
"But her aunt did not approve.
","కాని ఆమె నాయనమ్మ మాత్రం దీనికి ఒప్పుకోదు.
"
"Also, Sara's aunt Soha Ali Khan has also wished her while sharing a gorgeous pic on Instagram, both the actresses look stunning in the picture.
","సోదరి సోహా అలీ ఖాన్ కూడా తన సోదరుడు సైఫ్ కి ఇన్ స్టాగ్రామ్ లో శుభాకాంక్షలు తెలుపుతూ పటౌడీ రాజ వస్త్రధారణతో ఉన్న సొగసైన చిత్రాలను పంచుకున్నారు.
"
"She's not my aunt.
",". . . ఆమె నాకు అక్క కాదు.
"
"The victim lives with her maternal aunt at a village near Pul Prahladpur.
","బాధితురాలు పుల్ ప్రహ్లాద్‌పూర్ సమీప గ్రామంలో తన మేనమామ ఇంట్లో నివసించేది.
"
"Angelina Jolie's aunt dies of breast cancer
","కేన్సర్ భయంతో అండాశయం తొలగించుకున్న ఏంజెలీనా జోలీ
"
"Her aunt was by her side in the hospital.
","ఆస్పత్రిలో భట్టి వెంట ఆయన సతీమణి ఉన్నారు.
"
"Among them were her father, grandparents, aunts, uncles and cousins.
","అందులో అన్నలు, అక్కలు, చెల్లెమ్మలు, బాబాయిలు, అవ్వలు, తాతలు లాంటివి ఉంటాయి.
"
"Recently, Prabhas' aunt Shyamala Devi, wife of Krishnam Raju, opened up about his wedding.
","అయితే ఇప్పుడు ప్రభాస్ పెద్ద‌మ్మ, కృష్ణంరాజు భార్య శ్యామ‌లా దేవి కూడా ఆయ‌న పెళ్లి గురించి మాట్లాడింది.
"
"There were grand- parents, uncles, aunts, mothers. | fathers, brothers and sisters and friends.
","తాతయ్యలు, అక్కలు, బావలు, అన్నలు, వదినెలు , బాబాయలు, పిన్నులు ఇలా ఎంతో మంది ఉండేవారు.
"
"Cricketer Suresh Raina put out a tweet saying he needed an oxygen cylinder for his aunt in Meerut.
","ప్రముఖ క్రికెటర్ సురేష్ రైనా ట్విట్టర్ లో మీరట్ లో ఉన్న తన ఆంటీకి అర్జంట్ గా ఆక్సీజన్ అవసరం ఉంది అంటూ ట్వీట్ చేశాడు.
"
"Also many aunts, uncles and cousins.
","అంతేకాకుండా చాలా మంది మనమలు, మనవరాళ్లు ఉన్నారు.
"
"And mom and dad and brothers and sisters and uncles and aunts and cousins.
","అమ్మా నాన్నలు, అన్నదమ్ములు, అక్కచెల్లెళ్ళు కోడల్లు, అల్లుళ్లు.
"
"Both aunts were killed in the accident.
","ఈ ప్రమాదంలో తల్లీకూతుళ్లిద్దరూ అక్కడిక్కడే మృతిచెందారు.
"
"He seated himself next to his aunt.
","వాడు అక్క పక్కనే పడుకుండిపోయాడు.
"
"Arjun Kapoor and Malaika Arora attended a party thrown by Arjuns aunt, Maheep Kapoor.
","ఈ వేడుకకు అర్జున్ కపూర్, మలైకా అరోరా కూడా వచ్చారు.
"
"Police detained the parents as well as the uncle and the aunt.
","అత్యాచార నిందితుడు, అతని పేరెంట్స్, తాత అమ్ముమ్మలను కూడా పోలీసులు అరెస్ట్ చేశారు.
"
"Brother, sisters, aunts uncles.
","అమ్మా నాన్నలు, అన్నదమ్ములు, అక్కచెల్లెళ్ళు కోడల్లు, అల్లుళ్లు.
"
