eng_Latn,hin_Deva
"Be gentle and good-hearted not only to your parents, but to your cousins, to your friends, and even to the flora and fauna around you.
","न केवल अपने माता-पिता के साथ, बल्कि अपने रिश्तेदारों, दोस्तों और यहां तक कि अपने आस-पास के वनस्पतियों के साथ भी सौम्य और गर्मजोशी से पेश आएं।
"
"But they were all my cousins.
","पर वो सारे ही मेरे दुलारे थे.
"
"Call the police, cousin.
","पुलिस को बुलाओ, मेरी चाची
"
"Can you marry your mother's cousin sister's daughter?
","मेंरी मम्मी की चाचा की बेटी की बेटी से शादी कर सकते है क्या?
"
"Director Mohit Suri and Actor Emraan Hashmi are her paternal cousins.
","डायरेक्टर मोहित सूरी और एक्टर इमरान हाशमी उनके कजिन हैं।
"
"Director Mohit Suri and actor Emraan Hashmi are her maternal cousins.
","डायरेक्टर मोहित सूरी और एक्टर इमरान हाशमी उनके कजिन हैं।
"
"Director roger michell whose films include notting hill, venus and my cousin rachel, has died at the age of 65.
","लॉस एंजिल्सः नॉटिंग हिल, वीनस और माई कजिन राचेल जैसी फिल्मों के निर्देशन के लिए पहचाने जाने वाले फिल्म निर्माता रोजर मिशेल का 65 वर्ष की आयु में निधन हो गया।
"
"Do you believe me now, my cousin?
","अब आप मुझ पर विश्वास करते हैं, चाची?
"
"Don't tell your cousin anything.
","चाचा को कुछ मत कहना।
"
"During his second visit in 2018, he was introduced to two ISI personnel by his cousin Shazeb.
","साल 2018 में अपने दूसरे पाकिस्तान दौरे पर उसकी मौसी के बेटे शाजेब ने उसे आईएसआई के दो एजेंटों से मिलवाया।
"
"Eight-month-old baby girl raped in northwest Delhi, cousin arrested
","उत्तर पश्चिम दिल्ली में आठ महीने की बच्ची के साथ बलात्कार - delhi rape of eight month old girl relative arrested
"
"Elizabeth II's cousin married a man
","एलिजाबेथ II की शादी एक रिश्तेदार से हुई है
"
"Example: She's my cousin.
","उदाहरण: वो मेरी चाची है_
"
"Famous Bollywood actress Kajol is her cousin.
","बॉलीवुड की मशहूर अभिनेत्री, काजोल उनकी भतीजी हैं।
"
"Film director Mohit Suri is also his cousin.
","इसके डायरेक्टर मोहित सूरी का भी अपना चार्म है।
"
"Genetic effect of consanguineous and cousin marriages.
","समरक्त एवं भंगिनी-बंधुविवाहों के आनुवंशिक प्रभाव।
"
"George V King of Great Britain (1st cousin)
","जॉर्ज १ (ग्रेट ब्रिटेन का महाराजा) ट
"
"Ghosts have been popular in children's media such as Casper the Friendly Ghost, created in the 1930s and appearing in comics, animated cartoons and a eventually 1995 feature film, his cousin Spooky and the Ghostly Trio.
","बच्चों की परोपकारी भूत कहानियां लोकप्रिय हुईं, जैसे कैस्पर द फ्रेंडली घोस्ट, 1930 के दशक में बनाई गई और कॉमिक्स, एनिमेटेड कार्टून और अंततः 1995 की फीचर फिल्म में प्रदर्शित हुई।
"
"He began his music career writing songs for Travis Tritt and Billy Currington before signing with Capitol Nashville with his cousin, Chad Christopher
","उन्होंने अपने संगीत करियर की शुरुआत ट्रैविस ट्रिट और बिली करिंगटन के लिए गाने लिखने से की - इसमें शामिल होने से पहले ... अधिक
"
"He didn't realize that he was my cousin.
","उसे समझ नहीं आ रहा था कि वो मेरा लौड़
"
"He was a cousin of Pierre Boutroux.
","वो पियरी बोउट्रोक्स के चाचा थे।
"
"He was with his cousins.
","उसने अपने पोते-पोतियों के साथ .
"
"He's married to my cousin,
","वह मेरे गुड्डे की शादी ,
"
"Her dad is my husband's cousin.
","इसका पति मेरे पति का कुलीग है।
"
"Her debut novel, The Sweetness (She Writes Press, 2014), is the parallel tale of two Jewish cousins, one who is growing up in Brooklyn, and one who is the lone survivor of a family exterminated by Nazis.
","उनका पहला उपन्यास, दी स्वीटनेस (वह रैट्स प्रेस, 2014), दो यहूदी चचेरे भाइयों की समानांतर कहानी है, जो ब्रुकलिन में बढ़ रहा है, और जो नाजियों द्वारा समाप्त हुए परिवार के एकमात्र उत्तरजीवी है।
"
"I came to my cousin's
","मे चाची के पास गया
"
"I didn't want my cousin to be put
","नहीं चाहता था की मेरा देसी आंटी के
"
"I don't sleep 'cause sleep is the cousin of death.
","सोता नै क्योंकि नींद Death की है Cousin
"
"I don't sleep, because sleep is the cousin death.
","सोता नै क्योंकि नींद Death की है Cousin
"
"I felt an instant connection with the photograph, for he resembled some of my cousins.
","मुझे तस्वीर के साथ एक त्वरित संबंध महसूस हुआ, क्योंकि वह मेरे कुछ चचेरे भाइयों से मिलता जुलता था।
"
"I fucked my cousin....
","मैंने अपने चाची की चुदाई की - . . .
"
"I had gone to a cousin's house during the summer vacation.
","मैं गर्मी की छुट्टियों में अपने किसी रिश्तेदार के घर गई थी।
"
"I have a brother, I have many cousins.
","एक बंधु को कहै अनेक बंधु मेरे हैं।
"
"I have cousins who live there.
","मेरे पास दादा दादी हैं जो वहां रहते हैं।
"
"I live with my husband and cousin.
","मैं अपने पति और सास-ससुर के साथ रहती हूँ.
"
"I looked at my cousin in surprise.
","चाची की ओर मैंने हैरानी से देखा.
"
"I met with my cousins [...]
","मैं अपनी सहेलियों से मिलने [...]
"
"I was not with your cousin.
","मैं तम्हारे cousin के साथ नहीं था।
"
"I'm giving the gift of language to my cousin who just graduated college and is getting ready for real life.
","मैं अपने एक ऐसे रिश्तेदार को भाषा का उपहार दे रहा हूँ जिसने अभी-अभी कॉलेज की शिक्षा पूरी की है और वास्तविक जीवन के लिए तैयार हो रहा है।
"
"I'm sorry about my cousins.
","मुझे अपने पोते-पोतियों के लिए खेद है।
"
"If I never moved to Atlanta, I'd be like a Kodak Black with all my cousins.
","अगर मैं कभी अटलांटा नहीं गया, तो मैं अपने सभी चचेरे भाइयों के साथ कोडक ब्लैक की तरह रहूंगा।
"
"In a relief for veteran Bollywood actor Jeetendra, the Himachal Pradesh High Court has dismissed an FIR against him, which alleged that he sexually assaulted his cousin 48 years ago.
","अभिनेता जितेन्द्र को मिली बड़ी राहत, अदालत ने यौन उत्पीड़न की FIR खारिज कीहिमाचल प्रदेश उच्च न्यायालय ने बॉलीवुड अभिनेता जितेन्द्र के खिलाफ दायर उस प्राथमिकी को खारिज कर दिया, जिसमें आरोप लगाया गया था कि उन्होंने 48 साल पहले अपनी एक रिश्तेदार का यौन उत्पीड़न किया था.
"
"In fact , he/she's a distant cousin of mine.
","वह असल में मेरी दूर की आंटी हैं.
"
"Isn't she his cousin?
","क्या वह उनकी पोती नहीं है?
"
"It describes and explores the feud between two groups of cousins belonging to the Kuru clan, namely, Kaurava and Pandavas, over land and power.
","यह कुरु वंश, कौरव और पांडवों, भूमि और सत्ता से संबंधित चचेरे भाइयों के दो समूहों के बीच के झगड़े का वर्णन और अन्वेषण करता है।
"
"It's your 18th birthday, darling cousin!
","यह तुम्हारा 18 वां जन्मदिन है मेरा प्रिय
"
"Me and my cousins in the car
","मुझको और मेरे गर्लफ्रेंड में हमारे कार
"
"My aunt and my cousin also suffered serious injuries.
","मेरी बुआ और मेरी कजिन को गंभीर चोटें लगी हैं।
"
"My cousin and her husband
","मेरी चाची और उसके पति
"
"My cousin comes into the room.
","मेरी बीबी कमरे में आती है ।
"
"My cousin died in that war.
","इस युद्ध में मेरे दादाजी की मृत्यु हो गई।
"
"My cousin died in this war.
","इस लड़ाई में मेरे रिश्तेदार की मौत हो गई।
"
"My cousin hadn't been to my house in years.
","मेरा लल्ला सालों हमारे घर नहीं गया।
"
"My cousin is.
","मेरी चाची है ।
"
"My cousin participated too.
","मेरे दादाजी ने भी भाग लिया।
"
"My cousins and teachers helped me a lot.
","मेरे प्रधानाचार्य व शिक्षकों ने मेरी बहुत मदद की।
"
"My wife's cousin Part 3
","मेरी गंदी पत्नी भाग 3
"
"One day, her cousin came to stay with them.
","एक दिन उनकी चाची आई उनके साथ रहने के लिए।
"
"One of them was married to a distant cousin.
","उनकी शादी दूर की एक कजन से हुई थी।
"
"Rahul, the younger of the Chahar cousins, was picked ahead of Yuzvendra Chahal, who has been India's leading spinner in limited-overs cricket since the conclusion of the 2017 Champions Trophy.
","चाहर के चचेरे भाइयों में से छोटे राहुल को युजवेंद्र चहल से आगे चुना गया, जो 2017 Champion Trophy के समापन के बाद से सीमित ओवरों के क्रिकेट में भारत के प्रमुख स्पिनर रहे हैं।
"
"Ramesh is his cousin.
","रमेश तुम्हारा पोता है।
"
"Shah Rukh Khan's cousin to contest election in Pakistan
","शाहरुख खान की रिश्तेदार पाकिस्तान में लड़ेगी चुनाव
"
"Shah Rukh Khan's cousin to contest elections from Pakistan
","शाहरुख खान की रिश्तेदार पाकिस्तान में लड़ेगी चुनाव
"
"Shah Rukh Khan's cousin to contest elections in Pakistan
","शाहरुख खान की रिश्तेदार पाकिस्तान में लड़ेगी चुनाव
"
"She has cousins, parents, grandparents and a whole gang of friends.
","नानी हैं, दादा-दादी हैं, मां-पापा हैं और हैं कई सारे दोस्त।
"
"She is the cousin of the Indian actor Pankaj Raina.
","वह हिंदी अभिनेता पंकज रैना के भतीजी हैं।
"
"Shimla: Actor Jeetendra was on Wednesday accused by his cousin of sexually assaulting her 47 years ago,...
","शिमला: अभिनेता जितेंद्र पर आज उनकी एक रिश्तेदार ने 47 वर्ष पहले यौन उत्पीड़न करने का आरोप लगाया।
"
"So it is, botanically, a true poppy, a member of the Papaveraceae family and it shares the growth habits and active principles with its cousins.
","इसलिए, यह वनस्पति रूप से, एक सच्चा पोस्ता है , जो पापावेरेसी परिवार का सदस्य है और यह अपने चचेरे भाइयों के साथ विकास की आदतों और सक्रिय सिद्धांतों को साझा करता है।
"
"Teen shot by 11-year-old cousin
","11 साल के बच्चे की चाकू से गोदकर हत्या
"
"The Neanderthals were a cousin of humans, but not a direct ancestor - the two species split off from a common ancestor - who perished about 50,000 years ago.
","निएंडरथल मनुष्यों के करीब एक प्रजाति थे, लेकिन प्रत्यक्ष पूर्वज नहीं थे - दो प्रजातियां एक सामान्य पूर्वज से अलग हो गईं - जो लगभग 50,000 साल पहले नष्ट हो गई थीं।
"
"The Neanderthals were a cousin of humans, but not a direct ancestor - the two species that were split from a common ancestor - who died around 50,000 years ago.
","निएंडरथल मनुष्यों के करीब एक प्रजाति थे, लेकिन प्रत्यक्ष पूर्वज नहीं थे - दो प्रजातियां एक सामान्य पूर्वज से अलग हो गईं - जो लगभग 50,000 साल पहले नष्ट हो गई थीं।
"
"The Neanderthals were a cousin species of humans but not a direct ancestor - the two species split from a common ancestor - that perished around 50,000 years ago.
","निएंडरथल एक ऐसी प्रजाति थी जो मनुष्यों के करीब थी, लेकिन प्रत्यक्ष पूर्वज नहीं थी - दो प्रजातियां एक सामान्य पूर्वज से अलग हो गईं - जो लगभग 50,000 साल पहले नष्ट हो गई थीं।
"
"The Neanderthals were a cousin species of humans, but not a direct ancestor - the two species separated by a common ancestor - that perished about 50,000 years ago.
","निएंडरथल मनुष्यों के करीब एक प्रजाति थे, लेकिन प्रत्यक्ष पूर्वज नहीं थे - दो प्रजातियां एक सामान्य पूर्वज से अलग हो गईं - जो लगभग 50,000 साल पहले नष्ट हो गई थीं।
"
"The Neanderthals were a cousin species of man but not a direct ancestor - the two species separated from a common ancestor - who perished about 50,000 years ago.
","निएंडरथल मनुष्यों के करीब एक प्रजाति थे, लेकिन प्रत्यक्ष पूर्वज नहीं थे - दो प्रजातियां एक सामान्य पूर्वज से अलग हो गईं - जो लगभग 50,000 साल पहले नष्ट हो गई थीं।
"
"The Neanderthals were a kind of human cousins, but not a direct ancestor, the two species separated from a common ancestor, which perished about 50,000 years ago.
","निएंडरथल एक ऐसी प्रजाति थी जो मनुष्यों के करीब थी, लेकिन प्रत्यक्ष पूर्वज नहीं थी - दो प्रजातियां एक सामान्य पूर्वज से अलग हो गईं - जो लगभग 50,000 साल पहले नष्ट हो गई थीं।
"
"The Neanderthals were a sort of human cousin, but not a direct ancestor - the two species separated from a common ancestor - who died about 50,000 years ago.
","निएंडरथल एक ऐसी प्रजाति थी जो मनुष्यों के करीब थी, लेकिन प्रत्यक्ष पूर्वज नहीं थी - दो प्रजातियां एक सामान्य पूर्वज से अलग हो गईं - जो लगभग 50,000 साल पहले नष्ट हो गई थीं।
"
"The accident took place when Rinku Jain, a fashion designer who owns a shop in the Goregaon suburb, was travelling with her cousin on Mumbai's Westen Express Highway.
","हादसे के वक्त गोरेगांव में अपनी एक शॉप चलाने वाली फैशन डिजाइनर रिंकू जैन कार से मुंबई के वेस्टर्न एक्सप्रेस हाइवे पर अपनी भतीजी के साथ जा रही थीं.
"
"The actor married his first cousin, Santosh Chandhok, later known as an author and television writer.
","दो साल बाद, उन्होंने अपने पहले रिश्तेदार संतोष चंदोक से विवाह किया, जिन्हें बाद में लेखक और टेलीविजन लेखक के रूप में जाना जाता है।
"
"The four cousins scored 2200 marks in total...
","चारों भाइयों को कुल 2200 अंक प्राप्त हुए. . .
"
"The girl further alleged that when she went to her maternal uncle's house, her four uncles along with her cousins raped her.
","लड़की ने आगे आरोप लगाया है कि जब वह अपने मामा के घर गई, तो उसके चचेरे भाइयों के साथ उसके चार चाचाओं ने उसके साथ दुष्कर्म किया.
"
"The girl has further alleged that when she had visited her maternal uncle's house, she was raped by four of her uncles along with cousins.
","लड़की ने आगे आरोप लगाया है कि जब वह अपने मामा के घर गई, तो उसके चचेरे भाइयों के साथ उसके चार चाचाओं ने उसके साथ दुष्कर्म किया.
"
"The new ruler is the cousin of late Sultan Qaboos.
","नए शासक स्वर्गीय सुल्तान कबूस के कज़न हैं।
"
"The popular Bollywood actress, Kajol, is her second cousin.
","बॉलीवुड की मशहूर अभिनेत्री, काजोल उनकी भतीजी हैं।
"
"The report stated that Nur Jahan had come to fulfill his cousin Shah Rukh Khan at the very least twice.
","रिपोर्ट मे कहा गया कि नूरजहां अपने कजन शाहरुख खान से कम से कम दो बार मिलने आई थीं।
"
"These are my cousins,
","ये मेरी सहेलियां है,
"
"These carnivores were competitors and cousins of Tyrannosaurus Rex, the most well-known tyrannosaur species.
","ये मांस व्यंजन टायरानोसॉरस के रिश्तेदार और प्रतिद्वंद्वी हैं, इसकी सबसे लोकप्रिय प्रजाति डायनासोर रेक्स.
"
"These carnivores were cousins and competitors of tyrannosaurs, whose most famous species is Tyrannosaurus rex.
","ये मांस व्यंजन टायरानोसॉरस के रिश्तेदार और प्रतिद्वंद्वी हैं, इसकी सबसे लोकप्रिय प्रजाति डायनासोर रेक्स.
"
"This happened between me and my cousin.
","ये घटना मेरे और मेरी चाची के बीच की है.
"
"This is a photo of my 10-year-old cousin.
","यह फोटो मेरी दस साल की भतीजी
"
"This is my cousin's photo.
","यह तसवीर मेरे चाचा की है।
"
"Though larger in size, they are the closest surviving relative of the Old English Bulldog because they were not altered to as great an extent while in Colonial America as their European cousins.
","अपने बड़े आकार के रहते हुए भी यह इंग्लिश बुल्ल्डोग के सबसे करीबी वंशज है क्यों की इनमे गुजरे समय में इंतना बदलाव नहीं आया जितना की उनके एउरोपी रिश्तेदारो में.
"
"Though larger in size, they are the closest surviving relative of the Old English Bulldog, because they were not altered to as great an extent while in America as their European cousins.
","अपने बड़े आकार के रहते हुए भी यह इंग्लिश बुल्ल्डोग के सबसे करीबी वंशज है क्यों की इनमे गुजरे समय में इंतना बदलाव नहीं आया जितना की उनके एउरोपी रिश्तेदारो में.
"
"Two cousins married in two years.
","दो साल में दो बेटियाें की शादी
"
"Two years later, he married his first cousin, Santosh Chandhok, later known as an author and television writer.
","दो साल बाद, उन्होंने अपने पहले रिश्तेदार संतोष चंदोक से विवाह किया, जिन्हें बाद में लेखक और टेलीविजन लेखक के रूप में जाना जाता है।
"
"Watching his cousin play for Sonnet Club, he developed his interest in cricket, after which his parents enrolled him at the Sonnet Club at the age of 12.
","उन्हें खेलते हुए देखकर, उन्होंने क्रिकेट में अपनी रुचि विकसित की, जिसके बाद उनके माता-पिता ने उन्हें तारक सिन्हा की कोचिंग में 12 साल की उम्र में सॉनेट क्लब में दाखिला दिलाया था।
"
"We were sitting next to his mom's cousin.
","माँ की गोद के पास हम बैठते थे।
"
"We're both cousin.
","हम दोनों हैं सगे सहोदर ।
"
"Well you haven't seen mine or my cousins.
","आपने मेरे गोडसे और भतीजे को नहीं देखा है।
"
"When it's your cousin's birthday
","जब चाची का जन्मदिन आता है तो
"
"When the parents learnt that their daughter was not only posting indecent photographs online but also instigating her cousins to do the same, they suffered heart attacks.
","जब उसके माता-पिता को पता चला कि उनकी बेटी न केवल अश्लील तस्वीरें ऑनलाइन पोस्ट कर रही है बल्कि अपनी कजिन्स को भी ऐसा करने के लिए उकसा रही है, तो उन्हें हार्ट अटैक आ गया।
"
"You are my cousin, my friend, and God's gift to me.
","तू मेरी संगी,मेरी साथी ,मेरी ईश्वर प्रदत्त मुराद है
"
"You're not my cousin, you're somebody else.
","मेरा साजन नहीं तू कोई और है
"
"cousin's house.
","चाची के घर।
"
"for my husband's cousin's wedding.
","मेरे भतीजे की शादी के लिए.
"
"fucking my cousin while she was asleep
","मेरी चाची कमबख्त, जबकि वह सो रहा
"
"i don't sleep because sleep is the cousin of death
","सोता नै क्योंकि नींद Death की है Cousin
"
"me and my cousin having sex
","मेरी चाची और मैं सेक्स
"
"my cousin and a friend.
","मेरे चाचा और एक दोस्त.
"
"my cousin lives there.
","मेरी चाची वहीं रहती हैं।
"
"my cousin's
","मेरे चाचा का
"
"she's the best cousin of mine,
","वह मेरी है सबसे न्यारी,
"
"the cousin of Mary, the mother of Jesus Christ.
","मैरी का पति, यीशु मसीह की मां।
"
"we're not cousins we're not married
","पति-पत्नी नहीं हैं हम
"
"Kapil said that his cousin had once wished to see Shah Rukh Khan's house.
","कपिल ने बताया कि एक बार उनका कजिन शाहरुख का घर देखना चाहता था।
"
"Shanaya Kapoor is working as an Assistant Director at her cousin Janhvi Kapoor's film Gunjan Saxena biopic.
","काम की बात करें तो शनाया जाह्नवी कपूर की फिल्म 'गुंजन सक्सेना' में असिस्टेंट डायरेक्टर के तौर पर बॉलीवुड में अपना डेब्यू कर चुकी हैं।
"
"In Bikaner, Union minister and Bharatiya Janata Party (BJP) candidate Arjun Ram Meghwal is facing a tough fight from his cousin, Congress candidate Madangopal Meghwal.
","वहीं राजस्थान के बीकानेर से भाजपा नेता और केन्द्रीय मंत्री अर्जुनराम मेघवाल के सामने कांग्रेस नेता मदनगोपाल मेघवाल है।
"
