eng_Latn,hin_Deva
"He had earlier applied for National Cricket Academy's batting consultant and Under-19 batting coach's position but his application was put on hold as his brother-in-law Ashish Kapoor is the chairman of U-19 selection committee.
","उन्होंने पहले एनसीए के बल्लेबाजी सलाहकार और अंडर -19 बल्लेबाजी कोच के पद के लिए आवेदन किया था, लेकिन उनके भाई आशीष कपूर अंडर -19 चयन समिति के अध्यक्ष थे।
"
"He had earlier applied for being NCA batting consultant and U-19 batting coach, but his application was put on hold as his brother-in-law, Ashish Kapoor, is the chairman of the U-19 selection committee.
","उन्होंने पहले एनसीए के बल्लेबाजी सलाहकार और अंडर -19 बल्लेबाजी कोच के पद के लिए आवेदन किया था, लेकिन उनके भाई आशीष कपूर अंडर -19 चयन समिति के अध्यक्ष थे।
"
"He had no engineering background but his brother-in-law D.V.S. Raju, an engineer, inspired him to enter the IT sector by setting up Satyam Computer Services in 1987.
","उनके पास इंजीनियरिंग की कोई डिग्री नहीं थी, लेकिन उनके साले डी वी एस राजू एक इंजीनियर थे, जिन्होंने उन्हें 1987 में सत्यम कंप्यूटर सर्विसेज स्थापित करने और आईटी क्षेत्र में प्रवेश करने की सलाह दी.
"
"He had previously applied for the post of NCA batting consultant and under-19 batting coach, but his brother-in-law Ashish Kapoor was the chairman of the under-19 selection committee.
","उन्होंने पहले एनसीए के बल्लेबाजी सलाहकार और अंडर -19 बल्लेबाजी कोच के पद के लिए आवेदन किया था, लेकिन उनके भाई आशीष कपूर अंडर -19 चयन समिति के अध्यक्ष थे।
"
"He is my brother-in-law,
","वो मेरा बंधू मेरा सखा,
"
"He was the brother-in-law of hockey Olympian Joaquim Carvalho.
","वह हॉकी ओलंपियन जोआकिम कार्वाल्हो के दामाद थे।
"
"Her brother-in-law's house was very large.
","भैया का घर बहुत ही बड़ा था.
"
"I'm proud of my brother-in-law and of this dad
","गर्व है मुझे इन जवानो पे और मेरे पिता
"
"In case of Rathour, he had earlier applied for NCA batting consultant and U-19 batting coach's position but his application was put on hold as his brother-in-law Ashish Kapoor is the chairman of U-19 selection committee.
","राठौड़ ने इससे पहले एनसीए बल्लेबाजी सलाहकार और अंडर-19 बल्लेबाजी कोच पद के लिए आवेदन किया था, लेकिन उनका आवेदन रोककर रखा गया था क्योंकि उनके रिश्तेदार आशीष कपूर अंडर-19 चयन समिति के अध्यक्ष हैं ।
"
"Indian bhabhi is fucking her brother-in-law when husband was not at home hindi audio.
","HomeIndianदेसी भाभी को बहोत चोदा जब उसका पति घर पे नहीं था हिंदी गाली ऑडियो
"
"Indian brother-in-law and step-sis Home alone
","भारतीय भाई और चरण-बहन घर में अकेले
"
"Indian brother-in-law and step-sister Home alone
","भारतीय भाई और चरण-बहन घर में अकेले
"
"Is it legal to marry your brother-in-law?
","क्या आपकी बहन से शादी करना कानूनी है?
"
"It was his brother-in-law (Shruti's more young relatives) (Surya) Crisis Center.
","यह विवाह से उसका भाई था (श्रुति का अधिक युवा परिजन) (सूर्य) संकट केंद्र।
"
"It would not be wrong to say that this brother-in-law couple is the most famous in Bollywood.
","ये कहना गलत नहीं होगा कि ये भाई-बहन की जोड़ी बॉलीवुड में सबसे ज्यादा क्यूट है.
"
"Malik said he would address a press conference on Saturday to reveal the name of the BJP leader whose brother-in-law was let off by the NCB.
","नवाब मलिक ने कहा कि वह शनिवार को प्रेस कॉन्फ्रेंस कर के उस बीजेपी नेता का नाम बताएंगे, जिसके साले को एनसीबी ने जाने दिया।
"
"Malik said he would address a press conference on Saturday to reveal the name of the BJP leader, whose brother-in-law was dumped by the NCB.
","नवाब मलिक ने कहा कि वह शनिवार को प्रेस कॉन्फ्रेंस कर के उस बीजेपी नेता का नाम बताएंगे, जिसके साले को एनसीबी ने जाने दिया।
"
"Mr Malik said he would address a press conference on Saturday to reveal the name of the BJP leader whose brother-in-law has been released by the NCB.
","नवाब मलिक ने कहा कि वह शनिवार को प्रेस कॉन्फ्रेंस कर के उस बीजेपी नेता का नाम बताएंगे, जिसके साले को एनसीबी ने जाने दिया।
"
"Mr. Malik said he would address a press conference on Saturday to reveal the name of the BJP leader whose brother-in-law was let off by the NCB.
","नवाब मलिक ने कहा कि वह शनिवार को प्रेस कॉन्फ्रेंस कर के उस बीजेपी नेता का नाम बताएंगे, जिसके साले को एनसीबी ने जाने दिया।
"
"Mr. Perfect (2011) as Dubey's brother-in-law
","मिस्टर परिपूर्ण (2011) दुबे के भाई के रूप में
"
"My brother-in-law died recently at 90.
","मेरा असाधारण पिता हाल ही में 90 पर निधन हो गया।
"
"My brother-in-law had 11 kids.
","मेरे परदादा के पास 11 बच्चे हैं।
"
"My sister and brother-in-law share the same birth day
","सासू मां और भाई एक ही दिन शेयर करते हैं बर्थडे
"
"My sister-in-law and brother-in-law live there.
","मेरी मौसी और चचेरे भाई वहीं रहते हैं
"
"Nanak wanted to stay with his sister for a few days and hence went to Sultanpur and started working under the employer of his brother-in-law.
","नानक कुछ दिनों तक अपनी बहन के साथ रहना चाहते थे और इसलिए सुल्तानपुर गये और अपने भाई के नियोक्ता के अधीन काम करना शुरू कर दिया।
"
"New Delhi: Although there has never been any specific news about Sonakshi Sinha's marriage or relationship, but now it is being told in some reports that Shatrughan Sinha's darling daughter will soon be Sohail Khan.) is going to marry Bunty Sachdeva's brother-in-law.
","नई दिल्लीः सोनाक्षी सिन्हा की शादी या रिश्ते (Sonakshi Sinha's marriage or relationship) को लेकर कभी कोई खास खबर सामने नहीं आई लेकिन अब कुछ रिपोर्ट्स में बताया जा रहा है कि शत्रुघ्न सिन्हा की लाड़ली बेटी (Shatrughan Sinha's darling daughter) जल्द ही सोहेल खान (Sohail Khan) के साले बंटी सचदेवा (Bunty Sachdeva's brother-in-law) से शादी करने जा रहे हैं।
"
"Next articleHafiz Saeed's brother-in-law arrested in Pakistan
","Next articleपाकिस्तान में हाफिज सईद का रिश्तेदार गिरफ्तार
"
"Rapper Kanye West, Kylie's brother-in-law, is on the second spot with his earning of $170 million.
","कान्ये वेस्ट (Kanye West): किम कार्दशियन के पति कान्ये वेस्ट का नाम लिस्ट में 170 मिलियन डॉलर की कमाई के साथ दूसरे नंबर पर है।
"
"Rathour had previously applied for the role of batting consultant with the National Cricket Academy (NCA) and U-19 batting coach, but his application was rejected due to conflict of interest as his brother-in-law Ashish Kapoor is the chairman of the U-19 selection committee.
","राठौड़ ने इससे पहले एनसीए बल्लेबाजी सलाहकार और अंडर-19 बल्लेबाजी कोच पद के लिए आवेदन किया था, लेकिन उनका आवेदन रोककर रखा गया था क्योंकि उनके रिश्तेदार आशीष कपूर अंडर-19 चयन समिति के अध्यक्ष हैं ।
"
"Robert Vadra, Congress President Rahul Gandhi's brother-in-law, on Wednesday asserted that he is not scared and is not running away from the country because he knows that he's not wrong.
","कांग्रेस अध्यक्ष राहुल गांधी के रिश्तेदार रॉबर्ट वाड्रा ने बुधवार को जोर देकर कहा कि वह डरे हुए नहीं हैं और देश छोड़कर भाग नहीं रहे हैं क्योंकि वह जानते हैं कि वह गलत नहीं हैं।
"
"Russian brother-in-law and gf
","रूस भाई और GF
"
"Should I marry my brother-in-law?
","क्या मुझे अपने चचेरे भाई से शादी करनी चाहिए?
"
"Should have paid up brother-in-law pt1
","भाई pt1 का भुगतान किया जाना चाहिए
"
"Sister-in-law's brother-in-law fucked in the washroom
","बहन की ज़बर्दस्त चुदाई किया बाथरूम में
"
"The BJP MP's son had shot himself at his brother-in-law
","BJP सांसद के बेटे ने खुद पर चलवाई गोली
"
"The brother of the attacker's wife (the brother-in-law of the attacker in a relationship) was admitted to the hospital in an injured condition.
","हमलावर की पत्नी के भाई (रिश्ते में हमलावर के साले) को जख्मी हालत में अस्पताल में भर्ती कराया गया.
"
"The brother-in-law of the deceased has confirmed this.
","मृतक के भतीजे ने भी इस बात की पुष्टि की है।
"
"Their family consists of parents, a sweet daughter Samikhsha: 11 years old, and the family of her enterprising brother-in-law who is the harbinger of Amway Business in their life.
","उनके परिवार में माता-पिता, एक प्यारी बेटी समिक्षाः 11 साल का है, और उसके उद्यमी भाई-बहन का परिवार है, जो उनके जीवन में एमवे बिज़नेस के अग्रदूत हैं।
"
"There are only a few in Indian cricket who've acquired unadulterated love like Gavaskar's illustrious brother-in-law Gundappa Viswanath.
","भारतीय क्रिकेट में बहुत कम लोग हैं जिन्हें गावस्कर के शानदार साले गुंडप्पा विश्वनाथ जैसा बेमिसाल प्यार मिला हो।
"
"There are very few Indian cricketers who have received pure love like Gavaskar's illustrious brother-in-law, Gundappa Viswanath.
","भारतीय क्रिकेट में बहुत कम लोग हैं जिन्हें गावस्कर के शानदार साले गुंडप्पा विश्वनाथ जैसा बेमिसाल प्यार मिला हो।
"
"There are very few in Indian cricket who have received unadulterated love like Gavaskar's illustrious brother-in-law Gundappa Viswanath.
","भारतीय क्रिकेट में बहुत कम लोग हैं जिन्हें गावस्कर के शानदार साले गुंडप्पा विश्वनाथ जैसा बेमिसाल प्यार मिला हो।
"
"They said that Kumar, along with his brother-in-law and friend, went to a church near Adimali on November 16 where he met her to give the amount she sought.
","उन्होंने कहा कि कुमार अपने साले और दोस्त के साथ 16 नवंबर को आदिमाली के पास एक चर्च गए जहां वे उस महिला से पैसे देने के लिए मिले।
"
"They said that Mr Kumar, along with his brother-in-law and friend, went to a church near Adimali on November 16 where he met her to give the amount she sought.
","उन्होंने कहा कि कुमार अपने साले और दोस्त के साथ 16 नवंबर को आदिमाली के पास एक चर्च गए जहां वे उस महिला से पैसे देने के लिए मिले।
"
"This festival gives a message of love, brother-in-law and good victory over evil.
","यह पर्व प्रेम, भाई-चारे और बुराई पर अच्छाई की जीत का संदेश देता है।
"
"Vivek Oberoi's brother-in-law gets arrested in drug case
","ड्रग्स मामले में विवेक ओबेरॉय का करीबी रिश्तेदार गिरफ्तार
"
"What was the reaction of your sister and brother-in-law?
","वकील और बहन की क्या प्रतिक्रिया आई?
"
"When Raj Kundra spoke about his first wife Kavita cheating on him with his brother-in-law:...
","जब राज कुंद्रा ने अपनी पहली पत्नी कविता के बारे में अपने साले के साथ धोखा करने की बात कही
"
"When you left, I said to my brother-in-law, 'He
","जब वह चले गए तो मैंने भैया को चिडाते हुए कहा - -
"
"Why isn't brother-in-law staying with you?
","- क्यो चाचा आप साथ नहीं रहते?
"
"Woman found dead at home, husband and brother-in-law arrested
","घर में फांसी लगा महिला ने दी जान, पति गिरफ्तार
"
"Zelda morrison is very close to her brother-in-law
","ज़ेल्डा मॉरिसन अपने सौतेले भाई के बहुत करीब है
"
"brother-in-law after marrying his sister
","शादी बाद बहन को चोदा
"
"his brother-in-law failed to pay money he
","भाभी का पति उसे पैसे न देता हो
"
"my brother-in-law and his wife recently separated.
","मेरे बड़े भाई और उनकी पत्नी का हाल ही में निधन हो गया।
"
"previous post: brother-in-law
","Previous Post: जाने-अनजाने दोस्त
"
"He was a member of the TDP politburo and brother-in-law of TDP President and Andhra Pradesh Chief Minister N. Chandrababu Naidu.
","नंदमुरि हरिकृष्णा TDP पोलित ब्यूरो के सदस्य और TDP अध्यक्ष और आंध्र प्रदेश के मुख्यमंत्री एन. चंद्रबाबू नायडू के रिश्तेदार थे.
"
"The movie features Aayush Sharma, the brother-in-law of Salman Khan, in his debut role.
","इस फिल्म में सलमान खान ने अपने जीजू को कास्ट किया है यानी की आयुष शर्मा।
"
"In this film, the lead role was played by Salman Khan's brother-in-law Ayush Sharma.
","इसमें सलमान खान को ऐश्वर्या के भाई की भूमिका निभाई थीं।
"
"Tina shared a heartfelt message along with the pictures showing her with husband Anil Ambani and brother-in-law Mukesh Ambani.
","टीना अंबानी ने एक पुरानी तस्वीर शेयर की, जिसमें मुकेश अंबानी, अनिल अंबानी के साथ -साथ वह खुद नजर आ रही हैं.
"
"The funeral prayers were attended by her sons Hassan and Hussain, brother-in-law Shehbaz Sharif, former ministers Chaudhry Nisar and Ishaq Dar among others.
","’’ लंदन में नमाज-ए-जनाजा के दौरान उनके बेटे हसन और हुसैन, नवाज के भाई शहबाज शरीफ, पूर्व मंत्री चौधरी निसार और इशाक डार भी वहां मौजूद थे।
"
"Alt News contacted Pakistani journalist Shiraz Hassan who shared the FIR filed by Ram Chand’s brother-in-law Tirath Ram.
","ऑल्ट न्यूज़ ने पाकिस्तानी पत्रकार शिराज़ हसन से संपर्क किया और उन्होंने हमें राम चंद की पत्नी के भाई तीरथ राम द्वारा दर्ज कराई गयी FIR की कॉपी भेजी.
"
"He stars with his brother-in-law Aayush Sharma in the movie.
","वह इस फिल्म में विलेन बने एक्टर आयुष शर्मा के संग रोमांस करती देखी जाएंगी।
"
"New Delhi: Salman Khan's sister Arpita Khan Sharma and brother-in-law Aayush Sharma hosted Ganesh Chaturthi celebration at their home.
","बता दें गणेश चतुर्थी पर सलमान के के भाई अरबाज खान सुहैल खान उनकी मां और बहन अर्पिता खान उनके पति आयुष शर्मा सभी घर पर पूजा आरती कर रहे थे।
"
"Hafiz Saeed’s brother-in-law arrested in Pakistan
","आतंकी हाफिज सईद पाकिस्तान में नजरबंद
"
"Tina Ambani, the wife of Mukesh Ambani's younger brother Anil Ambani , took to Instagram and posted a birthday message to wish her brother-in-law Mukesh Ambani on his birthday.
","टीना अंबानी ने मुकेश अंबानी को उनके जन्मदिन पर बधाई दी है.
"
"The picture features Karisma with sister Kareena Kapoor Khan, brother-in-law Saif Ali Khan, nephew Taimur and father Randhir Kapoor.
","इस फोटो तैमूर अपने नाना रणधीर कपूर, नानी बबीता, बहन समायरा और भाई कियान नजर आ रहे हैं।
"
"The police have arrested the two boys and the father and brother-in-law.
","पुलिस ने दादा और पोता, दोनों को गिरफ्तार कर लिया है।
"
"The police registered the case and took the accused brother-in-law of the girl into custody.
","युवती के भाई की तहरीर पर केस दर्ज कर पुलिस ने आरोपी को हिरासत में ले लिया है।
"
"Salman Khan is launching his brother-in-law Aayush Sharma with the movie.
","इस फिल्म से सलमान खान अपनी बहन के पति आयुष शर्मा के सिनेमा की दुनिया में लॉन्च कर रहे हैं.
"
"However, Salman is currently shooting for 'Antim: The Final Truth' with his brother-in-law Aayush Sharma.
","वैसे बता दें कि अर्पिता के पति आयुष शर्मा इस समय सलमान खान के साथ फिल्म 'अंतिम: द फाइनल ट्रुथ' में काम कर रहे हैं।
"
"Priyanka Chopra's brother-in-law Kevin Jonas says his youngest daughter Valentina did not initially approve of Priyanka's presence in Nick Jonas' life.
","वहीं एक चैट शो के दौरान निक जोनस के भाई केविन जोनस ने बताया कि उनकी छोटी बेटी वेलेंटिना, प्रियंका चोपड़ा को शुरुआत में बिलकुल पसंद नहीं करती थी।
"
"Her brother-in-law, Raj Kundra has been placed in judicial custody following his arrest in connection to an alleged porn film racket.
","उनके हस्बैंड राज कुंद्रा पोर्नोग्राफी मामले में जेल में बंद हैं।
"
"The film marks the Bollywood debut of Salman’s brother-in-law Aayush Sharma and Warina Hussain.
","सलमान की बहन अर्पिता के पति आयुष शर्मा और वरीना हुसैन की यह पहली फिल्म है।
"
"Bollywood Superstar Salman Khan's Production movie ""Loveratri"", which will be a debut of his brother-in-law Aayush Sharma and Warina Hussain.
","सलमान खान के प्रोडक्शन तले बन रही फ़िल्म ‘लवरात्रि‘ में सलमान की बहन के पति आयुष शर्मा और वरीना हुसैन अपना बॉलीवुड डेब्यू करने वाले हैं।
"
"It includes Nirav Modi, his father Deepak Modi, brother Neeshal Modi, sister Purvi Modi, brother-in-law Maiank Mehta and designer jewellers’ firms -- Solar Exports, Stellar Diamonds and Diamonds R Us.
","इसमें नीरव मोदी, उसके पिता, भाई नीशल मोदी, बहन पूर्वी मोदी, रिश्तेदार मयंक मेहता और डिजाइनर आभूषण कंपनियां सोलर एक्सपोटर्स , स्टेलर डायमंड्स और डायमंड्स आर यू शामिल हैं।
"
"Actor-producer Atul Agnihotri says it was his star brother-in-law Salman Khan who suggested the former to make O Teri.
","अभिनेता-निर्माता अतुल अग्निहोत्री कहते हैं कि सलमान खान ने उन्हें 'ओ तेरी' फिल्म बनाने का सुझाव दिया था
"
"Those searched included Kamal Nath’s former Officer on Special Duty (OSD) Pravin Kakkar, former adviser Rajendra Miglani, Ashwani Sharma, Paras Mal Lodha and executives linked to his brother-in-law’s firm Moser Bayer and a company of his nephew Ratul Puri.
","इस कार्रवाई में कमलनाथ के पूर्व ओएसडी प्रवीण कक्कड़, पूर्व सलाहकार राजेन्द्र, अश्वनी शर्मा और उनके रिश्तेदार की लॉ फर्म मोजर बेयर और रतुल पुरी की कंपनी से जुड़े कर्मचारियों के ठिकानों पर छापेमारी की गयी है।
"
"Woman abducted by friend's brother-in-law
","सहेली को धक्का देकर महिला का किया अपहरण
"
"Arpita and Aayush pose for a picture with Sohail and Arbaaz Khan, their wives Seema and Malaika, Salman, his father Salim Khan, sister Alvira, brother-in-law Atul Agnihotri and the children of the house.
","तस्वीर में जहां आगे की तरफ सलीम खान, वाइफ सलमा और बेटे अरबाज के साथ बैठे हैं तो वहीं पिछली लाइन में उनकी बेटी अलवीरा, पति अतुल अग्निहोत्री, बेटे सोहेल खान, वाइफ हेलेन (Helen) , बेटी अर्पिता और सलमान नजर आ रहे हैं।
"
"Loveratri is the debut film of Aayush Sharma, who is superstar Salman Khan’s brother-in-law.
","फिल्म लवरात्रि सलमान खान की बहन अर्पिता खान के हसबैंड आयुष शर्मा की डेब्यू फिल्म है.
"
"Karisma Kapoor arrived at the party along with her brother-in-law and sister Kareena's husband Saif Ali Khan.
","पार्टी में सारा के अलावा शाहिद कपूर पत्नी मीरा के साथ और कृति सैनन अपनी बहन नूपुर सैनन के साथ पहुंचीं।
"
"After Sonakshi Sinha & Saqib Saleem, Salman Khan's brother-in-law Aayush Sharma also quit Twitter on the same day.
","सोनाक्षी सिन्हा के साथ ही बॉलीवुड एक्टर साक़िब सलीम और आयुष शर्मा ने भी ट्विटर को अलविदा कह दिया है और इससे दूर बना ली है।
"
"Later, his brother-in-law died.
","इसके बाद उसके ससुर की मृत्यु हो गई।
"
"The six arrested persons are Canada-based Kahlon, his driver Kulwinder Singh Rockey, the driver's father Kuldeep Singh, the driver's brother-in-law Sandeep Singh, Manpreet Singh Gill alias Mani and Gabbar Singh.
","गिरफ्तार किए गए छह लोगों में एनआरआई कहलों, उसका चालक कुलविंदरसिंह रॉकी, चालक के पिता कुलदीपसिंह, चालक के रिश्तेदार संदीपसिंह, मनप्रीतसिंह गिल उर्फ मणि और गब्बरसिंह शामिल हैं।
"
"Shehbaz Sharif, the deceased's brother-in-law and president of the Pakistan Muslim League-Nawaz (PML-N), along with Kulsoom's daughter Asma, grandson Zayd Hussain Sharif (Hussain Nawaz's son), and 11 other family members had accompanied the body from London to Lahore.
","नवाज के छोटे भाई एवं पाकिस्तान मुस्लिम लीग-नवाज (पीएमएल-एन) के अध्यक्ष शहबाज शरीफ, बेगम कुलसुम की बेटी आस्मा, उनके पोते जायद हुसैन शरीफ सहित परिवार के 11 अन्य सदस्य उनके पार्थिव शरीर के साथ हैं।
"
"Arbaaz’s son Arhaan and parents Salim Khan and Salma Khan, and brother-in-law Aayush Sharma were also spotted at the bash.
","सलमान खान के पिता सलीम खान, भाई सोहेल, अरबाज खान, बहन अर्पिता खान शर्मा के साथ आयुष शर्मा भी पार्टी में शामिल हुए।
"
"The accused is the brother-in-law of the girl’s elder sister.
","आरोपित युवक बच्चियों का मौसरा भाई है।
"
"Salman Khan is all set to launch his brother-in-law Aayush Sharma along with Warina Hussain in his upcoming production Loveratri.
","सलमान ने आने वाली फिल्म लवयात्री के जरिए अपनी बहन के पति आयुष शर्मा और वरीना हुसैन को लांच किया है।
"
"The brother-in-law of the deceased person intimated to the police about this incident.
","मृतका की चाची ने भी इस बारे में पुलिस को बताया था।
"
"According to the police, the brother-in-law is the main accused.
","पुलिस अधिकारी के मुताबिक मोती मुख्य आरोपित है।
"
"Her family has accused her husband, brother-in-law and mother-in-law of the murder.
","परिजनों ने हत्या का आरोप पति, उसके ममेरे भाई और दोस्त पर लगाया है।
"
"One is the brother-in-law of a BJP leader.
","इनमें से एक भाजपा नेता का रिश्तेदार भी है।
"
"Police also arrested his wife and his brother-in-law’s wife.
","पुलिस ने उसके पति व मुंहबोले भाई को भी गिरफ्तार किया।
"
"The brother-in-law of the deceased person intimated to the police about this incident.
","दिवंगत के भाई ने थाने में घटना की सूचना दी।
"
