eng_Latn,hin_Deva
"My grandfather's birthday greetings in English
","बड़े भाई के जन्मदिन पर बधाई in English
"
"My grandfather's head snapped around.
","दादीजी का सिर घूम गया।
"
"My grandfather's house in winter
","सर्दी में दादी के घर
"
"My grandfather, though, had other ideas.
","लेकिन मेरे पिता के पास दूसरे विचार थे।
"
"My great grandfather's brother married my great grandmother's sister.
","मेरे चचेरे भाई ने मेरी पत्नी की बड़ी बहन से शादी की थी.
"
"My mother looks like my grandfather.
","मेरी माँ देखने में मेरी बड़ी बहन जैसी ही लगती हैं.
"
"North Korea often celebrates the country's major anniversaries by displaying thousands of troops and their most advanced military equipment at parades on Kim Il-sung Square, in honor of the North Korean dictator's grandfather.
","उत्तर कोरिया अक्सर किम इल सुंग स्क्वायर पर परेड में हजारों हंस-कदम पर चलने वाले सैनिकों और अपने सबसे उन्नत सैन्य हार्डवेयर को प्रदर्शित करके प्रमुख राज्य वर्षगांठ मनाता है।
"
"One day, his grandfather called him.
","एक दिन उनके पिता ने उन्हें बुलाया.
"
"One of our grandfathers.
","एक हमारी दादी।
"
"People will think I'm your grandfather.
","लोग तुझको मेरा महबूब समझते होंगे.
"
"Rahul Gandhi, while remembering his grandfather, Jawaharlal Nehru said that Nehru's contribution in building strong, independent, modern institutions have helped democracy survive in India for 70 years.
","राहुल गांधी ने ट्वीट किया, उनकी पुण्यतिथि पर, आईए हम मजबूत, स्वतंत्र और आधुनिक संस्थानों के निर्माण में जवाहर लाल नेहरू जी के योगदान को याद करें, जिसने भारत में 70 सालों तक लोकतंत्र को जिंदा रखने में मदद की है।
"
"Sara is very close to her maternal grandfather, Annabel Mehta.
","सारा अपनी नानी एनाबेल मेहता के बेहद करीब हैं।
"
"She didn't know about his grandfather.
","उसे दादी के बारे में जानकारी नही थी
"
"She is very close to her grandfather.
","वह अपने दादी के साथ बहुत करीबी है.
"
"She's very close to her grandfather.
","वह अपने दादी के साथ बहुत करीबी है.
"
"Take my grandfather.
","लाये मेरे दादी जी।
"
"That's why my grandfather
","इसीलिए दादी
"
"The boy's grandfather was also there.
","बच्ची के चाचा भी वहीं थे मौजूद
"
"The first was when his grandfather died and the second was when his father died.
","एक बार जब उनके पिता की मौत हुई थी और दूसरी, जब उनकी मां की मौत हुई थी।
"
"The girl lived with her grandfather.
","लड़की अपने दादी के साथ रह रही थी।
"
"The grandfather asked.
","दादी ने पूछा।
"
"The grandfather came out.
","दादी बाहर निकला आई.
"
"The grandfather is 105 years old.
","लड़के का बाप 105 साल का है.
"
"The grandfather of British Foreign Secretary David Miliband
","पूर्व ब्रितानी विदेश मंत्री डेविड मिलिबैंड
"
"The life of my grandfather
","दादी का जीवन
"
"The mother of my grandfather.
","मेरे भतीजे की दादी माँ ।
"
"The name of my grandfather was Syed Muhammad Shafiullah Shah.
","पिता का नाम मोहम्मद शफीक उल्ला ख़ाँ था
"
"The next day, my grandfather went to the house of
","अगले दिन मे जब मे चाची के घर गया तब
"
"There is also a grandfather
","एक दादी भी है
"
"They are our grandfather and grandmother.
","ये हमारी दादी और मां हैं।
"
"This person can be your brother, mother, grandfather or a good friend.
","यह व्यक्ति आपकी मां, आपकी बड़ी बहन, मौसी या फिर आपकी कोई अच्छी दोस्त हो सकती है।
"
"We have heard our grandfathers...
","हमने अपने पूर्वजों से सुना था कि-
"
"What are the biggest differences between fathers and grandfathers?
","माँ और पिता में सबसे बड़ा अंतर क्या हैं ?
"
"Where was Donald Trump's father and grandfather born?
","Donald Trump का जन्म कहाँ हुआ था?
"
"Who is the grandfather of music?
","संगीत के पिता कौन हैं?
"
"Who was Kim Jong-un's grandfather?
","कौन थीं किम जोंग-उन की लड़ाकू दादी? .
"
"Who was the grandfather of the Modern Indian Art?
","आधुनिक भारतीय कला के पितामाह कौन थे?
"
"You became a grandfather.
","दादी बन गईं आप।
"
"Your grandfather didn't say that.
","दादी ने यह नहीं कहा था।
"
"but her grandfather.
","पर तुम्हारी दादी।
"
"grandfather In Germany.
","जर्मनी की दादी.
"
"grandfather had asked.
","दादी ने पूछा था।
"
"grandfather in 2003.
","सन् 2003 में अपने पिता
"
"grandfather of ten, and the great-grandfather
","दस साल की दादी, और दादी के
"
"grandfather to his daughter's child
","दादी अपनी बेटी के बच्चे को भालू
"
"grandfather who dedicated 80 years of his life to
","80 साल के बुजुर्ग ने अपनी जिंदगी जी ली है
"
"grandfather's name,
","दादी का नाम,
"
"grandfather's sister / sister of a woman's father-in-law
","औरत के पिता की बहन = औरत की बुआ
"
"grandfathers at war.
","लड़ाई में दादी।
"
"great grandfather's face
","दादी का चेहरा
"
"i didn't see my grandfather
","मैंने अपनी दादी को नहीं देखा
"
"i will go to my grandfather
","मैं अपनी दादी के लिए जाता हूँ
"
"in memory of her grandfather,
","अपनी दादी के यादों में,
"
"in search of their grandfather
","अपनी दादी को खोजते-खोजते
"
"in the name of my grandfather
","दादी के नाम से
"
"like I say my grandfather's
","जैसे दादी से कह रहे हों
"
"my grandfather and one of my mother.
","एक पिता का, और एक मेरी माई का।
"
"my grandfather was.
",". मेरी दादी थी.
"
"my grandfather would want me
","मेरी दादीजी चाहती थी कि मै
"
"my grandfather's eyes
","मेरी दादी की आँखें हैं
"
"my grandfather's hand
","मेरी दादी का हाथ
"
"my grandfather's house.
","दादी के घर।
"
"my grandfather's life
","दादी का जीवन
"
"my grandfather's village.
","दादी के गाँव।
"
"my grandfather, grandmother, and so many more
","मां, बहू, और भी कई
"
"the life of my grandfather
","दादी का जीवन
"
"what do you call your grandfather's brother
","पिता के बडे भाई को क्या कहते हैं
"
"The topper credited the success to his grandfather, teachers and parents.
","व्योम ने अपनी कामयाबी का श्रेय पिता अपने माता-पिता और शिक्षकों को दी है।
"
"He was the father of Vasu- deva and grandfather of Sri Krsna.
","वह कृष्ण के पालक पिता और वसुदेवजी के मित्र थे ।
"
"His grandfather Keshav Sitaram Thackeray, better known as ""Prabodhankar (reformer)"", was known for his reformist views and harsh criticism of religious orthodoxy.
","बाल ठाकरे के पिता केशव सीताराम ठाकरे को उनके सुधारवादी विचारों और धार्मिक रूढ़िवादिता की कटु आलोचना के लिए प्रबोधनकर (सुधारक) के रूप में भी जाना जाता है।
"
"Also read: 5 WWE Superstars who are grandfathers
","यह भी पढ़े: 5 सुपरस्टार्स जिनके ना होने से WWE को काफी नुकसान हो रहा है
"
"You must teach your children that the ground beneath their feet is the ashes of our grandfathers.
","तुम्हें अपने बच्चों को सिखाना पड़ेगा, कि उनके क़दमों के नीचे की धरती हमारे पुरखों की राख है.
"
"A great husband, father and grandfather.
","एक महान भाई, पिता और पति।
"
"The grandfather of the children had taken the two children with him to a nearby shop.
","पड़ोस में रहने वाला दो बच्चों का बाप बालिका को बहला-फुसलाकर दुकान पर ले गया।
"
"After his father’s death, he supported his mother and grandfather until their deaths.
","पिता के गुजर जाने के बाद उसकी मां ने उसका और उसके भाई का पालन-पोषण किया।
"
"His father’s name was Lamarck and his grandfather's name was Methuselah.
","उनके पिता का नाम कल्याणमल और माता का नाम तृप्ता था।
"
"A loving husband, father, grandfather and great grandfather.
","एक उम्दा भाई, पिता और पति।
"
"But I know my mom was destroyed – and my grandfather.
","लेकिन मुझे पता है कि मैंने मां और पिताजी दोनों को रुलाया है।
"
"My grandfather was a teacher in a school in Thanjavur.
","मेरे एक चचा वहादुरगढ़ में अध्यापक थे।
"
"He will be sharing the screen space with his father Sunny Deol, uncle Bobby Deol and grandfather Dharmendra in the movie.
","इस फिल्म में बॉबी देओल अपने पापा धर्मेंद्र और बड़े भाई सनी देओल के साथ लोगों को गुदगुदाने की कोशिश करेंगे।
"
"“My grandfather had come to India from Bangladesh.
","‘मेरे पूर्वज बंगाल से बनारस बसने आए थे।
"
"His father, grandfather and uncles were all footballers.
","उनके पिता और भाई सभी क्रिकेटर थे।
"
"And on this special day, grandfather Amitabh Bachchan shared a rare and unseen picture of Aaradhya with his fans.
","इस स्पेशल डे पर अमिताभ बच्चन ने अपनी शादी की अनदेखी तस्वीर को अपने फैंस संग शेयर किया है।
"
"Sanjay Dutt’s mother Nargis was his grandfather Raj Kapoor’s favourite heroine.
","संजय दत्त की मां नर्गिस दत्त और राज कपूर एक जमाने में एक दूसरे को पसंद करते थे।
"
"Beloved husband, father, grandfather, relative and friend.
","पति, प्रेमी, पिता, भाई और परिवार के करीबी लोग.
"
"His father’s name was Abu Talib and grandfather’s name, 'Abd al-Muttalib.
","उनके पिता का नाम कंधई लाल तथा बाबा का नाम लाला गप्पूमल था।
"
"In a video clip shared on Facebook, local Sena worker Nitin Nandgaonkar was seen asking the owner of “Karachi Sweets” in suburban Bandra to rename it instead after his father or grandfather.
","शिवसेना कार्यकर्ता नितिन नंदगांवकर फेसबुक पर साझा किये गए एक वीडियो क्लिप में उपनगरीय बांद्रा स्थित ‘कराची स्वीट्स’ के मालिक से दुकान का नाम बदलकर कुछ और करने के लिए कहता दिख रहा है।
"
"His father Mansoor Ali Khan Patuadi and grandfather Iftikar Ali Khan both were cricketers, while his mother Sharmila Tagore is an actress.
","उनके पिता का नाम मंसूर अली खान पटौदी और मां का नाम शर्मीला टैगोर है।
"
"A friend of mine's grandfather passed away recently.
","अभी हाल ही में मेरे एक मित्र की मृत्यु हुई।
"
"I know your grandfather well.
","मैं तुम्हारे ससुर को जानता हूँ।
"
"His father’s name was Lamarck and his grandfather's name was Methuselah.
","उनके पिता का नाम जमदग्ति और माता का नाम रेशुक्रा था।
"
"Her maternal grandfather was already present there.
","वहां उनकी मातायें पहिले ही उपस्थित थी ।
"
"He will be sharing the screen space with his father Sunny Deol, uncle Bobby Deol and grandfather Dharmendra in the movie.
","इस फिल्म में वो अपने पिता धर्मेंद्र और बड़े भाई सनी देओल के साथ लोगों को गुदगुदाते नजर आएंगे.
"
"He learnt classical music first from his grandfather, Pandit Bade Ram Das Mishra, and was later mentored by the legendary Pandit Hanuman Prasad Mishra.
","उन्होंने पहले अपने पिता, बद्री प्रसाद मिश्रा के साथ संगीत सीखा और तब किराना घराने के 'उस्ताद अब्दुल गनी खान' ने उन्हें शिक्षित किया।
"
"You are all my daughters’ sons, and I am your grandfather.
","आपलोग मेरी माताएँ हैं और मैं आप सबका पुत्र हूँ।
"
"His father's name was Syed Muhammad Irfan and grandfather's Syed Muhammad Nur.
","इनके पिता का नाम नौलकएठ मिश्र ओर पितामद का नरीत्तम मिश्र था।
"
"His father Mansoor Ali Khan Patuadi and grandfather Iftikar Ali Khan both were cricketers, while his mother Sharmila Tagore is an actress.
","जहां उनके पिता मंसूर अली खान एक क्रिकेटर थे, तो वहीं मां शर्मिला टैगोर एक शानदार एक्ट्रेस रही हैं.
"
"The National Conference leader said his maternal grandfather was buried in Lahore but he was not being allowed to visit the place.
","’’नेशनल कांफ्रेंस के नेता ने कहा कि उनकी नानी को लाहौर में दफनाया गया था लेकिन उन्हें उस जगह पर जाने की इजाजत नहीं दी गयी.
"
"She was very close to her grandfather.
","रहाणे अपनी दादी के बहुत करीब थे।
"
"His father's name was Dhanadutta and grandfather's name was Bhadradutta.
","उनके पिताका नाम भरत और माताका कुन्दव्वा था ।
"
"He was Rabindranath Tagore’s grandfather.
","वे रवींद्रनाथ टैगौर के पड़पोती थीं।
"
"Abhishek Bachchan remembers grandfather Harivansh Rai Bachchan on his birth anniversary, shares a rare picture
","अभिषेक बच्चन ने दादी तेजी बच्चन को उनके बर्थडे पर किया याद, शेयर की तस्वीर
"
"I'm not my father, I'm not my grandfather, my uncles or my brother even.
","मैं अपने विशुद्ध रूप में न पुत्र हु, न पिता हुं, न भाई हू, न काका या मामा हू' ।
"
"The complaint filed by the NCPCR refers to a photo of a girl and her grandfather shared by Zubair on Twitter during an online spat with the minor’s father.
","एनसीपीसीआर ने नाबालिग के पिता के साथ ट्विटर पर हुई बहस के दौरान जुबैर द्वारा नाबालिग और उसके पिता की साझा की गई तस्वीर के संबंध में शिकायत की थी।
"
"Especially to mummy and grandfather.
","खासकर बाप्पा और उम्म्रा को।
"
"His father and grandfather had also served in the Indian Army.
","उनके पिता और भाई दोनों ही उस दौरान भारतीय सेना में कार्यरत थे.
"
"At home he was a husband and a grandfather.
","घर पर पिता-पत्नी और बहू थे।
"
"Also, his grandfather Zulfikar Ali Bhutto has served as both prime minister and president of Pakistan.
","उनके पिता का नाम जुल्फिकार अली भुट्टो है और वो भी पाकिस्तान के प्रधानमंत्री रह चुके थे.
"
"His father Mansoor Ali Khan Patuadi and grandfather Iftikar Ali Khan both were cricketers, while his mother Sharmila Tagore is an actress.
","उनके पिता मंसूर अली ख़ान पटौदी एक मशहूर क्रिकेट खिलाड़ी थे वहीं उनकी मां शर्मिला टैगोर बॉलीवुड की फेमस एक्ट्रेस हैं।
"
"His grandfather was from Bihar.
","पिता बिहार के रहनेवाले थे ।
"
"An old grandfather lives with his son and daughter-in-law.
","वहीं बुजुर्ग अपने बेटे और बहू के साथ रहते है.
"
"And maybe your grandfather, too.
","और शायद आपकी वाइफ का भी।
"
"Sunny’s son Karan Deol posted sweet pictures with his grandfather to wish him on his birthday.
","सनी देओल ने अपने बेटे करण देओल की तस्वीर शेयर की है और उन्हें जन्मदिन की बधाई दी है।
"
"His father Mansoor Ali Khan Patuadi and grandfather Iftikar Ali Khan both were cricketers, while his mother Sharmila Tagore is an actress.
","उनके पिता मंसूर अली खान एक मशहूर क्रिकेट खिलाड़ी और मां शर्मिला टैगोर हिंदी फिल्मों की मशहूर एक्ट्रेस हैं।
"
"His father's name was Syed Muhammad Irfan and grandfather's Syed Muhammad Nur.
","इनकी मां का नाम जद्दनबाई था और पिता उस्ताद इरशाद मीर खान थे।
"
"UP: FIR filed against man who sought Twitter help for oxygen for grandfather
","यूपीः ट्विटर पर ऑक्सीजन के लिए मांगी मदद, युवक के खिलाफ दर्ज हो गई एफआईआर
"
"My grandfather and father both worked for the railways.
","पापा और भईया दोनों रेलवे में नौकरी करते थे।
"
"His father’s name is Ahmad and grandfather’s name is 'Atlyyah.
","अमीषा की माँ का नाम आशा पटेल है और पिता का नाम अमित पटेल है।
"
"His father Mansoor Ali Khan Patuadi and grandfather Iftikar Ali Khan both were cricketers, while his mother Sharmila Tagore is an actress.
","उनके पिता मंसूर अली ख़ान पटौदी एक मशहूर क्रिकेट खिलाड़ी एवं माँ शर्मिला टैगोर हिन्दी फ़िल्मों की मशहूर अभिनेत्री हैं।
"
"Above all he was a wonderful brother, husband, father and grandfather.
","वह एक अद्भुत पति, पिता, भाई और ग्रांडफादर थे।
"
"Teenager arrested for murder of grandfather
","हत्या के आरोप में चाचा हुआ गिरफ्तार
"
"Jitin Prasada's father Jitendra Prasada and grandfather Jyoti Prasad were Congress leaders.
","शाहजहांपुर के रहने वाले जितिन प्रसाद पिता स्वर्गीय जितेन्द्र प्रसाद कांग्रेस के दिग्गज नेता थे.
"
"His grandfather’s name was Chandradeva and his father’s name was Guhideva.
","उनके पिता का नाम गोविन्दराव और माता का नाम चिमणाबाई था.
"
"A few months later my grandfather passed away.
","कुछ महीनों बाद मेरे पिता का देहांत हो गया।
"
"Both his father and his grandfather were killed in combat.
","तुम्हारा पिता तथा तुम्हारे दोनों बड़े भाई युद्ध में मार दिये गये हैं।
"
"Anil Kapoor’s father Surinder Kapoor was a distant cousin of Rishi Kapoor’s grandfather Prithviraj Kapoor.Director Karan Johar and Aditya Chopra are also in this list.
","अनिल कपूर के पिता सुरिंदर कपूर राज कपूर के पिता पृथ्वीराज कपूर के कजन थे.
"
"His father and grandfather served in the Indian Armed Forces as officers.
","इनके माता और पिता भारतीय सेना में बतौर एक फिजिशियन कार्य करते थे.
"
"His father’s name was Lamarck and his grandfather's name was Methuselah.
","इनके पिता का_ नाम महासेन और माता का नाम लक्ष्मणा था।
"
"Kamala's grandfather hailed from Tamil Nadu.
","कमला की मां तमिलनाडु की रहने वाली थीं
"
"His father's name was Syed Muhammad Irfan and grandfather's Syed Muhammad Nur.
","उनके पिताका नाम सुवीर और माताका नाम नन्दिनी था।
"
"The remake has been directed by Abhay Chopra, whose grandfather, BR Chopra, produced the original film.
","पुरानी फिल्म को यश चोपड़ा ने जबकि नई फिल्म को बीआर चोपड़ा के पोते अभय चोपड़ा ने डायरेक्ट किया है।
"
"Amritbir was held under charges of murder of his father Iqbal Singh, mother Jaswinder Kaur, grandfather Hamir Singh and sister Gurmanbir Kaur.
","थाना पुलिस ने मृतक अमरपाल के पिता मनजिंदर सिंह, मां मनबीर कौर, भाई हरकरण सिंह के साथ-साथ कंवल कौर और साहिबजीत सिंह के विरुद्ध हत्या, शव को खुर्द-बुर्द करने और गबन के आरोप में केस दर्ज कर लिया है।
"
"Baby Prince Louise's third name Charles is of course after his grandfather, the Prince of Wales.
","प्रिंस विलियम और केट के तीसरे बच्चे लुईस का पूरा नाम है लुईस आर्थर चार्ल्स.
"
"Congratulations on becoming a grandfather.
","पापा बनने पर बधाई ।
"
"Chautala accused Congress party of hatching a conspiracy to put his grandfather Om Prakash Chauatla and father Ajay Chautala in jail.
","उन्होंने आरोप लगाया कि कांग्रेस पार्टी ने षड्यंत्र के तहत इनेलो सुप्रीमो चौधरी ओमप्रकाश चौटाला और अजय सिंह चौटाला को जेल की सजा करवाई थी।
"
"His father Mansoor Ali Khan Patuadi and grandfather Iftikar Ali Khan both were cricketers, while his mother Sharmila Tagore is an actress.
","सोहा के पिता मंसूर अली खान पटौदी किक्रेटर थे जबकि उनकी माँ शर्मीला टैगोर अभिनेत्री है।
"
"Jitin Prasada's father Jitendra Prasada and grandfather Jyoti Prasad were Congress leaders.
","जितिन प्रसाद के बाबा ज्योति प्रसाद और पिता जितेंद्र प्रसाद भी कांग्रेस पार्टी के नेता थे
"
"And what about her grandfather?
","और कैसे है उसके मॉं-बाप?
"
"His father Mansoor Ali Khan Patuadi and grandfather Iftikar Ali Khan both were cricketers, while his mother Sharmila Tagore is an actress.
","इनके पिता मंसूर अली ख़ान पटौदी एक क्रिकेटर थे और उनकी मां शर्मिला टैगोर हिन्दी फ़िल्मों की मशहूर अभिनेत्री।
"
"And where is your grandfather?
","और दादी कहां हैं?
"
"His father’s name was Lamarck and his grandfather's name was Methuselah.
","इनके पिता का नाम कामेश्वर तथा माता का नाम कमलाम्बा था।
"
"His father and grandfather had also served in the Indian Army.
","उनके पिता व भाई भी सेना में अधिकारी हैं.
"
"His father Mansoor Ali Khan Patuadi and grandfather Iftikar Ali Khan both were cricketers, while his mother Sharmila Tagore is an actress.
","सैफ के पिता मंसूर अली खान पटौदी मशहूर क्रिकेटर थे और उनकी मां शर्मिला टैगोर अभिनेत्री हैं।
"
"My grandfather had retired.
","पिता जी रिटायर हो चुके थे।
"
"Also read: 5 WWE Superstars who are grandfathers
","यह भी पढ़ें: 5 WWE सुपरस्टार्स जिन्हें तुरंत बेबीफेस टर्न ले लेना चाहिए
"
"And his paternal grandfather, Sajida Sultan, was once the Begum of Bhopal.
","और उनकी दादी साजिदा सुल्तान भोपाल की बेगम थीं.
"
