eng_Latn,hin_Deva
"The CBI sent notice to CM Mamata Banerjee's nephew and TMC leader Abhishek Banerjee's wife and sister-in-law in coal scam case.
","इससे पहले कोयला चोरी मामले में ममता बनर्जी की बहू और सांसद अभिषेक बनर्जी की पत्नी को सीबीआइ ने नोटिस भेजकर जांच में शामिल होने के लिए कहा है।
"
"Recently, Kareena’s sister-in-law Saba Ali Khan shared a throwback picture from Saif and Kareena’s wedding.
","हाल ही में सबा ने भाई सैफ-करीना की शादी की कुछ तस्वीरों की वीडियो शेयर की है।
"
"The victim said the woman’s brother and sister-in-law were present at the house when the incident took place.
","पीड़ित के अनुसार घटना के समय वह और उसकी बहू घर में मौजूद थे।
"
"She alleged that her husband and sister-in-law had been physically and mentally harassing her since marriage.
","आरोप है कि निकाह के बाद से ही पति और ससुरालवाले मानसिक और शारीरिक रूप से उत्पीड़न कर रहे थे।
"
"A case has been registered against the woman's husband, father-in-law, mother-in-law and sister-in-law, the police added.
","महिला थाना पुलिस ने पति, सास, ससुर, देवर और देवरानी के खिलाफ मामला दर्ज कर लिया है।
"
"The central probe agency recently questioned Banerjee’s wife Rujira and sister-in-law Menaka Gambhir in the case pertaining to illegal coal mining and pilferage from the mines of the Eastern Coalfields Limited.
","केन्द्रीय जांच एजेंसी ने हाल ही में बनर्जी की पत्नी रुजिरा और पत्नी की बहन मेनका गंभीर से ईस्टर्न कोलफील्ड्स लिमिटेड की खदानों से अवैध कोयला खनन और कोयला चोरी के मामले में पूछताछ की थी।
"
"Besides Vidya Chavan, a member of the Maharashtra Legislative Council, the others booked in the case are her husband Abhijeet, their two sons Anand (victim's brother-in-law), Ajit (the victim's husband) and Sheetal (victim's sister-in-law and Anand's wife), they said.
","महाराष्ट्र विधान परिषद की सदस्य विद्या चव्हाण के अलावा उनके पति अभिजीत, उनके बेटे अजित (पीड़िता के पति), आनंद (पीड़िता के देवर) और शीतल (आनंद की पत्नी) के खिलाफ मामला दर्ज किया गया है।
"
"Kareena Kapoor Khan wishes sister-in-law on her birthday
","करीना कपूर ने 'ब्रदर इन लॉ' कुणाल खेमू को किया बर्थडे विश
"
"The police have lodged a case against three people - her husband, father-in-law and sister-in-law - in connection with the incident.
","पिता की तहरीर पर पुलिस ने पति, सास, ससुर समेत तीन लोगों के खिलाफ दहेज हत्या का केस दर्ज किया है।
"
"The Kurbaan actress' sister-in-law Soha Ali Khan and her husband Kunal Khemu, close friends Karan Johar, Malaika Arora, Amrita Arora and her husband Shakeel Ladak, Arjun Kapoor, fashion designer Manish Malhotra, Sanjay Kapoor and his wife Maheep Sandhu were also part of the lavish party.
","अमृता अरोड़ा खान, उनके पति शकील, एकता कपूर, मलाइका अरोड़ा खान, अरबाज़ खान, संजय कपूर, महीप कपूर, मनीष मल्होत्रा, करण जौहर, तुषार कपूर सोहेल खान और उनकी पत्नी सीमा खान, अंगद बेदी, बॉबी देओल आदि कई सेलेब्स भी इस पार्टी में नजर आए।
"
"Accompanied by the Central Bureau of Investigation (CBI) team headed by a deputy inspector general, a local magistrate, district police chief, relatives of the victims and some elders of the town, the experts exhumed the bodies of Nilofar and her sister-in-law Asiya.
","कब्र से दोनों युवतियों के शव निकाले जाने के समय एक उप महानिरीक्षक के नेतृत्व में केंद्रीय जांच ब्यूरो (सीबीआई) का एक दल, एक स्थानीय न्यायाधीश, जिले के पुलिस प्रमुख, पीड़ितों के संबंधी और इलाके के कुछ बड़े-बुजुर्ग मौजूद थे।
"
"Kareena Kapoor has reacted to a picture of her son, Taimur, shared by her sister-in-law Saba Ali Khan.
","करीना कपूर के बेटे तैमूर की फोटो बुआ सोहा ने की शेयर
"
"The CBI had also questioned Abhishek Banerjee's sister-in-law in connection with the case.
","सीबीआई ने इसी मामले में अभिषेक की पत्नी से की थी पूछताछ
"
"Priyanka Chopra's sizzling hot poolside pictures get an epic reaction from sister-in-law Sophie Turner!
","प्रियंका चोपड़ा की जेठानी सोफी टर्नर ने अपनी खूबसूरती से खींचा सबका ध्यान, फोटोज सोशल मीडिया पर वायरल
"
"“Abijith and Alca - Being your baby sister, best friend, sister-in-law, and looking up to your love is a blessing that I am boundlessly grateful for.
","अमाला ने कहा-अभिजीत और अलका, आपकी छोटी बहन,सबसे अच्छी दोस्त होने के नाते मेरा आपके प्यार को देखना एक आशीर्वाद है ,जिसके लिए मैं असीम रूप से आभारी हूं
"
"The police have registered cases against Saritha's husband, in-laws and sister-in-law.
","पुलिस ने अतर सिंह की तहरीर पर पति, सास और ससुर के खिलाफ रिपोर्ट दर्ज की है।
"
"In the video, Priyanka is seen standing in the VIP area of the concert hall with sister-in-law Danielle Jonas and as the Jonas Brother walk past them Danielle's husband Kevin kisses her and then Nick steals a kiss with Priyanka.
","वीडियो में देखा जा सकता है कि केविन अपनी पत्नी डेनियल के पास से गुजरते हुए उन्हें किस करते हैं और तभी उनके पीछे आ रहे निक जोनस भी अपनी पत्नी प्रियंका के साथ लिप लॉक करते हैं।
"
"Among those killed were her mother, father, two brothers, sister-in-law, nephews and nieces, including a two-month-old.
","मृतकों में दूल्हे की चाची, एक चचेरी बहन, मामी, दो ममेरी बहन व रिश्ते की अन्य महिलाएं और बच्चे शामिल हैं।
"
"Nick’s parents Kevin Jonas Sr and Denise Jonas, brothers Joe Jonas and Kevin Jonas, sister-in-law Danielle Jonas and to-be sis-in-law Sophie Turner have arrived in Jodhpur to kick start the festivities.
","निक के भाई जो जोनस और उनकी गर्लफ्रेंड सोफी टर्नर, केविन जोनस अपनी पत्नी डेनियल और निक के मम्मी-पापा कुछ दिन पहले ही भारत पहुंच चुके हैं।
"
"The CBI sent notice to CM Mamata Banerjee's nephew and TMC leader Abhishek Banerjee's wife and sister-in-law in coal scam case.
","सीबीआई ने कोयला तस्करी के मामले में टीएमसी सांसद और ममता बनर्जी के भतीजे अभिषेक बनर्जी की पत्नी को नोटिस जारी किया है।
"
"Besides Ms. Chavan, her husband Abhijeet Chavan, their two sons Anand (victim’s brother-in- law), Ajit (the victim’s husband) and Sheetal (victim’s sister-in-law and Anand’s wife), have been booked, according to the police.
","चव्हाण के अलावा उनके पति अभिजीत, उनके बेटे अजित (पीड़िता के पति), आनंद (पीड़िता के देवर) और शीतल (आनंद की पत्नी) के खिलाफ मामला दर्ज किया गया है।
"
"Akshay's mother Reena Kapoor Anil and sister of Bonnie Kapoor and sister-in-law of Sridevi.
","उनकी माँ रीना मारवाह सुरिन्दर कपूर की सुपुत्री अर्थात् बोनी कपूर, अनिल कपूर और संजय कपूर की बहन हैं।
"
"A case has been registered against the woman's husband, father-in-law, mother-in-law and sister-in-law, the police added.
","विवाहिता की बहन की तहरीर पर पुलिस ने पति, सास , ननद और जेठानी पर केस दर्ज कर लिया है।
"
"Did you know Arjun Kapoor once dated Malaika Arora's sister-in-law Arpita Khan?
","अर्जुन पिछले काफी समय से मलाइका अरोड़ा के साथ रिलेशनशिप में हैं लेकिन क्या आप जानते हैं कि कभी वह अर्पिता खान को डेट कर चुके हैं.
"
"She is Rajinikanth's daughter and Dhanush's sister-in-law.
","वे जनकराज की पुत्री हैं और दशरथ जी की बहू हैं ।
"
"Salman’s entire family with sisters Alvira Khan Agnihotri, Arpita Khan Sharma, stepmother Helen, nephew Arhaan Khan, sister-in-law Seema Khan all were present at the bash.
","गणपति विसर्जन के दौरान सलमान खान की बहन अर्पिता अलविरा, बहनोई अतुल अग्निहोत्री, आयुष शर्मा, मां सलमा खान, हेलेन और भाई अरबाज खान और भतीजे नजर आए।
"
"Rashtriya Janata Dal (RJD) supremo Lalu Prasad's estranged daughter-in-law Aishwarya has lodged an FIR in Patna, accusing the former chief minister and her mother-in-law Rabri Devi, eldest sister-in-law Misa Bharti and husband Tej Pratap of harassing and assaulting her.
","बिहार के पूर्व मुख्यमंत्री और आरजेडी सुप्रीमो लालू प्रसाद यादव के बड़े बेटे तेजप्रताप यादव ने तलाक की अर्जी में पत्नी ऐश्‍वर्या राय पर गंभीर आरोप लगाए हैं.
"
"The CBI has also questioned Trinamool Congress MP Abhishek Banerjee’s wife Rujira Banerjee and his sister-in-law Menka Gambhir in connection with the illegal coal smuggling case.
","उल्लेखनीय है कि इस गैरकानूनी कारोबार में सीबीआई की टीम ने मुख्यमंत्री ममता बनर्जी के भतीजे अभिषेक बनर्जी की पत्नी रूजीरा बनर्जी से भी पूछताछ की है।
"
"Kareena’s sister-in-law, Soha Ali Khan too shared a family picture with husband Kunal Khemu and daughter Inaaya.
","बेटी इनाया नौमी खेमू के जन्मदिन पर सोहा अली खान ने शेयर की फैमिली फोटो, करीना कपूर खान ने भी दी जन्मदिन की बधाई
"
"The girl’s mother has filed a complaint at the Woman’s Police Station against the son of her sister-in-law, said Subhash Bokan, Public Relations Officer of Gurgaon Police.
","गुरुग्राम के जनसंपर्क अधिकारी सुभाष बोकान ने बताया कि पीड़िता की मां ने आरोपी के खिलाफ महिला पुलिस थाने में मामला दर्ज कराया है.
"
"Mommy Soha Ali Khan took to Instagram to share a picture of herself and her daughter Inaaya with sister-in-law Kareena and her son, Taimur.
","सोहा ने इंस्टाग्राम पर अपने बेटी इनाया और करीना के बेटे तैमूर की तस्वीर साझा की, जिसमें तैमूर और इनाया पोज देते नजर आ रहे हैं।
"
"Salman Khan’s sister-in-law Seema, who is the wife of Sohail Khan, was also present.
","सलमान खान के भाई यानी सोहेल खान और उनकी पत्नी सीमा सचदेव भी इस लिस्ट में शामिल हैं।
"
"He was living with his brother and sister-in-law.
","वह अपने भाई भतीजों के साथ ही रहता था।
"
"Sophie, who is married to Joe Jonas, is sister-in-law to Priyanka Chopra and her husband Nick Jonas.
","हॉलीवुड एक्ट्रेस सोफी टर्नर, प्रियंका चोपड़ा के पति निक जोनास के बड़े भाई जो जोनास की पत्नी हैं.
"
"Bollywood actress Priyanka Chopra is known to share a great relationship with her sister-in-law Sophie Turner.
","प्रियंका चोपड़ा का अपनी जेठानी सोफी टर्नर के साथ काफी अच्छा रिश्ता है।
"
"Also, Arbaaz Khan's son Arhaan was present during the outing and even his ex sister-in-law, Amrita Arora, joined the couple at the weekend gateway along with her husband Shakeel Ladak.
","अरबाज के साथ इस दौरान उनका और उनकी पूर्व पत्‍नी मलाइका का बेटा अरहान भी मौजूद था।
"
"Patna: A man allegedly ended his life after killing his wife and sister-in-law in Patna.
","PATNA CITY: पति ने प्रेमिका के चक्कर में पत्नी को मार डाला।
"
"The police have lodged a case against three people - her husband, father-in-law and sister-in-law - in connection with the incident.
","इस घटना में पुलिस ने मृतका के पति, सास, ससुर सहित सात लोगों के खिलाफ मुकदमा दर्ज किया है।
"
"The CBI has also questioned Trinamool COngress MP Abhishek Banerjee’s wife Rujira Banerjee and his sister-in-law Menka Gambhir in connection with the case.
","इसी मामले में पश्चिम बंगाल की मुख्यमंत्री ममता बनर्जी के भतीजे और सांसद अभिषेक बनर्जी की पत्नी रुजिरा बनर्जी और उनके परिवार के सदस्यों से सीबीआइ ने पूछताछ की थी।
"
"Later, through my sister-in-law, I came to know that my husband was stabbed to death by some unknown person.
","इसके बाद पति की बहन के माध्यम से, मुझे पता चलता है कि कुछ अज्ञात लोगों ने मेरे पति की चाकू मारकर हत्या कर दी गई।
"
"This includes the Bachchan family- Amitabh, Abhishek, Aishwarya and Aaradhya, Kasautii Zindagii Kay actor Parth Samthaan and Anupam Kher's family including his mother, brother, sister-in-law and niece.
","इनमें अमिताभ बच्चन, अभिषेक बच्चन, ऐश्वर्या राय, आराध्या बच्चन, अनुपम खेर का परिवार, पार्थ समथान, मोहेना कुमारी, एसपी बालासुब्रमण्यम, हिमांश कोहली सहित कई कलाकार शामिल हैं।
"
"Priyanka Chopra’s brother-in-law Joe Jonas and sister-in-law Sophie Turner become proud parents of a baby girl
","प्रियंका चोपड़ा के जेठ-जेठानी जो जोनस और सोफी टर्नर मम्मी-पापा बन गए हैं।
"
"The CBI has also questioned Trinamool Congress MP Abhishek Banerjee's wife Rujira and his sister-in-law Menaka Gambhir in connection with the case.
","सीबीआई ने तृणमूल कांग्रेस के नेता अभिषेक बनर्जी की पत्नी रुजिरा और उनकी रिश्तेदार मेनका गंभीर से भी पूछताछ की थी।
"
"Mumbai: Actress Kareena Kapoor Khan said she is happy that her sister-in-law Soha Ali Khan is getting married to boyfriend Kunal Khemu.
","बॉलीवुड अभिनेता कुणाल खेमू ने अपनी पत्नी अभिनेत्री सोहा अली खान के गर्भवती होने की खबर दी है.
"
"The girl's mother has filed a complaint at the Woman's Police Station against the son of her sister-in-law, a Gurgaon police official said.
","लड़की की मां ने पूर्वी गोदावरी जिले के कोरुकोंडा पुलिस थाने में शिकायत की.
"
"Actor Ayushmann Khurrana and his wife Tahira Kashyap attended the baby shower of their sister-in-law Aakriti Ahuja.
","इस फंक्शन में एक्टर आयुष्मान खुराना अपनी पत्नी ताहिरा कश्यप और भाई अपारशक्ति खुराना के साथ पहुंचे।
"
"In the meantime, the victim’s sister-in-law entered the house.
","इसी बीच पीड़िता की छोटी बहन घर पर आ गई।
"
"The ED had chargesheeted former Telecom Minister Dayanidhi Maran, his brother Kalanithi and sister-in-law Kavery Kalanithi as accused in the case too.
","इस मामले में पूर्व दूरसंचार मंत्री दयानिधि मारन, उनके भाई कलानिधि मारन और अन्य के खिलाफ आरोप पत्र दाखिल किया गया था।
"
"Virat's family - mother Saroj Kohli, sister Bhavna and brother-in-law Sanjay Dhingra, brother Vikas and sister-in-law Chetna Kohli, and nieces and nephews will attend the event from his side.
","विराट के पिता जी स्वर्गीय प्रेम कोहली , माताजी सरोज कोहली , उनके बड़े भाई विकास कोहली , उनकी बड़ी बहन भावना कोहली तथा उनकी जीवन संगिनी अनुष्का शर्मा इन सभी लोगों से पूरा होता है विराट का परिवार।
"
"Mumbai: Nutan Singh, sister-in-law of Sushant Singh Rajput has rejected claims by his girlfriend Rhea Chakraborty that the late actor shared a strained relationship with his family.
","मुंबई. सुशांत सिंह राजपूत के परिवार वालों ने उनकी गर्लफ्रेंड रिया चक्रवर्ती पर कई आरोप लगाए हैं।
"
"Rashtriya Janata Dal (RJD) supremo Lalu Prasad's estranged daughter-in-law Aishwarya has lodged an FIR in Patna, accusing the former chief minister and her mother-in-law Rabri Devi, eldest sister-in-law Misa Bharti and husband Tej Pratap of harassing and assaulting her.
","पटना : राजद प्रमुख लालू प्रसाद की बहू ऐश्वर्या राय ने अपनी सास और पूर्व मुख्यमंत्री राबड़ी देवी, पति तेजप्रताप यादव और बड़ी ननद मीसा भारती सहित पांच लोगों के खिलाफ अपने साथ कथित मारपीट को लेकर प्राथमिकी दर्ज करायी है.
"
"The film is a biopic based on the life of India’s oldest sharpshooters, Chandro Tomar and her sister-in-law Prakash Tomar.
","यह फिल्म दुनिया की सबसे बूढ़ी महिला शॉर्पशूटर्स चंद्रो तोमर और उनकी बहन प्रकाश तोमर पर आधारित है.
"
