eng_Latn,mal_Mlym
"About Domenico Berardi's relatives: Away from Berardi's immediate family, not much is known about his maternal and paternal grandparents while his uncles, aunts, cousins, nephews and nieces are yet to be identified.
","ഡൊമെനിക്കോ ബെരാർഡിയുടെ ബന്ധുക്കളെക്കുറിച്ച്ഃ ബെരാർഡിയുടെ അടുത്ത കുടുംബത്തിൽ നിന്ന് അകലെ, അമ്മാവൻമാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെ ഇനിയും തിരിച്ചറിഞ്ഞിട്ടില്ലെങ്കിലും അദ്ദേഹത്തിന്റെ മാതൃ-പിതാമഹന്മാരെക്കുറിച്ച് കൂടുതൽ അറിവില്ല.
"
"About Donyell Malen's relatives: Away from Malen's immediate family life, he has a grandfather and grandmother identified as Joop and Marian respectively while there are no existing records of his uncles, aunts, cousins, nieces and nephews at the time of writing.
","ഡോണെൽ മാലന്റെ ബന്ധുക്കളെക്കുറിച്ച്ഃ മാലന്റെ ഉടനടി കുടുംബജീവിതത്തിൽ നിന്ന് അകലെ, അദ്ദേഹത്തിന് ഒരു മുത്തച്ഛനും മുത്തശ്ശിയും യഥാക്രമം ജൂപ്പ്, മരിയൻ എന്ന് തിരിച്ചറിഞ്ഞിട്ടുണ്ട്, അതേസമയം എഴുതിയ സമയത്ത് അമ്മാവന്മാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരുടെ രേഖകളൊന്നും നിലവിലില്ല.
"
"About Emi Buendia's Relatives: Regarding Buendia's larger family tree, his paternal and maternal grandparents are one of football's unravelled mysteries while there are no available records of his uncles, aunts, nieces and nephews.
","ഭൂമി ബ്യൂണ്ടിയയുടെ ബന്ധുക്കളെക്കുറിച്ച്ഃ ബ്യൂണ്ടിയയുടെ വലിയ കുടുംബവീക്ഷണത്തെ സംബന്ധിച്ചിടത്തോളം, അദ്ദേഹത്തിന്റെ പിതൃ, മാതൃ മുത്തശ്ശിമാർ ഫുട്ബോളിന്റെ അനാവരണം ചെയ്യപ്പെടുന്ന രഹസ്യങ്ങളിലൊന്നാണ്, അതേസമയം അദ്ദേഹത്തിന്റെ അമ്മാവന്മാർ, അമ്മായിമാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരുടെ രേഖകളൊന്നും ലഭ്യമല്ല.
"
"About Mario Balotelli Relatives: There is no denying the fact that Balotelli has uncles, aunts, cousins, nephews and nieces regardless of the fact that he doesn't identify with them.
","ബന്ധുക്കൾ ബോൾട്ടെല്ലിയെ കുറിച്ച് ബന്ധുക്കൾഃ ബാലോട്ടെല്ലിക്ക് അമ്മാവൻ, അമ്മായിയപ്പൻ, ബന്ധുക്കൾ, മരുമക്കളും മരുമക്കളും ഉണ്ട് എന്ന വസ്തുത നിരസിച്ചുമില്ല എന്ന വസ്തുത നിരസിക്കുന്നില്ല.
"
"Abraham took his wife Sarai and his nephew Lot.
","5 അബ്രാം ഭാര്യ സാറായിയെയും സഹോദരപുത്രൻ ലോത്തിനെയും കൂടെക്കൊണ്ടുപോയി.
"
"Abu Talib was very fond of his nephew.
","അബൂത്വാലിബിന് സഹോദരപുത്രനെ ഏറെ ഇഷ്ടമായിരുന്നു.
"
"According to Sarojini's nephew Sunil, who was at home, she died due to a fire from a gas stove.
","ഗ്യാസ് അടുപ്പിൽ നിന്ന് തീ പടർന്നായിരുന്നു മരണമെന്നാണ് വീട്ടിലുണ്ടായിരുന്ന സരോജിനിയുടെ സഹോദരിയുടെ മകൻ സുനിൽ പറയുന്നത്.
"
"Again, neither have his uncles, aunts, cousins, nieces and nephews been identified.
","വീണ്ടും, അദ്ദേഹത്തിന്റെ അമ്മാവൻമാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"Agha Muhammad Khan Qajar was succeeded by his nephew Fath Ali Shah (1797-1834).
","ഇതിനിടെ പേഷ്യയിൽ ആഘാ മുഹമ്മദ് ഷാ ഖാജറിന്റെ പിൻഗാമിയായി അദ്ദേഹത്തിന്റെ സഹോദരപുത്രൻ ഫത് അലി ഷാ (ഭരണകാലം 1797-1834) അധികാരത്തിലെത്തിയിരുന്നു.
"
"Alauddin Khalji was the nephew of Jalaluddin.
","ജലാലുദ്ദീന്റെ അനന്തരവനും മരുമകനുമായിരുന്നു അലാവുദ്ദീൻ ഖൽജി.
"
"Alauddin Khilji was the nephew of Jalaluddin.
","ജലാലുദ്ദീന്റെ അനന്തരവനും മരുമകനുമായിരുന്നു അലാവുദ്ദീൻ ഖൽജി.
"
"Ali was the cousin and nephew of Mohammed.
","മൊഹമ്മദിന്റെ അർത്ഥ സഹോദരനും മകളുടെ ഭർത്താവുമായിരുന്നു അലി.
"
"Among these is the nephew of former president Fakhruddin Ali Ahmed.
","അതിൽ മുൻ രാഷ്ട്രപതി ഫക്രുദ്ദീൻ അലി അഹമ്മദിന്റെ സഹോദര കുടുംബവും ഉൾപ്പെടുന്നു.
"
"Anil, a local BJP leader, is the nephew of the late former party MP, Hukum Singh who represented the Kairana Lok Sabha constituency from May 2014 till February 3, 2018 when he passed away.
","പ്രാദേശിക ബിജെപി നേതാവായ അനിൽ അന്തരിച്ച മുൻ പാർട്ടി എംപിയായ ഹുക്കും സിങ്ങിന്റെ അനന്തരവനാണ്, 2014 മെയ് മുതൽ 2018 ഫെബ്രുവരി 3 വരെ ഹുക്കും സിങ് കൈരാന ലോക്സഭാ മണ്ഡലത്തെ പ്രതിനിധീകരിച്ചിട്ടുണ്ട്.
"
"Aniruddha, Krishna's nephew, fell in love with Usha, the daughter of Banasura -
","ബാണാസുരന്റെ മകളായ ഉഷയുമായി ശ്രീകൃഷ്ണപൌത്രനായ അനിരുദ്ധൻ പ്രണയത്തിലാണ്.
"
"As his nephew, the ornithologist Salim Ali, says in his autobiography,
","അദ്ദേഹത്തിന്റെ മരുമകനായ സലിം അലി തന്റെ ആത്മകഥയിൽ പറയുന്നത്,
"
"Before going to jail, she made her nephew TTV Dinakaran as deputy general secretary.
","ജയിലിലേക്ക് പോകുംമുമ്പ് തന്റെ സഹോദരൻ ടി. ടി. വി ദിനകരനെ ഡപ്യൂട്ടി ജനറൽ സെക്രട്ടറിയായി ശശികല നിയോഗിച്ചിരുന്നു.
"
"Born in 1898 to an artistic Jewish family he decided from an early age that a career in music and theatre was what he wanted to pursue; his brother was a clarinet and saxophonist whilst his nephew was a well renowned jazz musician.
","1898 ൽ ഒരു കലാപരമായ ജൂത കുടുംബത്തിൽ ജനിച്ച അദ്ദേഹം ചെറുപ്പത്തിൽ തന്നെ സംഗീതവും നാടകവേദിയും അദ്ദേഹം പിന്തുടരാൻ ആഗ്രഹിച്ചതായിരുന്നു; അദ്ദേഹത്തിന്റെ സഹോദരൻ ഒരു ക്ലാരിനിയും സക്സോഫോണിസ്റ്റുമാണ്.
"
"CJI Dipak Misra is the nephew of Justice Ranganath Misra, who was the 21st Chief Justice from 1990 to 1991.
","1990-91ൽ സുപ്രീംകോടതി ചീഫ് ജസ്റ്റിസായിരുന്ന രംഗനാഥ് മിശ്രയുടെ അനന്തരവനാണ് ദീപക് മിശ്ര.
"
"Cantona has uncles and aunts who are yet to be identified, neither are his nieces, nephews, and cousins known at the time of writing.
","കന്റോണയ്ക്ക് അമ്മാവന്മാരും അമ്മായിമാരും ഇതുവരെ തിരിച്ചറിഞ്ഞിട്ടില്ല, അദ്ദേഹത്തിന്റെ മരുമക്കളും മരുമക്കളും കസിൻസും എഴുതുന്ന സമയത്ത് അറിയപ്പെടുന്നില്ല.
"
"Cantona has uncles and aunts who are yet to identified, neither are his nieces, nephews and cousins known at the time of writing.
","കന്റോണയ്ക്ക് അമ്മാവന്മാരും അമ്മായിമാരും ഇതുവരെ തിരിച്ചറിഞ്ഞിട്ടില്ല, അദ്ദേഹത്തിന്റെ മരുമക്കളും മരുമക്കളും കസിൻസും എഴുതുന്ന സമയത്ത് അറിയപ്പെടുന്നില്ല.
"
"Chandrasekhar was the nephew of C. V. Raman, who was awarded the Nobel Prize for Physics in 1930.
","1930-ൽ ഭൌതികശാസ്ത്രത്തിനു നെബേൽസമ്മാനം നേടിയ സി. വി. രാമന്റെ മരുമകനായിരുന്ന സുബ്രഹ്ണ്യം 1910 ലായിരുന്നു ജനിച്ചത്.
"
"Chandrasekhar was the nephew of C.V. Raman, who was awarded the Nobel Prize for Physics in 1930.
","1930-ൽ ഭൌതികശാസ്ത്രത്തിനു നെബേൽസമ്മാനം നേടിയ സി. വി. രാമന്റെ മരുമകനായിരുന്ന സുബ്രഹ്ണ്യം 1910 ലായിരുന്നു ജനിച്ചത്.
"
"Chandrasekhar was the nephew of Sir C. V. Raman, who won the Nobel Prize for Physics in 1930.
","1930-ൽ ഭൌതികശാസ്ത്രത്തിനു നെബേൽസമ്മാനം നേടിയ സി. വി. രാമന്റെ മരുമകനായിരുന്ന സുബ്രഹ്ണ്യം 1910 ലായിരുന്നു ജനിച്ചത്.
"
"Coverage available for proposer and up to 3 dependants (children, siblings, nephews or nieces between 3 months to 23 years of age).
","നിർദ്ദേശകൻ, ജീവിത പങ്കാളി, കവർ ആരംഭിക്കുന്പോൾ, 3 മാസം തൊട്ട് 23 വയസ്സുവരെ പ്രായമുളള 3 ആശ്രിതർ (മക്കൾ,സഹോദരൻ, അനന്തിരവൻ, അനന്തിരവൾ) എന്നിവർക്ക് കവറേജ് ലഭിക്കുന്നു.
"
"Coverage is available for proposer, spouse and up to 3 dependents (children, brother, sister, nephew or niece) between 3 months and 23 years of age at the time of commencement of cover.
","നിർദ്ദേശകൻ, ജീവിത പങ്കാളി, കവർ ആരംഭിക്കുന്പോൾ, 3 മാസം തൊട്ട് 23 വയസ്സുവരെ പ്രായമുളള 3 ആശ്രിതർ (മക്കൾ,സഹോദരൻ, അനന്തിരവൻ, അനന്തിരവൾ) എന്നിവർക്ക് കവറേജ് ലഭിക്കുന്നു.
"
"Deeply regretted by her sons Tony, Michael, Pascal, Enda & David, daughters Dolores & Ita, brothers, sister, sisters-in-law, brother-in-law, daughters-in-law, sons-in-law, her 22 grandchildren and 26 great-grandchildren, nephews, nieces, neighbours, relatives and a large circle of friends.
","അഗാധമായി പുത്രന്മാർ ടോണി, മൈക്കൽ, പാസ്കൽ വിംബിള്ഡണ്, ഡേവിഡ്, പുത്രിമാർ പേരക്കുട്ടികളുടെ & പെരിങ്ങ്സേ സഹോദരന്മാരേ, സഹോദരി, സഹോദരിമാർ-ഇൻ-നിയമം, അനിയന്,-ൽ നിയമം, പുത്രന്മാർ-ഇൻ-നിയമം, അവളുടെ 22 ഖേദം പേരക്കുട്ടികളും 26 വലിയ-കൊച്ചുമക്കളും, പൌത്രന്മാരും, മരുമക്കളും, അയൽക്കാർ, ബന്ധുക്കൾ, സുഹൃത്തുക്കൾ ഒരു വലിയ സർക്കിൾ.
"
"Diego Assis, Roberto de Assis's son and Ronaldinho's nephew also appeared in the photo thanks to his father who allowed his son to represent him.
","ഡീഗോ അസിസ്, റോബർട്ടോ ഡെ ആസിസിന്റെ മകൻ റൊണാൾഡീഞ്ഞോമകന്റെ മരുമകനും തന്റെ മകന് അവനെ പ്രതിനിധീകരിക്കാൻ അനുവദിച്ച പിതാവിനുള്ള ഫോട്ടോയിലും കിട്ടി.
"
"Dubai police is probing the circumstances under which Sridevi's husband Boney Kapoor, who left Ras Al Khaimah after attending his nephew's marriage, suddenly returned to Dubai.
","ദുബായിൽ ശ്രീദേവിക്കൊപ്പം എത്തിയ ഭർത്താവ് ബോണി കപൂർ റാസൽ ഖൈമയിലെ വിവാഹാഘോഷത്തിൽ പങ്കെടുത്ത് നാട്ടിലേക്ക് മടങ്ങിയ ശേഷം വീണ്ടും പെട്ടന്ന് ദുബായിലേക്ക് മടങ്ങാനുണ്ടായ സാഹചര്യമാണ് പ്രധാനമായും പൊലീസ് അന്വേഷിക്കുന്നത്.
"
"During that time, Rahman's father and nephew had entered the room.
","ആ സമയത്ത് റഹ്മാൻറെ സഹോദരിയുടെ മകനും പിതാവും മുറിക്കകത്ത് കയറിയതാണ്.
"
"During the rebellion of the Jordan River cities, Sodom and Gomorrah, against Elam, [15] Abram's nephew, Lot, was taken prisoner along with his entire household by the invading Elamite forces.
","ജോർദാൻ നദിയിലെ നഗരങ്ങളായ സോഡോമും ഗൊമോറയും എലാമിനെതിരേ കലാപം നടത്തിയപ്പോൾ, (Genesis 14:1-9) എബ്രാമിന്റെ അനന്തരവനായ ലോട്ടിനെയും അദ്ദേഹത്തിന്റെ കുടുംബത്തെ മുഴുവനും തടവുകാരായി എലാമൈറ്റ് സൈന്യം പിടികൂടി.
"
"During the rebellion of the Jordan River cities, Sodom and Gomorrah, against Elam,[15] Abram's nephew, Lot, was taken prisoner along with his entire household by the invading Elamite forces.
","ജോർദാൻ നദിയിലെ നഗരങ്ങളായ സോഡോമും ഗൊമോറയും എലാമിനെതിരേ കലാപം നടത്തിയപ്പോൾ, (Genesis 14:1-9) എബ്രാമിന്റെ അനന്തരവനായ ലോട്ടിനെയും അദ്ദേഹത്തിന്റെ കുടുംബത്തെ മുഴുവനും തടവുകാരായി എലാമൈറ്റ് സൈന്യം പിടികൂടി.
"
"During the rebellion of the Jordan River cities, Sodom and Gomorrah, against Elam,[Genesis 14:1-9] Abram's nephew, Lot, was taken prisoner along with his entire household by the invading Elamite forces.
","ജോർദാൻ നദിയിലെ നഗരങ്ങളായ സോഡോമും ഗൊമോറയും എലാമിനെതിരേ കലാപം നടത്തിയപ്പോൾ, (Genesis 14:1-9) എബ്രാമിന്റെ അനന്തരവനായ ലോട്ടിനെയും അദ്ദേഹത്തിന്റെ കുടുംബത്തെ മുഴുവനും തടവുകാരായി എലാമൈറ്റ് സൈന്യം പിടികൂടി.
"
"Earlier, two brothers were assaulted in Sambhal while they were with their nephew, who was unwell, to buy him medicines.
","നേരത്തെ, സാംബലിൽ രണ്ട് സഹോദരന്മാർ അസുഖമുള്ള മരുമകനോടൊപ്പം മരുന്ന് വാങ്ങാനായി പോയപ്പോൾ ആക്രമിക്കപ്പെട്ടിരുന്നു.
"
"For my nephew's 4th Birthday:)
","മിന്നുവിന് മുൻകൂറായി എന്റെ വക നാലാം പിറന്നാളാശംസകൾ:)
"
"Hamlet - Son of the late king and nephew of the present king
","ഹാംലെറ്റ് രാജകുമാരൻ-മുൻരാജാവിന്റെ മകൻ, ഇപ്പോഴത്തെ രാജാവിന്റെ അനന്തിരവൻ
"
"Hamlet-Son of the former king, and nephew of the present King
","ഹാംലെറ്റ് രാജകുമാരൻ-മുൻരാജാവിന്റെ മകൻ, ഇപ്പോഴത്തെ രാജാവിന്റെ അനന്തിരവൻ
"
"Hareesh Nishad said he was asked to arrange 5 metre cloth and 3 metre of plastic for the post-mortem of his nephew.
","സ്വന്തം മരുമകന്റെ പോസ്റ്റ്മോർട്ടം നടക്കണമെങ്കിൽ അഞ്ചു മീറ്റർ തുണിയും മൂന്നു പ്ലാസ്റ്റിക്കും വാങ്ങിവരാൻ അധികൃതർ അറിയിച്ചതായി ഹരീഷ് നിഷാദ് എന്നയാൾ പറഞ്ഞു.
"
"Harish Rao is KCR's nephew.
","കെസിആറിന്റെ മരുമകനാണ് ഹരീഷ് റാവു.
"
"He builds relations with others and relatives (in particular, with his nephew) on one principle: to humiliate them, formally to deprive them of social rights, and then use them themselves.
","(തന്റെ അനന്തരവനൊപ്പമാണ് പ്രത്യേകിച്ച്,) പങ്കാളികളെ ബന്ധുക്കളും കൂടെ ബന്ധങ്ങൾ, അവൻ ഒരു മാത്രമേയുള്ളൂവെന്നും തേച്ചുമിനുക്കിയാണു്ഃ ഔദ്യോഗികമായി അവരെ അപമാനിക്കാൻ - സാമൂഹിക അവകാശങ്ങൾ നല്കുക, എന്നിട്ട് അവരെ ഉപയോഗിക്കാൻ.
"
"He didn't hear his nephews' calls.
","കുഞ്ഞുമോളുടെ ഉച്ചത്തിലുള്ള വിളികൾ അവൻ കേട്ടില്ല.
"
"He is David's nephew.
","അയാള് ഡേവിഡിന്റെ ഇളയ സഹോദരനാണ്.
"
"He is the brother of actor Dhruva Sarja and nephew of Tamil superstar Arjun Sarja.
","നടൻ ധ്രുവ സർജയുടെ സഹോദരനും തമിഴ് സൂപ്പർ താരം അർജുൻ സർജയുടെ അനന്തരവനുമാണ്.
"
"He is the nephew of actor Jose Prakash.
","നടൻ ജോസ് പ്രകാശിൻറെ മരുമകനാണ് ഇദ്ദേഹം.
"
"He is the nephew of famous Indian designer, Manish Malhotra.
","പ്രശസ്ത ഡിസൈനർ മനിഷ് മൽഹോത്രയുടെ അനന്തിരവൻ.
"
"He is the nephew of late filmmaker Bharatan.
","പ്രശസ്ത ചലച്ചിത്രസംവിധായകൻ ഭരതന്റെ ചെറിയച്ഛനാണ് ഇദ്ദേഹം.
"
"He is the son of the great Tabla Legend Nikhil Ghosh and also the nephew of well known flute player Pannalal Ghosh.
","പ്രസിദ്ധ തബല വിദ്വാനായ നിഖിൽ ഘോഷിന്റെ മകനും ഓടക്കുഴൽ വാദകനായ പന്നലാൽ ഘോഷിന്റെ അനന്തരവനുമാണ് ഇദ്ദേഹം.
"
"He is uncle Peter's nephew.
","അവൻ ടാർ പീറ്റർ ഒന്നാമന്റെ അമ്മാവനാണ്.
"
"He then called his nephew Ratheesh and told him that he was not feeling well and wanted to come soon.
","തുടർന്ന് സഹോദരന്റെ മകനായ രതീഷിനെ വിളിച്ച് സുഖമില്ലെന്നും പെട്ടെന്നു വരണമെന്നും പറഞ്ഞു.
"
"He was also a nephew of Claudius, Germanicus' younger brother and future emperor.
","ഭാവിയിലെ ചക്രവർത്തിയും ജെർമ്മാനിക്കസിന്റെ ഇളയ സഹോദരനും ആയ ക്ലാഡിയസിന്റെ സഹോദരീപുത്രനുമായിരുന്നു.
"
"Her nephew is the city's mayor.
","അദ്ദേഹത്തിനുശേഷം മകളാണ് നഗരത്തിന്റെ മേയർ.
"
"Her nephew's future depends on it.
","തന്റെ അനുജത്തിയുടെ ഭാവി അതിനെ ആശ്രയിച്ചിരിക്കും.
"
"His nephew Subramanyan Chandrasekhar was awarded the 1983 Nobel Prize in Physics.
","1983ൽ സുബ്രഹ്മണ്യൻ ചന്ദ്രശേഖറിന് ഭൌതികശാസ്ത്രത്തിൽ നൊബേൽ സമ്മാനം ലഭിച്ചു.
"
"His nephew didn't like the decision.
","കൂട്ടുകാരന് തീരുമാനം ഇഷ്ടമായില്ല.
"
"His nephew is Pliny the Younger.
","അദ്ദേഹത്തിൻറെ മകനും പ്ലീനി എന്ന് തന്നെയാണ് (Pliny The younger) അറിയപ്പെടുന്നത്.
"
"His nephew was a student in my first-grade class.
","മകൻ എന്റെ പ്രൈമറി ക്ലാസിലെ സഹപാഠിയായിരുന്നു.
"
"His three brothers and nephew are also with the Indian armed forces.
","അദ്ദേഹത്തിന്റെ മൂന്ന് സഹോദരങ്ങളും മരുമകനും ഇന്ത്യൻ സായുധ സേനയ്ക്കൊപ്പമുണ്ട്.
"
"How's your nephew's thumb?
","നിന്റെ കണവന്റെ കുണ്ണ എങ്ങനെയാ ?
"
"I am the luckiest aunt in the world to have such a wonderful nephew.
","മനോഹരമായ ഒരു മുത്തശ്ശിയെ ലഭിക്കുന്ന ലോകത്തിലെ ഏറ്റവും ഭാഗ്യവാനാണ് ഞാൻ.
"
"I didn't see my brother or my nephew.
","എന്റെ ജ്യേഷ്ഠനെയും അനിയനെയും കാണാനില്ലായിരുന്നു.
"
"I have 2 nephews under the age of 3.
","3 വയസ്സിനു താഴെയുള്ള 2 കുട്ടിചെകുത്താന്മ്മാരുണ്ടെനിക്ക്.
"
"I have a nephew in the 7th grade.
","ഏഴാം ക്ലാസ്സിൽ പഠിക്കുന്ന ഒരു അനന്തിരവൻ ഉണ്ട് എനിക്ക്.
"
"I have my wife and daughter, my son-in-law and nephews visit us.
","എനിക്ക് ഭാരയും മകളും മകളുടെ ഭർത്താവും ഞങ്ങളെ സന്ദർശിക്കുന്ന മരുമക്കളുമൊക്കെ ഉണ്ടല്ലോ.
"
"I'm going to forward this post to my nephew.
","ഈ പോസ്റ്റ് ഞാനെന്റെ നേനക്കുട്ടിക്ക് സമർപ്പിക്കട്ടെ.
"
