eng_Latn,kan_Knda
"""Both parents were tall, grandmother 5'11"""" and grandfather 6'3′′.""
","""ಆಕೆಯ ತಂದೆತಾಯಿಗಳೆರಡೂ ಎತ್ತರವಾಗಿದ್ದವು - ಆಕೆಯ ತಾಯಿ 5'11 ಮತ್ತು ಆಕೆಯ ತಂದೆ 6'1 - ಆದರೆ ಅವರಿಬ್ಬರೂ 6'5 """"ಎತ್ತರಕ್ಕೆ ಬೆಳೆದರು.""
"
"""Exodus 10:6 (ESV) and they shall fill your houses and the houses of all your servants and of all the Egyptians, as neither your fathers nor your grandfathers have seen, from the day they came on earth to this day.'""""""
","10:6 ಮತ್ತು ಅವರು ನಿಮ್ಮ ಮನೆ ತುಂಬಬಹುದು, ಮತ್ತು ನಿಮ್ಮ ಸೇವಕರು ಆ ಐಗುಪ್ತ್ಯರೆಲ್ಲರಃ ನಿಮ್ಮ ತಂದೆ ಮತ್ತು ಪೂರ್ವಜರ ಅನೇಕ ನೋಡಿಲ್ಲ, ಅವರು ಭೂಮಿಯ ಮೇಲೆ ಎದ್ದು ಆ ಸಮಯದ, ಈ ಇಂದಿನವರೆಗೂ.
"
"""Exodus 10:6 NASB: Then your houses shall be filled and the houses of all your servants and the houses of all the Egyptians, something which neither your fathers nor your grandfathers have seen, from the day that they came upon the earth until this day.'""""""
","10:6 ಮತ್ತು ಅವರು ನಿಮ್ಮ ಮನೆ ತುಂಬಬಹುದು, ಮತ್ತು ನಿಮ್ಮ ಸೇವಕರು ಆ ಐಗುಪ್ತ್ಯರೆಲ್ಲರಃ ನಿಮ್ಮ ತಂದೆ ಮತ್ತು ಪೂರ್ವಜರ ಅನೇಕ ನೋಡಿಲ್ಲ, ಅವರು ಭೂಮಿಯ ಮೇಲೆ ಎದ್ದು ಆ ಸಮಯದ, ಈ ಇಂದಿನವರೆಗೂ.
"
"""Exodus 10:6 Then your houses shall be filled and the houses of all your servants and the houses of all the Egyptians, something which neither your fathers nor your grandfathers have seen, from the day that they came upon the earth until this day.'""""""
","10:6 ಮತ್ತು ಅವರು ನಿಮ್ಮ ಮನೆ ತುಂಬಬಹುದು, ಮತ್ತು ನಿಮ್ಮ ಸೇವಕರು ಆ ಐಗುಪ್ತ್ಯರೆಲ್ಲರಃ ನಿಮ್ಮ ತಂದೆ ಮತ್ತು ಪೂರ್ವಜರ ಅನೇಕ ನೋಡಿಲ್ಲ, ಅವರು ಭೂಮಿಯ ಮೇಲೆ ಎದ್ದು ಆ ಸಮಯದ, ಈ ಇಂದಿನವರೆಗೂ.
"
"""Exodus 10:6, ESV: """"and they shall fill your houses and the houses of all your servants and of all the Egyptians, as neither your fathers nor your grandfathers have seen, from the day they came on earth to this day.'""""""
","10:6 ಮತ್ತು ಅವರು ನಿಮ್ಮ ಮನೆ ತುಂಬಬಹುದು, ಮತ್ತು ನಿಮ್ಮ ಸೇವಕರು ಆ ಐಗುಪ್ತ್ಯರೆಲ್ಲರಃ ನಿಮ್ಮ ತಂದೆ ಮತ್ತು ಪೂರ್ವಜರ ಅನೇಕ ನೋಡಿಲ್ಲ, ಅವರು ಭೂಮಿಯ ಮೇಲೆ ಎದ್ದು ಆ ಸಮಯದ, ಈ ಇಂದಿನವರೆಗೂ.
"
"""In response to such views, the Afro-Arab author Al-Jahiz, himself having a Zanj grandfather, wrote a book entitled Superiority Of The Blacks To The Whites and explained why the Zanj were black in terms of environmental determinism in the """"On the Zanj"""" chapter of The Essays.""
","""ಈ ತರಹದ ದೃಷ್ಟಿಕೋನಗಳ ಪ್ರತಿಯುತ್ತರವಾಗಿ, ಪೂರ್ವ ಆಫ್ರಿಕಾದ ಸಂತತಿಯವನಾಗಿದ್ದ ಒಬ್ಬ ಆಫ್ರೊ-ಆರಬ್ ಬರಹಗಾರ ಅಲ್-ಜಹಿಸ್, ಸುಪೀರಿಯೋರಿಟಿ ಒಫ್ ದ ಬ್ಲ್ಯಾಕ್ಸ್ ಟು ದ ವೈಟ್ಸ್ ಎಂಬ ಶೀರ್ಷಕೆಯ ಒಂದು ಪುಸ್ತಕ ಬರೆದರು,[೬೧] ಹಾಗೂ ದ ಎಸೇಸ್ ಎಂಬ ಪುಸ್ತಕದ """"ಆನ್ ದ ಜಂಜ್"""" ಅಧ್ಯಾಯದಲ್ಲಿ ಪರಿಸರದ ನಿಯಂತ್ರಣ ವಾದ ಪದಗಳಲ್ಲಿ ಜಂಜ್ರು ಏಕೆ ಕಪ್ಪಾಗಿರುತ್ತಾರೆಂದು ವಿವರಿಸಿದ್ದಾರೆ.""
"
"""It became like: """"My grandfather was a Republican, my father was a Republican, so I am also Republican!""""""
","""ಇದು ಯಾವ ತರಹ ಆಯಿತೆಂದರೆಃ """"ನನ್ನ ತಾತ ರಿಪಬ್ಲಿಕನ್, ನನ್ನ ತಂದೆ ರಿಪಬ್ಲಿಕನ್, ಹಾಗಾಗಿ ನಾನು ಕೂಡ ರಿಪಬ್ಲಿಕನ್!""
"
"""Lee de Forest, the father of radio and grandfather of television, in 1926 said, """"Theoretically, television may be feasible, but I consider it an impossibility - a development which we should waste little time dreaming about.""""""
","""1926 ರಲ್ಲಿ, ಲೀ ಡಿ ಫಾರೆಸ್ಟ್ ದೂರದರ್ಶನ ಭವಿಷ್ಯದ ಬಗ್ಗೆ ಹೇಳಲು ಈ ಕೆಳಗಿನವುಗಳನ್ನು ಹೊಂದಿತ್ತುಃ """"ಸೈದ್ಧಾಂತಿಕವಾಗಿ ಮತ್ತು ತಾಂತ್ರಿಕವಾಗಿ ಟೆಲಿವಿಷನ್ ಕಾರ್ಯಸಾಧ್ಯವಾಗಬಹುದಾದರೂ, ವಾಣಿಜ್ಯಿಕವಾಗಿ ಮತ್ತು ಆರ್ಥಿಕವಾಗಿ ಇದು ಅಸಾಧ್ಯ, ನಾವು ಸ್ವಲ್ಪ ಸಮಯ ಕನಸು ಕಳೆದುಕೊಳ್ಳುವ ಅಗತ್ಯವಿರುವ ಅಭಿವೃದ್ಧಿಯೆಂದರೆ.""
"
"(Our mother's grandfather)
","(ನಮ್ಮಮ್ಮ ತಾಯಿ ಅಣ್ಣಮ್ಮ)
"
"17 In the 19th century, when the Sikh Empire was conquering Kashmir, his grandfather s family migrated to Punjab.
","೧೯ನೇ ಶತಮಾನದಲ್ಲಿ ಸಿಖ್ ರಾಜರು ಕಾಶ್ಮೀರವನ್ನು ಆಳುತ್ತಿದ್ದರು, ಆ ಸಂದರ್ಭದಲ್ಲಿ ಅವರ ತಾತನ ಕುಟುಂಬ ಪಂಜಾಬಿಗೆ ಸ್ಥಳಾಂತರವಾಯಿತು.
"
"28 You could have killed all my grandfather's family.
","28 ನೀನು ನನ್ನ ತಾತನ ಕುಟುಂಬವನ್ನೆಲ್ಲ ಕೊಲ್ಲಬಹುದಾಗಿತ್ತು.
"
"28You could have killed all my grandfather's family.
","28 ನೀನು ನನ್ನ ತಾತನ ಕುಟುಂಬವನ್ನೆಲ್ಲ ಕೊಲ್ಲಬಹುದಾಗಿತ್ತು.
"
"A Samurai was usually named by combining one Kanji from his father or grandfather and one new Kanji.
","ಓರ್ವ ಸಮುರಾಯ್ನ ಹೆಸರನ್ನು, ಅವನ ತಂದೆಯಿಂದ ಅಥವಾ ತಾತನಿಂದ ಪಡೆದ ಒಂದು ಕಾಂಜೀ ಲಿಪಿ ಹಾಗೂ ಒಂದು ಹೊಸದಾದ ಕಾಂಜೀ ಲಿಪಿಯನ್ನು ಸಂಯೋಜಿಸುವ ಮೂಲಕ ಸಾಮಾನ್ಯವಾಗಿ ಇಡಲಾಗುತ್ತಿತ್ತು.
"
"A couple of years ago my grandfather discovered he had cancer.
","ಎರಡು ವರ್ಷಗಳ ಹಿಂದೆ ತಂದೆಗೆ ಕ್ಯಾನ್ಸರ್ ಇರುವುದು ತಿಳಿದು ಬಂದಿತ್ತು.
"
"A samurai usually was named by combining one kanji from his father or grandfather and one new kanji.
","ಓರ್ವ ಸಮುರಾಯ್ನ ಹೆಸರನ್ನು, ಅವನ ತಂದೆಯಿಂದ ಅಥವಾ ತಾತನಿಂದ ಪಡೆದ ಒಂದು ಕಾಂಜೀ ಲಿಪಿ ಹಾಗೂ ಒಂದು ಹೊಸದಾದ ಕಾಂಜೀ ಲಿಪಿಯನ್ನು ಸಂಯೋಜಿಸುವ ಮೂಲಕ ಸಾಮಾನ್ಯವಾಗಿ ಇಡಲಾಗುತ್ತಿತ್ತು.
"
"A samurai was usually named by combining one kanji from his father or grandfather and one new kanji.
","ಓರ್ವ ಸಮುರಾಯ್ನ ಹೆಸರನ್ನು, ಅವನ ತಂದೆಯಿಂದ ಅಥವಾ ತಾತನಿಂದ ಪಡೆದ ಒಂದು ಕಾಂಜೀ ಲಿಪಿ ಹಾಗೂ ಒಂದು ಹೊಸದಾದ ಕಾಂಜೀ ಲಿಪಿಯನ್ನು ಸಂಯೋಜಿಸುವ ಮೂಲಕ ಸಾಮಾನ್ಯವಾಗಿ ಇಡಲಾಗುತ್ತಿತ್ತು.
"
"A samurai was usually named by combining one kanji taken from his father or grandfather and a new kanji.
","ಓರ್ವ ಸಮುರಾಯ್ನ ಹೆಸರನ್ನು, ಅವನ ತಂದೆಯಿಂದ ಅಥವಾ ತಾತನಿಂದ ಪಡೆದ ಒಂದು ಕಾಂಜೀ ಲಿಪಿ ಹಾಗೂ ಒಂದು ಹೊಸದಾದ ಕಾಂಜೀ ಲಿಪಿಯನ್ನು ಸಂಯೋಜಿಸುವ ಮೂಲಕ ಸಾಮಾನ್ಯವಾಗಿ ಇಡಲಾಗುತ್ತಿತ್ತು.
"
"A samurai were usually named by combining one kanji from their father or grandfather and one new kanji.
","ಓರ್ವ ಸಮುರಾಯ್ನ ಹೆಸರನ್ನು, ಅವನ ತಂದೆಯಿಂದ ಅಥವಾ ತಾತನಿಂದ ಪಡೆದ ಒಂದು ಕಾಂಜೀ ಲಿಪಿ ಹಾಗೂ ಒಂದು ಹೊಸದಾದ ಕಾಂಜೀ ಲಿಪಿಯನ್ನು ಸಂಯೋಜಿಸುವ ಮೂಲಕ ಸಾಮಾನ್ಯವಾಗಿ ಇಡಲಾಗುತ್ತಿತ್ತು.
"
"A young lawyer attempts to save his estranged grandfather, an unrepentant member of the Klan responsible for a bombing that inadvertently killed two children, from the Mississippi gas chamber.
","ಒಬ್ಬ ಯುವ ವಕೀಲರು 1967 ರ ಬಾಂಬ್ ಸ್ಫೋಟಕ್ಕೆ ಕ್ಲಾನ್ ನ ಪಶ್ಚಾತ್ತಾಪವಿಲ್ಲದ ಓರ್ವ ಪಶ್ಚಾತ್ತಾಪವಿಲ್ಲದ ಸದಸ್ಯನನ್ನು ರಕ್ಷಿಸಲು ಪ್ರಯತ್ನಿಸುತ್ತಾರೆ, ಅದು ಮಿಸ್ಸಿಸ್ಸಿಪ್ಪಿ ಗ್ಯಾಸ್ ಚೇಂಬರ್ನಿಂದ ಇಬ್ಬರು ಮಕ್ಕಳನ್ನು ಕೊಲ್ಲಲಾಯಿತು.
"
"According to reports, Sharmila's father Gitindranath was the grandson of acclaimed painter Gaganendranath Tagore, whose father was a cousin to Rabindranath Tagore, and so, the Nobel Laureate is the cousin of Sharmila Tagore's great-great grandfather.
","ವರದಿಗಳ ಪ್ರಕಾರ, ಶರ್ಮಿಳಾರ ತಂದೆ ಗಿತೀಂದ್ರನಾಥ್ ಹೆಸರಾಂತ ವರ್ಣಚಿತ್ರಕಾರ ಗಗನೇಂದ್ರನಾಥ ಟ್ಯಾಗೋರ್ ಅವರ ಮೊಮ್ಮಗ, ಅವರ ತಂದೆ ರವೀಂದ್ರನಾಥ ಟ್ಯಾಗೋರ್ರ ಸೋದರಸಂಬಂಧಿ, ಹೀಗೆ ನೊಬೆಲ್ ಪ್ರಶಸ್ತಿ ವಿಜೇತರು ಶರ್ಮಿಳಾ ಟ್ಯಾಗೋರ್ರ ಗ್ರೇಟ್ ಗ್ರೇಟ್ ಗ್ಯ್ರಾಂಡ್ ಫಾದರ್ನ ಕಸಿನ್.
"
"According to the Egyptians, or rather what Plato described Critias reporting what his grandfather was told by Solon who heard it from the Egyptians, once upon a time, there was a mighty power based on an island in the Atlantic Ocean.
","ಈಜಿಪ್ಟಿನವರು ಪ್ರಕಾರ, ಅಥವಾ ಕ್ರಿಟಿಯಸ್ ಈಜಿಪ್ಟಿನವರು ಇದನ್ನು ಕೇಳಿದ ಸೊಲೊನ್ ಅವರಿಂದ ಏನು ಹೇಳಿದನು ಎಂದು ಪ್ಲೇಟೋ ವಿವರಿಸಿದ್ದಾನೆ, ಒಂದು ಕಾಲದಲ್ಲಿ, ಅಟ್ಲಾಂಟಿಕ್ ಮಹಾಸಾಗರದ ದ್ವೀಪವನ್ನು ಆಧರಿಸಿ ಪ್ರಬಲ ಶಕ್ತಿ ಇತ್ತು.
"
"After the partition, the grandfather stayed in India while some other family members settled in Pakistan.
","ದೇಶ ವಿಭಜನೆಯಾದಾಗ ಕೆಲವು ಕುಟುಂಬಗಳ ಅಪ್ಪ-ಅಮ್ಮ ಪಾಕ್ನಲ್ಲಿ ಉಳಿದರೆ, ಮಕ್ಕಳು ಭಾರತದಲ್ಲೇ ನೆಲೆಸಿದರು.
"
"Al-Khwarizmi developed the concept of the algorithm in mathematics which is a reason for his being called the grandfather of computer science by some people.
","ಅಲ್-ಖ್ವಾರಿಝ್ಮಿಯು ಗಣಿತದಲ್ಲಿ ಆಲ್ಗೋರಿದಮ್ ಪರಿಕಲ್ಪನೆಯನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸಿದರು, ಇದು ಅವರನ್ನು ಕಂಪ್ಯೂಟರ್ ವಿಜ್ಞಾನದ ಪಿತಾಮಹರನ್ನಾಗಿ ಮಾಡಲು ಕಾರಣವಾಯಿತು.
"
"Alexander's grandfather, a purebred Pole Benedict Nosek, moved to Ukraine at the beginning of the last century.
","ಅವರ ತಂದೆ - ಬೆನೆಡಿಕ್ಟ್ Nosek - ಕಳೆದ ಶತಮಾನದ ಆರಂಭದಲ್ಲಿ ಉಕ್ರೇನ್ ಗೆ ತೆರಳಿದ ಒಂದು ಪೋಲ್.
"
"Alia Bhatt celebrated her grandfather's 93rd birthday,...
","ತಮ್ಮ ತಾತನ 93ನೇ ಹುಟ್ಟುಹಬ್ಬ ಆಚರಿಸಿದ ನಟಿ ಆಲಿಯಾ ಭಟ್ . . !
"
"Also, his son Abhinanda in his Kadambari-kathasara, mentioned that the great grandfather of Jayanta was a minister of king Lalitaditya of 8th Century CE.
","ಅವನ ಮಗ ಅಭಿನಂದನು ತನ್ನ ಕಾದಂಬರಿ-ಕಥಾಸಾರದಲ್ಲಿ, ಜಯಂತನ ಮುತ್ತಜ್ಜನು ಕ್ರಿ. ಶ. ೮ನೇ ಶತಮಾನದ ರಾಜ ಲಲಿತಾದಿತ್ಯನ ಮಂತ್ರಿಯಾಗಿದ್ದನು ಎಂದೂ ಪ್ರಸ್ತಾಪಿಸಿದ್ದಾನೆ.
"
"Antoine's maternal grandfather, Amaro Lopes was a Portuguese footballer too and he played for F.C.Paços de Ferreira.
","ಅವರ ತಂದೆ ಅಮಾರೊ ಲೋಪ್ಸ್ ಅವರು ಎಫ್ಸಿ ಪ್ಯಾಕೋಸ್ ಡೆ ಫೆರೀರಾಗಾಗಿ ಪೋರ್ಚುಗೀಸ್ ಫುಟ್ಬಾಲ್ ಆಟಗಾರರಾಗಿದ್ದರು.
"
"As a young boy of 8 years old, he undertook the selfless task of collecting donation from people to ensure the resurrection of an old temple in India, which was built by his great grandfather.
","8 ವರ್ಷದ ಮಗುವಾಗಿರುವಾಗಲೇ ಅವರು ಭಾರತದಲ್ಲಿನ ಹಳೆಯ ದೇವಾಲಯವೊಂದನ್ನು ಜೀರ್ಣೋದ್ಧಾರ ಮಾಡುವುದಕ್ಕಾಗಿ ಜನರಿಂದ ದೇಣಿಗೆಯನ್ನು ಸಂಗ್ರಹಿಸುವ ನಿಸ್ವಾರ್ಥ ಕಾರ್ಯವೊಂದರಲ್ಲಿ ಸಂಪೂರ್ಣ ತೊಡಗಿಸಿಕೊಂಡಿದ್ದರು.
"
"As per the declaration, Andhra Pradesh Chief Minister Chandrababu Naidu has assets worth Rs 2.99 crore while his three-year-old grandson Nara Devaansh is six times richer than his grandfather with assets worth Rs 18.71 crore in his name.
","ಆಸ್ತಿ ಘೋಷಣೆಯ ಪ್ರಕಾರ ಆಂಧ್ರ ಪ್ರದೇಶ ಮುಖ್ಯಮಂತ್ರಿ ಚಂದ್ರಬಾಬು ನಾಯ್ಡು ಅವರ ಬಳಿ 2.99 ಕೋಟಿ ಮೊತ್ತದ ಆಸ್ತಿ ಇದ್ದು, ಅವರ ಮೂರು ವರ್ಷದ ಮೊಮ್ಮಗ ನರ ದೇವಾನ್ಶ್ ಅವರು 18.71 ಕೋಟಿ ಮೊತ್ತದ ಆಸ್ತಿ ಒಡೆಯರಾಗಿದ್ದಾರೆ.
"
"As per the declaration, Andhra Pradesh Chief Minister N Chandrababu Naidu has assets worth Rs 2.99 crore while his three-year-old grandson Nara Devaansh is six times richer than his grandfather with assets worth Rs 18.71 crore in his name.
","ಆಸ್ತಿ ಘೋಷಣೆಯ ಪ್ರಕಾರ ಆಂಧ್ರ ಪ್ರದೇಶ ಮುಖ್ಯಮಂತ್ರಿ ಚಂದ್ರಬಾಬು ನಾಯ್ಡು ಅವರ ಬಳಿ 2.99 ಕೋಟಿ ಮೊತ್ತದ ಆಸ್ತಿ ಇದ್ದು, ಅವರ ಮೂರು ವರ್ಷದ ಮೊಮ್ಮಗ ನರ ದೇವಾನ್ಶ್ ಅವರು 18.71 ಕೋಟಿ ಮೊತ್ತದ ಆಸ್ತಿ ಒಡೆಯರಾಗಿದ್ದಾರೆ.
"
"Ashoka's grandfather Chandragupta had previously attempted to conquer Kalinga, but had been repulsed.
","ಈ ಹಿಂದೆ ಅಶೋಕನ ತಾತನಾದ ಚಂದ್ರಗುಪ್ತ ಮೌರ್ಯನು ಕಳಿಂಗವನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳಲು ಪ್ರಯತ್ನಿಸಿದನು, ಆದರೆ ಅವನನ್ನು ಹಿಮ್ಮೆಟ್ಟಿಸಲಾಗಿತ್ತು.
"
"At the age of 14, he received his first guitar as a Christmas present, and began learning how to play from his grandfather.
","ವಯಸ್ಸು 14, ಅವರು ಅವನ ಹುಟ್ಟುಹಬ್ಬದಂದು ತನ್ನ ಚಿಕ್ಕಪ್ಪ ನೀಡಿತು ಗಿಟಾರ್, ಆಡಲು ಕಲಿಯಲು ಆರಂಭಿಸಿದರು.
"
"Before she left the village, she requested their three grandsons, aged 18, 16, and 12, to stay with their grandfather.
","ಹಳ್ಳಿಯನ್ನು ಬಿಡುವ ಮೊದಲು 18, 16 ಹಾಗೂ 12 ವರ್ಷದ ತನ್ನ ಮೊಮ್ಮಕ್ಕಳನ್ನು ತಾತನ ಜೊತೆಗಿರುವಂತೆ ಅವರು ವಿನಂತಿಸಿದ್ದರು.
"
"Bell 's father, grandfather, and brother had all been associated with work on elocution and speech, and both his mother and wife were deaf, profoundly influencing Bell 's life 's work.
","ಬೆಲ್ನ ತಂದೆ, ತಾತ, ಮತ್ತು ಸೋದರ ಇವರೆಲ್ಲರೂ ವಾಗ್ವೈಖರಿ ಮತ್ತು ವಾಕ್ ಶಕ್ತಿಗೆ ಸಂಬಂಧಿಸಿದ ಕೆಲಸದಲ್ಲಿ ತಮ್ಮನ್ನು ತೊಡಗಿಸಿಕೊಂಡಿದ್ದರು, ಮತ್ತು ಅವನ ತಾಯಿ ಹಾಗೂ ಹೆಂಡತಿ ಕಿವುಡರಾಗಿದ್ದುದು ಬೆಲ್ನ ಜೀವಮಾನದ ಕಾರ್ಯದ ಮೇಲೆ ಆಳವಾದ ಪ್ರಭಾವವನ್ನು ಬೀರಿತ್ತು.
"
"Bell's father , grandfather, and brother had all been associated with work on elocution and speech and both his mother and wife were deaf, profoundly influencing Bell's life's work.
","ಬೆಲ್ನ ತಂದೆ, ತಾತ, ಮತ್ತು ಸೋದರ ಇವರೆಲ್ಲರೂ ವಾಗ್ವೈಖರಿ ಮತ್ತು ವಾಕ್ ಶಕ್ತಿಗೆ ಸಂಬಂಧಿಸಿದ ಕೆಲಸದಲ್ಲಿ ತಮ್ಮನ್ನು ತೊಡಗಿಸಿಕೊಂಡಿದ್ದರು, ಮತ್ತು ಅವನ ತಾಯಿ ಹಾಗೂ ಹೆಂಡತಿ ಕಿವುಡರಾಗಿದ್ದುದು ಬೆಲ್ನ ಜೀವಮಾನದ ಕಾರ್ಯದ ಮೇಲೆ ಆಳವಾದ ಪ್ರಭಾವವನ್ನು ಬೀರಿತ್ತು.
"
"Bell's father, grandfather, and brother had all been associated with work on elocution and speech, and both his mother and wife were deaf, profoundly influencing Bell's life's work.
","ಬೆಲ್ನ ತಂದೆ, ತಾತ, ಮತ್ತು ಸೋದರ ಇವರೆಲ್ಲರೂ ವಾಗ್ವೈಖರಿ ಮತ್ತು ವಾಕ್ ಶಕ್ತಿಗೆ ಸಂಬಂಧಿಸಿದ ಕೆಲಸದಲ್ಲಿ ತಮ್ಮನ್ನು ತೊಡಗಿಸಿಕೊಂಡಿದ್ದರು, ಮತ್ತು ಅವನ ತಾಯಿ ಹಾಗೂ ಹೆಂಡತಿ ಕಿವುಡರಾಗಿದ್ದುದು ಬೆಲ್ನ ಜೀವಮಾನದ ಕಾರ್ಯದ ಮೇಲೆ ಆಳವಾದ ಪ್ರಭಾವವನ್ನು ಬೀರಿತ್ತು.
"
"Bell's father, grandfather, and brother had all been associated with work on elocutionand speech, and both his mother and wife were deaf, profoundly influencing Bell's life's work.
","ಬೆಲ್ನ ತಂದೆ, ತಾತ, ಮತ್ತು ಸೋದರ ಇವರೆಲ್ಲರೂ ವಾಗ್ವೈಖರಿ ಮತ್ತು ವಾಕ್ ಶಕ್ತಿಗೆ ಸಂಬಂಧಿಸಿದ ಕೆಲಸದಲ್ಲಿ ತಮ್ಮನ್ನು ತೊಡಗಿಸಿಕೊಂಡಿದ್ದರು, ಮತ್ತು ಅವನ ತಾಯಿ ಹಾಗೂ ಹೆಂಡತಿ ಕಿವುಡರಾಗಿದ್ದುದು ಬೆಲ್ನ ಜೀವಮಾನದ ಕಾರ್ಯದ ಮೇಲೆ ಆಳವಾದ ಪ್ರಭಾವವನ್ನು ಬೀರಿತ್ತು.
"
"Bell's father, grandfather, and brother were all involved with work on elocution and speech, and both his mother and wife were deaf, profoundly influencing Bell's life's work.
","ಬೆಲ್ನ ತಂದೆ, ತಾತ, ಮತ್ತು ಸೋದರ ಇವರೆಲ್ಲರೂ ವಾಗ್ವೈಖರಿ ಮತ್ತು ವಾಕ್ ಶಕ್ತಿಗೆ ಸಂಬಂಧಿಸಿದ ಕೆಲಸದಲ್ಲಿ ತಮ್ಮನ್ನು ತೊಡಗಿಸಿಕೊಂಡಿದ್ದರು, ಮತ್ತು ಅವನ ತಾಯಿ ಹಾಗೂ ಹೆಂಡತಿ ಕಿವುಡರಾಗಿದ್ದುದು ಬೆಲ್ನ ಜೀವಮಾನದ ಕಾರ್ಯದ ಮೇಲೆ ಆಳವಾದ ಪ್ರಭಾವವನ್ನು ಬೀರಿತ್ತು.
"
"Bezos' maternal grandfather was a regional director of the U.S. Atomic Energy Commission in Albuquerque.
","ಬೆಜೊಸ್ನ ತಾಯಿಯ ಕಡೆಯ ತಾತನು ಆಲ್ಬುಕರ್ಕ್ನಲ್ಲಿನ ಅಮೆರಿಕಾ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನದ ಪರಮಾಣು ಶಕ್ತಿ ಆಯೋಗದ ಓರ್ವ ಪ್ರಾದೇಶಿಕ ನಿರ್ದೇಶಕನಾಗಿದ್ದ.
"
"Bezos's grandfather was a regional director of the United States Atomic Energy Commission in Albuquerque.
","ಬೆಜೊಸ್ನ ತಾಯಿಯ ಕಡೆಯ ತಾತನು ಆಲ್ಬುಕರ್ಕ್ನಲ್ಲಿನ ಅಮೆರಿಕಾ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನದ ಪರಮಾಣು ಶಕ್ತಿ ಆಯೋಗದ ಓರ್ವ ಪ್ರಾದೇಶಿಕ ನಿರ್ದೇಶಕನಾಗಿದ್ದ.
"
"Bezos's maternal grandfather was a regional director of the U.S. Atomic Energy Commission in Albuquerque.
","ಬೆಜೊಸ್ನ ತಾಯಿಯ ಕಡೆಯ ತಾತನು ಆಲ್ಬುಕರ್ಕ್ನಲ್ಲಿನ ಅಮೆರಿಕಾ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನದ ಪರಮಾಣು ಶಕ್ತಿ ಆಯೋಗದ ಓರ್ವ ಪ್ರಾದೇಶಿಕ ನಿರ್ದೇಶಕನಾಗಿದ್ದ.
"
"Both her father and grandfather were firefighters.
","ಈಕೆಯ ತಂದೆ ಹಾಗೂ ತಾತ ಕೂಡ ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿಯಾಗಿದ್ದರಂತೆ.
"
