eng_Latn,kan_Knda
"It wasn't long before the young Muhammad had settled down very happily to his new lifestyle in the City of Mecca and found he had lots of cousins, an affectionate grandfather named Abd Al Muttalib, as well as many uncles and aunts.
","ಇದು ಯುವ ಮುಹಮ್ಮದ್ ಮೆಕ್ಕಾ ನಗರದಲ್ಲಿ ತಮ್ಮ ಹೊಸ ಜೀವನಶೈಲಿಗೆ ಅತ್ಯಂತ ಸಂತೋಷದ ನೆಲೆಯೂರಿತು ಮತ್ತು ಅವರು ಸೋದರ ಸಾಕಷ್ಟು, ಅಬ್ದ್ ಅಲ್ ಮುತ್ತಾಲಿಬ್ನ ಎಂಬ ಅಕ್ಕರೆಯ ಅಜ್ಜ ಹಾಗೂ ಅನೇಕ ಚಿಕ್ಕಪ್ಪ ಮತ್ತು
"
"It wasn't long before the young Muhammad had settled down very happily to his new lifestyle in the City of Mecca and found that he had lots of cousins, an affectionate grandfather named Abd Al Muttalib, as well as many uncles and aunts.
","ಇದು ಯುವ ಮುಹಮ್ಮದ್ ಮೆಕ್ಕಾ ನಗರದಲ್ಲಿ ತಮ್ಮ ಹೊಸ ಜೀವನಶೈಲಿಗೆ ಅತ್ಯಂತ ಸಂತೋಷದ ನೆಲೆಯೂರಿತು ಮತ್ತು ಅವರು ಸೋದರ ಸಾಕಷ್ಟು, ಅಬ್ದ್ ಅಲ್ ಮುತ್ತಾಲಿಬ್ನ ಎಂಬ ಅಕ್ಕರೆಯ ಅಜ್ಜ ಹಾಗೂ ಅನೇಕ ಚಿಕ್ಕಪ್ಪ ಮತ್ತು
"
"Jayalalithaa's niece J Deepa has opposed the Tamil Nadu government's plans to convert her aunt's residence here into a memorial, saying she would take legal steps against it.
","ಜಯಲಲಿತಾ ಅವರ ಅವರ ನಿವಾಸವನ್ನು ಸ್ಮಾರಕವಾಗಿ ಪರಿವರ್ತಿಸುವ ತಮಿಳುನಾಡು ಸರ್ಕಾರದ ನಿರ್ಧಾರಕ್ಕೆ ಅವರ ಸೋದರನ ಮಗಳು ಜೆ. ದೀಪಾ ವಿರೋಧ ವ್ಯಕ್ತಪಡಿಸಿದ್ದು, ಇದರ ವಿರುದ್ಧ ಕಾನೂನು ಕ್ರಮ ತೆಗೆದುಕೊಳ್ಳುವುದಾಗಿ ತಿಳಿಸಿದ್ದಾರೆ.
"
"Kedaranatha's maternal aunt suggested to his mother that he go to Calcutta to pursue his studies.
","ಕೇದಾರನಾಥನ ಸೋದರತ್ತೆಯು ಅವನು ಕಲ್ಕತ್ತೆಗೆ ಹೋಗಿ ಅವನ ವಿದ್ಯಾಭ್ಯಾಸವನ್ನು ಮುಂದುವರಿಸಬೇಕೆಂದು ಅವನ ತಾಯಿಗೆ ಸಲಹೆ ಮಾಡಿದಳು.
"
"Late chief minister J Jayalalithaa's niece J Deepa has opposed the Tamil Nadu government's plans to convert her aunt's residence here into a memorial, saying she would take legal steps against it.
","ಜಯಲಲಿತಾ ಅವರ ಅವರ ನಿವಾಸವನ್ನು ಸ್ಮಾರಕವಾಗಿ ಪರಿವರ್ತಿಸುವ ತಮಿಳುನಾಡು ಸರ್ಕಾರದ ನಿರ್ಧಾರಕ್ಕೆ ಅವರ ಸೋದರನ ಮಗಳು ಜೆ. ದೀಪಾ ವಿರೋಧ ವ್ಯಕ್ತಪಡಿಸಿದ್ದು, ಇದರ ವಿರುದ್ಧ ಕಾನೂನು ಕ್ರಮ ತೆಗೆದುಕೊಳ್ಳುವುದಾಗಿ ತಿಳಿಸಿದ್ದಾರೆ.
"
"Late chief minister Jayalalithaa's niece J Deepa today opposed the Tamil Nadu government's plans to convert her aunt's residence here into a memorial, saying she would take legal steps against it.
","ಜಯಲಲಿತಾ ಅವರ ಅವರ ನಿವಾಸವನ್ನು ಸ್ಮಾರಕವಾಗಿ ಪರಿವರ್ತಿಸುವ ತಮಿಳುನಾಡು ಸರ್ಕಾರದ ನಿರ್ಧಾರಕ್ಕೆ ಅವರ ಸೋದರನ ಮಗಳು ಜೆ. ದೀಪಾ ವಿರೋಧ ವ್ಯಕ್ತಪಡಿಸಿದ್ದು, ಇದರ ವಿರುದ್ಧ ಕಾನೂನು ಕ್ರಮ ತೆಗೆದುಕೊಳ್ಳುವುದಾಗಿ ತಿಳಿಸಿದ್ದಾರೆ.
"
"Lennon failed all his GCE O-level examinations, and was accepted into the Liverpool College of Art only after his aunt and headmaster intervened.
","ತನ್ನೆಲ್ಲಾ GCE O-ಮಟ್ಟದ ಪರೀಕ್ಷೆಗಳಲ್ಲಿ ಲೆನ್ನನ್ ಅನುತ್ತೀರ್ಣನಾದ ಮತ್ತು ತನ್ನ ಶಾಲೆಯ ಮುಖ್ಯೋಪಾಧ್ಯಾಯ ಹಾಗೂ ಮಿಮಿಯ ನೆರವಿನೊಂದಿಗೆ ಕೇವಲ ಲಿವರ್ಪೂಲ್ ಕಾಲೇಜ್ ಆಫ್ ಆರ್ಟ್ನಲ್ಲಿ ಮಾತ್ರವೇ ಆತನಿಗೆ ಸೇರಲು ಅವಕಾಶ ದೊರೆಯಿತು.
"
"Lennon failed all his GCE O-level examinations, and was only accepted into the Liverpool College of Art after his aunt and headmaster intervened.
","ತನ್ನೆಲ್ಲಾ GCE O-ಮಟ್ಟದ ಪರೀಕ್ಷೆಗಳಲ್ಲಿ ಲೆನ್ನನ್ ಅನುತ್ತೀರ್ಣನಾದ ಮತ್ತು ತನ್ನ ಶಾಲೆಯ ಮುಖ್ಯೋಪಾಧ್ಯಾಯ ಹಾಗೂ ಮಿಮಿಯ ನೆರವಿನೊಂದಿಗೆ ಕೇವಲ ಲಿವರ್ಪೂಲ್ ಕಾಲೇಜ್ ಆಫ್ ಆರ್ಟ್ನಲ್ಲಿ ಮಾತ್ರವೇ ಆತನಿಗೆ ಸೇರಲು ಅವಕಾಶ ದೊರೆಯಿತು.
"
"Marriages between ascendants and descendants and marriages between collaterals within the fourth degree (i.e., siblings, aunt and nephew, uncle and niece, first cousins) are prohibited.
","ಪೂರ್ವಿಕರು ಹಾಗು ವಂಶಜರ ನಡುವೆ ವಿವಾಹಗಳನ್ನು ಹಾಗು ನಾಲ್ಕನೇ ತಲೆಮಾರುಗಳೊಳಗಿನ ದಾಯಾದಿಗಳ ನಡುವಿನ ವಿವಾಹಗಳನ್ನು (ಅದೆಂದರೆ, ಒಡಹುಟ್ಟಿದವರು, ತಂದೆ ಅಥವಾ ತಾಯಿಯ ಸೋದರಿ (ಆಂಟ್) ಹಾಗು ಸೋದರಳಿಯ ನಡುವಿನ ವಿವಾಹ, ತಂದೆ ಅಥವಾ ತಾಯಿಯ ಸೋದರ (ಅಂಕಲ್) ಹಾಗು ಅವರ ಸೋದರಸೊಸೆಯ ನಡುವಿನ ವಿವಾಹ, ಸೋದರ ಸಂಬಂಧಿಗಳ ನಡುವೆ ವಿವಾಹ) ನಿಷೇಧಿಸಲಾಗಿದೆ.
"
"Marriages between ascendants and descendants and marriages between collaterals within the fourth degree (i.e., siblings, aunt and nephew, uncle and niece, first cousins) are prohibited.[11]
","ಪೂರ್ವಿಕರು ಹಾಗು ವಂಶಜರ ನಡುವೆ ವಿವಾಹಗಳನ್ನು ಹಾಗು ನಾಲ್ಕನೇ ತಲೆಮಾರುಗಳೊಳಗಿನ ದಾಯಾದಿಗಳ ನಡುವಿನ ವಿವಾಹಗಳನ್ನು (ಅದೆಂದರೆ, ಒಡಹುಟ್ಟಿದವರು, ತಂದೆ ಅಥವಾ ತಾಯಿಯ ಸೋದರಿ (ಆಂಟ್) ಹಾಗು ಸೋದರಳಿಯ ನಡುವಿನ ವಿವಾಹ, ತಂದೆ ಅಥವಾ ತಾಯಿಯ ಸೋದರ (ಅಂಕಲ್) ಹಾಗು ಅವರ ಸೋದರಸೊಸೆಯ ನಡುವಿನ ವಿವಾಹ, ಸೋದರ ಸಂಬಂಧಿಗಳ ನಡುವೆ ವಿವಾಹ) ನಿಷೇಧಿಸಲಾಗಿದೆ.
"
"My aunt did not wake up.
","ಅಜ್ಜಿ ಎಚ್ಚರವಾಗಲಿಲ್ಲ.
"
"My aunt had no children for many years.
","ನಮ್ಮ ಅಜ್ಜಿಗೆ ಬಹಳ ವರ್ಷಗಳವರೆಗೂ ಮಕ್ಕಳಾಗಿರಲಿಲ್ಲ.
"
"My aunt has a large collection of books.
","ಅಪ್ಪನದೊಂದು ದೊಡ್ಡ ಪುಸ್ತಕ ಸಂಗ್ರಹವೇ ಇದೆ.
"
