eng_Latn,ben_Beng
"A New York state Supreme Court judge temporarily blocked the publication of a tell-all book written by President Donald Trump's niece.
","প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের ভাতিজির 'টেল অল' বইয়ের প্রকাশের ওপর দেয়া নিষেধাজ্ঞা প্রত্যাহার করেছেন নিউইয়র্কের একটি আপিল আদালতের বিচারক।
"
"A great gift for your children, nieces, nephews or grandchildren.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"A niece of Tagore (her mother, Swarnakumari, was one of the poet's two sisters), Saraladevi was the editor in her husband's absence of his journal, Hindustan.
","রবীন্দ্রনাথ ঠাকুরের ভাগ্নি (তার মা স্বর্ণকুমারী ছিলেন বিশ্বকবির দু'বোনের অন্যতম এবং বয়সে বড়) সরলাদেবী ছিলেন তার স্বামীর অনুপস্থিতিতে তার জার্নাল হিন্দুস্তান-এর সম্পাদক।
"
"A perfect gift for your children, grandchildren, nieces and nephews.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"A woman whose family lives in the village, Damiria Sihombing, said that her father, mother, nephew, and niece were at home in the village at the time of the landslide.
","ওই গ্রামের দামেরিয়া শিহোমবিং নামে এক নারীর ভাষ্য, ভূমিধসের সময় তার বাবা, মা, চাচা ও চাচী বাড়িতে ছিলেন, তাদের এখন পর্যন্ত কোন খোঁজ পাওয়া যাচ্ছে না।
"
"According to Times of India, Nawaz's niece has gone on record and filed a case of sexual harassment against his brother at the Jamia police station, Delhi.
","সঙ্গে একটি সাক্ষাত্কার অনুযায়ী ই টাইমস, নওয়াজউদ্দিনের ভাগ্নি প্রকাশ করেছেন যে তিনি তার ভাইয়ের বিরুদ্ধে দিল্লির জামিয়া থানায় একটি মামলা করেছিলেন।
"
"Actor Govinda's niece, Ragini Khanna is one of the most beautiful tv actresses in India.
","অভিনেতা গোবিন্দের ভাতিজি, রাগিনী খান্না ভারতের অন্যতম সুন্দর টিভি অভিনেত্রী।
"
"Actor Nawazuddin Siddiqui's niece has filed a complaint against his younger brother alleging sexual harassment.
","বলিউড অভিনেতা নওয়াজউদ্দিন সিদ্দিকীর ভাগ্নী অভিনেতা ভাইয়ের ছোটবেলায় যৌন হেনস্থার অভিযোগ করেছেন।
"
"Actress Niharika is the daughter of South actor-producer, Nagendra Babu and niece of Chiranjeevi.
","নিহারিকা কোনিদেলা দক্ষিণী অভিনেতা তথা সঞ্চালক নাগা বাবুর মেয়ে এবং তারকা চিরঞ্জিবীর ভাইঝি।
"
"Aleem's niece was married to Saad's son.
","আলেমের ভাগ্নীর বিয়ে হয়েছিল সাদের ছেলের সাথে।
"
"All the nieces are married with children.
","সব ছেলে মেয়ের বিয়ে হওয়ায় নাতি-নাতনিও রয়েছে।
"
"Along with many other celebrity kids, they celebrate the birthdays of Ira and Ruhaan, who are the niece and nephew of actress Vidya Balan.
","অন্যান্য অনেক সেলিব্রিটি বাচ্চাদের পাশাপাশি তারা অভিনেত্রী বিদ্যা বালানের ভাগ্নী ও ভাগ্নে ইরা ও রুহানের জন্মদিন উদযাপন করেন।
"
"Anupam Kher's mother, brother, sister-in-law and niece have been diagnosed with Covid-19.
","অনুপম খেরের মা, ভাই, ভাবি ও ভাতিজি করোনায় আক্রান্ত হয়েছেন।
"
"Arnold Schwarzenegger Wife Maria Shriver is the niece of former US President John F. Kennedy's.
","তার প্রাক্তন স্ত্রী মারিয়া শ্রিভার হলেন আমেরিকার প্রাক্তন প্রেসিডেন্ট জন এফ কেনেডির আপন ভাতিজি।
"
"Arnold Schwarzenegger was married to television news personality Maria Shriver, niece of President John F. Kennedy, from 1986 to 2017.
","আর্নল্ড টেলিভিশন সংবাদ ব্যক্তিত্বের সাথে বিবাহবন্ধনে আবদ্ধ ছিলেন মারিয়া শ্রীবর ১৯৮6 থেকে ২০১ 2017 সাল পর্যন্ত রাষ্ট্রপতি জন এফ কেনেডি-এর ভাগ্নী।
"
"Arnold was hitched to TV news character Maria Shriver, niece of President John F. Kennedy, from 1986 to 2017.
","আর্নল্ড টেলিভিশন সংবাদ ব্যক্তিত্বের সাথে বিবাহবন্ধনে আবদ্ধ ছিলেন মারিয়া শ্রীবর ১৯৮6 থেকে ২০১ 2017 সাল পর্যন্ত রাষ্ট্রপতি জন এফ কেনেডি-এর ভাগ্নী।
"
"Arnold was married to television news personality Maria Shriver, niece of President John F. Kennedy, from 1986 to 2017.
","আর্নল্ড টেলিভিশন সংবাদ ব্যক্তিত্বের সাথে বিবাহবন্ধনে আবদ্ধ ছিলেন মারিয়া শ্রীবর ১৯৮6 থেকে ২০১ 2017 সাল পর্যন্ত রাষ্ট্রপতি জন এফ কেনেডি-এর ভাগ্নী।
"
"As daughter of the Cuban President Raul Castro, Mariela Castro is the niece of the late revolutionary leader Fidel.
","কিউবার প্রেসিডেন্ট রাউল কাস্ত্রোর মেয়ে ম্যারিয়েলা কাস্ত্রো একই সঙ্গে দেশটির বিপ্লবী নেতা ফিদেল কাস্ত্রোর ভাতিজি।
"
"Augusta Victoria was born at Dolzig Castle, the eldest daughter of Frederick VIII, future Duke of Schleswig-Holstein and Princess Adelheid of Hohenlohe-Langenburg, a niece of Queen Victoria.
","অগাস্টা ভিক্টোরিয়া ছিলেন ফ্রেডেরিক আঠারোর জ্যেষ্ঠ কন্যা, শেলসুইগ-হোলস্টাইনের ডিউক এবং হোয়েনলহে-ল্যাঙ্গেনবুর্গের রাজকুমারী অ্যাডেলহাইড।
"
"Bollywood actor Nawazuddin Siddiqui's niece has accused the actor's brother of sexually harassing her when she was a child.
","বলিউড অভিনেতা নওয়াজউদ্দিন সিদ্দিকীর ভাগ্নী অভিনেতা ভাইয়ের ছোটবেলায় যৌন হেনস্থার অভিযোগ করেছেন।
"
"Book on Trump written by his niece sold a million copies on the first day
","ট্রাম্পকে নিয়ে লেখা বই, প্রথম দিনেই ১০ লাখ কপি বিক্রি!
"
"Come in, niece, and sit down.
","এসো নাতি, বসো খাটে,
"
"Donald Trump's niece Mary sued the president and other family members on Thursday, accusing them of defrauding her out of a family inheritance worth tens of millions of dollars.
","বৃহস্পতিবার উত্তরাধিকার সূত্রে পাওয়া দশ মিলিয়ন ডলার থেকে বঞ্চিত করার অভিযোগে ট্রাম্প ও তার সহোদরদের বিরুদ্ধে মামলা করেন ম্যারি ট্রাম্প।
"
"Donald Trump's niece's book sells a million in one day
","ডোনাল্ড ট্রাম্পকে নিয়ে লেখা বই একদিনে বিক্রি ১০ লাখ কপি !
"
"Donald Trump's niece's book sells close to a million copies on first day
","ট্রাম্প ভাগ্নির স্মৃতিচারণ প্রথম দিনে প্রায় 1 মিলিয়ন কপি বিক্রি করে
"
"Donald Trump's niece's book sells nearly a million copies on day...
","ডোনাল্ড ট্রাম্পকে নিয়ে লেখা বই একদিনে বিক্রি ১০ লাখ কপি !
"
"Dragon is survived by his older brother, Doug, and two nieces, Kelly Arbout and Renee Henn.
","ড্রাগন তার বড় ভাই, ডগ ড্রাগন এবং দুই ভাইয়েরা, কেলি আরবাউট এবং রেনে হেন দ্বারা বেঁচে গেছেন।
"
"Emily Donelson - Emily Tennessee Donelson (June 1, 1807 ndash; December 19, 1836) was the niece of US President Andrew Jackson.
","এমিলি ডোনেলসন (ইংরেজিঃ Emily Donelson, (১লা জুন, ১৮০৭ - ১৯শে ডিসেম্বর,১৮৩৬) মার্কিন রাষ্ট্রপতি অ্যান্ড্রু জ্যাকসনের ভাগ্ননী।
"
"Emily Tennessee Donelson (June 1, 1807 - December 19, 1836) was the niece of President of the United States Andrew Jackson.
","এমিলি ডোনেলসন (ইংরেজিঃ Emily Donelson, (১লা জুন, ১৮০৭ - ১৯শে ডিসেম্বর,১৮৩৬) মার্কিন রাষ্ট্রপতি অ্যান্ড্রু জ্যাকসনের ভাগ্ননী।
"
"F. Yusupov is a handsome-aristocrat who was married to Nikolai II niece, Irina Alexandrovna.
","ইউসুপভ একটি সুদর্শন-অভিজাত যিনি নিকোলাই ২ এর ভাতিজা, ইরিনা আলেকজান্দ্রোভনা বিয়ে করেছিলেন।
"
"Farha Naaz is the niece of veteran actress Shabana Azmi.
","ফারহা নাজ হলেন প্রবীণ অভিনেত্রী শাবন আজমি এর ভাইঝি।
"
"Former President Donald Trump filed a $100 million lawsuit against his niece Mary Trump and the New York Times over
","যুক্তরাষ্ট্রের সাবেক প্রেসিডেন্ট ডনাল্ড ট্রাম্প নিজের ভাতিজি মেরি ট্রাম্প ও প্রখ্যাত সংবাদমাধ্যম নিউইয়র্ক টাইমসের বিরুদ্ধে ১০ কোটি ডলারের মামলা করেছেন।
"
"Former President Donald Trump filed a lawsuit against his niece Mary Trump and The New York Times.
","যুক্তরাষ্ট্রের সাবেক প্রেসিডেন্ট ডোনাল্ড ট্রাম্প ভাতিজি মেরি ট্রাম্প ও নিউইয়র্ক টাইমস পত্রিকার বিরুদ্ধে মামলা দায়ের করেছেন ।
"
"Former US President Donald Trump filed a $100 million lawsuit against his estranged niece Mary Trump and The New York Times.
","যুক্তরাষ্ট্রের সাবেক প্রেসিডেন্ট ডনাল্ড ট্রাম্প নিজের ভাতিজি মেরি ট্রাম্প ও প্রখ্যাত সংবাদমাধ্যম নিউইয়র্ক টাইমসের বিরুদ্ধে ১০ কোটি ডলারের মামলা করেছেন।
"
"Former US President Donald Trump has filed a $100 million lawsuit against his niece, Mary Trump and The New York Times.
","যুক্তরাষ্ট্রের সাবেক প্রেসিডেন্ট ডনাল্ড ট্রাম্প নিজের ভাতিজি মেরি ট্রাম্প ও প্রখ্যাত সংবাদমাধ্যম নিউইয়র্ক টাইমসের বিরুদ্ধে ১০ কোটি ডলারের মামলা করেছেন।
"
"Great gifts for your children, grandchildren, nieces and nephews.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"Gyllenhaal's niece, Ramona Sarsgaard, was born on October 3, 2006.
","ইলেনহলের ভাগ্নী র্যামোনা সার্সগার্ড অক্টোবর ৩, ২০০৬ সালে জন্মগ্রহণ করেছিল।
"
"Have you read his niece's book?
","তুমি চাচ্চুর বই পড়েছ?
"
"He has four brothers and two sisters and is uncle to sixteen nephews and five nieces.
","তার ২ চাচা ও ১ ফুফু এবং ৫ বোন ও ৩ ভাই।
"
"He is survived by his older brother, Doug Dragon, and two nieces, Kelly Arbout and Renee Henn.
","ড্রাগন তার বড় ভাই, ডগ ড্রাগন এবং দুই ভাইয়েরা, কেলি আরবাউট এবং রেনে হেন দ্বারা বেঁচে গেছেন।
"
"He is survived by his older brother, Doug Dragon, and two nieces, Kelly Arbout and Renee Henn....
","ড্রাগন তার বড় ভাই, ডগ ড্রাগন এবং দুই ভাইয়েরা, কেলি আরবাউট এবং রেনে হেন দ্বারা বেঁচে গেছেন।
"
"He said Marilyn was his niece, which was a lie.
","তিনি বলেন, মরিলিন তার ভাতিজা, যা ছিল একটি মিথ্যা।
"
"He studied in Oxford with Felix Yusupov (probably the wealthiest man in Russia and a husband to Princess Irina, Nicholas II's only niece) and reportedly developed a romantic relationship with him.
","তিনি Felix Yusupov (সম্ভবত রাশিয়ার সবচেয়ে ধনী ব্যক্তি এবং তার স্বামী, রাজকুমারী ইরিনা, নিকোলাস II এর একমাত্র ভাগ্নী) থেকে অক্সফোর্ডে পড়াশোনা করেন) ।
"
"Heck, those pages say it is so easy that my two-year-old niece can do it, don't they?
","হেক, ঐ পৃষ্ঠাগুলি বলছে এটা এত সহজ একটি দুই-বছর-বয়সী এটি করতে পারেন, না তারা?
"
"Her four nieces.
","তার চার রানি।
"
"Here is Felix Yusupov - Nikolai II niece husband Irina Alexandrovna, heir to one of the richest families in the empire.
","এখানে ফেলিক্স ইউসুপভ - নিকোলাই ২ নকেজ স্বামী আইরিনা আলেকজান্দোভনা, সাম্রাজ্যের মধ্যে সবচেয়ে ধনী পরিবারের উত্তরাধিকারী।
"
"His daughter and niece are battling for life in the hospital.
","হাসপাতালে মৃত্যুর সঙ্গে পাঞ্জা লড়ছেন তার বোন ও ছোট্ট ভাগ্নি।
"
"His ex-wife Maria Shriver is a niece of the late President John F. Kennedy
","তার প্রাক্তন স্ত্রী মারিয়া শ্রিভার হলেন আমেরিকার প্রাক্তন প্রেসিডেন্ট জন এফ কেনেডির আপন ভাতিজি।
"
"His ex-wife Maria Shriver is the niece of John F Kennedy.
","তার প্রাক্তন স্ত্রী মারিয়া শ্রিভার হলেন আমেরিকার প্রাক্তন প্রেসিডেন্ট জন এফ কেনেডির আপন ভাতিজি।
"
"His niece is Tehmina Daultana former Minister and Pakistan Muslim League (N) (PML-N) MNA (Pakistan National Assembly member).
","তাহমিনা দৌলতানা প্রাক্তন মন্ত্রী এবং পাকিস্তান মুসলিম লীগ (পিএমএল-এন) এমএনএ (পাকিস্তানের জাতীয় সংসদ সদস্য) তার ভাগ্নি।
"
"I am the prisoner's niece.
","আমি যে জেলের মেয়ে।
"
"I have a niece (3 years...
","আমারও একটি ভাগ্নি আছে... ৩ বছর।
"
"I have been there spending Christmas upon Christmas being the 'happy clown', the 'fun' uncle to my nephews and niece......
","আমি ক্রিসমাসকে 'হ্যাপি ক্লাউন' বলে ক্রিসমাস কাটিয়ে চলেছি, আমার ভাগ্নে ও ভাগ্নির 'মজা' চাচা ......।
"
"I have one daughter, three sisters and six nieces.
","আমার ১ স্ত্রী, ৩ কন্যা, ১মা ৫ ভাই ও ৩ বোন আছে।
"
"I have seven nieces, ranging from age 22 to 6 months.
","আমার বয়স 22 বছর বছরের ছয় থেকে সাত মাসে সর্দি লেগে থাকে।
"
"I'm thinking of my niece!
","আমার হবু বউ-এর কথা ভাবছি!
"
"I'm your niece, uncle.
","- আমি আপনার ভাগ্নী, মামা।
"
"In 2006, she began appearing on the series George Lopez playing Lopez's niece.
","Andersons. 2006 সালে সে হয়ে ওঠে একটি অংশ জর্জ লোপেজ এর সিরিজ.
"
"In 2017, Upadhyay's niece and several politicians have demanded a fresh probe in his murder.
","2017 সালে, উপাধ্যায়ের ভাগ্নী এবং একাধিক রাজনীতিবিদ তাঁর হত্যার নতুন তদন্তের দাবি করেছিলেন।
"
"In a new book, a niece of President Donald Trump applies her training in psychology to conclude that the president likely suffers from narcissism...
","একটি নতুন বইয়ে, রাষ্ট্রপতি ডোনাল্ড ট্রাম্পের এক ভাগ্নী মনোবিজ্ঞানের প্রশিক্ষণ প্রয়োগ করেছেন যাতে এই সিদ্ধান্তে পৌঁছায় যে রাষ্ট্রপতি সম্ভবত ভুগছেন . . .
"
"It looked as though he successfully managed to keep the marriage a secret but it came to light after rumours appeared on social media which said that he was going to marry his niece.
","দেখে মনে হচ্ছিল তিনি সফলভাবে এই বিবাহকে গোপন রাখতে পেরেছিলেন তবে সোশ্যাল মিডিয়ায় এমন গুজব প্রকাশ পাওয়ার পরে যা প্রকাশিত হয়েছিল যে সে তার ভাগ্নিকে বিয়ে করবে।
"
"It's my niece's wedding tomorrow.
","আগামী কাল আমার চাচাত বোনের বিয়ে।
"
"Jayalalitha's niece entered the politics
","জয়ললিতার ভাইঝি দীপা রাজনীতিতে আসছেন
"
"Julia's older brother Eric Roberts and niece Emma Roberts also are actors, although she became estranged from Eric for several years till 2004.
","জুলিয়ার বড় ভাই এরিক রবার্টস এবং ভাগ্নী এমা রবার্টসও অভিনেতা, যদিও ২০০ E সাল পর্যন্ত বেশ কয়েক বছর ধরে তিনি এরিক থেকে বিচ্ছিন্ন ছিলেন।
"
"Julia's older brother Eric Roberts and niece Emma Roberts are also actors, although she was estranged from Eric for several years until 2004.
","জুলিয়ার বড় ভাই এরিক রবার্টস এবং ভাগ্নী এমা রবার্টসও অভিনেতা, যদিও ২০০ E সাল পর্যন্ত বেশ কয়েক বছর ধরে তিনি এরিক থেকে বিচ্ছিন্ন ছিলেন।
"
"Julia's older brother Eric Roberts and niece Emma Roberts are both actresses, even though Julia was estranged from Eric for many years until 2004.
","জুলিয়ার বড় ভাই এরিক রবার্টস এবং ভাগ্নী এমা রবার্টসও অভিনেতা, যদিও ২০০ E সাল পর্যন্ত বেশ কয়েক বছর ধরে তিনি এরিক থেকে বিচ্ছিন্ন ছিলেন।
"
"Julia's older brother, Eric Roberts, and niece, Emma Roberts, are both actors as well.
","পরিবারের মধ্যে জুলিয়ার বড় ভাই এরিক আন্থনি রবার্টস আর বড় বোন লিসা রবার্টসও অভিনয়শিল্পী হয়েছেন ।
"
"Laila's niece is 17 years old and everyone around her has a phone.
","লায়লার ভাগ্নীর বয়স 17 বছর এবং তার চারপাশের প্রত্যেকেরই একটি ফোন রয়েছে।
"
"Lawrence Paul Anderson was arrested in February for the murder of his neighbour Andrea Lynn Blankenship, 41, as well as his uncle Leon Pye, 67, and his four-year-old niece Kaeos Yates.
","তার বিরুদ্ধে (৪১) বছর বয়সী প্রতিবেশী আন্দ্রে লিন ব্ল্যাঙ্কেনশিপ, তার চাচা লিওন পাই (৬৭) বছর বয়সী এবং পাইয়ের নাতনী, চার বছর বয়সী ভাগ্নি কেওস ইয়েটসকে হত্যা করার অভিযোগ আনা হয়েছে।
"
"Lawrence Paul Anderson, 42, is accused of murdering Andrea Lynn Blankenship, 41, as well as his own uncle Leon Pye, 67, and his four-year-old niece Kaeos Yates.
","তার বিরুদ্ধে (৪১) বছর বয়সী প্রতিবেশী আন্দ্রে লিন ব্ল্যাঙ্কেনশিপ, তার চাচা লিওন পাই (৬৭) বছর বয়সী এবং পাইয়ের নাতনী, চার বছর বয়সী ভাগ্নি কেওস ইয়েটসকে হত্যা করার অভিযোগ আনা হয়েছে।
"
