eng_Latn,ory_Orya
"Bollywood superstar Shahrukh Khan's cousin Noor Jahan is all set to contest elections in Pakistan.
","ବଲିଉଡ ସୁପରଷ୍ଟାର ଶାହରୁଖ ଖାନଙ୍କ ସମ୍ପର୍କୀୟ ଭଉଶୀ ନୁର୍ ଜେହାନ୍ ପାକିସ୍ତାନ ସାଧାରଣ ନିର୍ବାଚନରେ ପ୍ରତିଦ୍ୱନ୍ଦିତା କରୁଛନ୍ତି ।
"
"But the 6-year-old cousin hasn't been infected.
","ତେବେ ୧୧ ବର୍ଷୀୟ ନାତୁଣୀ ସଂକ୍ରମିତ ହୋଇ ନାହାନ୍ତି।
"
"But with the fear of Covid-19, the cousin had requested that they leave.
","କିନ୍ତୁ କୋଭିଡ୍-୧୯ ସଂକ୍ରମଣ ଭୟରେ ସଂପର୍କୀୟ ଜଣକ ସେମାନଙ୍କୁ ଚାଲିଯିବା ପାଇଁ କହିଲେ ।
"
"Eric's little cousin's friend.
","ଏରିକ ପୁଅର ସାଙ୍ଗ।
"
"Film producer Kiran Rao is the first cousin of his mother.
","ଚଳଚ୍ଚିତ୍ର ନିର୍ମାତା କିରଣ ରାଓ ତାଙ୍କ ସମ୍ପର୍କୀୟା ଭଉଣୀ ।
"
"For years, the Kauravas, led by Duryodhan, had victimized their cousins, the Pandavas, and governed over the kingdom of Hastinapur, which did not rightfully belong to them.
","ବର୍ଷ ବର୍ଷ ଧରି, ଦୁର୍ଯ୍ୟୋଧନଙ୍କ ନେତୃତ୍ୱରେ କୌରବମାନେ ପାଣ୍ଡବମାନଙ୍କ ଉପରେ ଅତ୍ୟାଚାର କରି ଆସୁଥିଲେ ଏବଂ ହସ୍ତିନାପୁରକୁ ଶାସନ କରୁଥିଲେ, ଯାହାକି ନ୍ୟାୟତଃ ତାଙ୍କର ନଥିଲା ।
"
"He is a second cousin of Prince Charles.
","ସେ ରାଜା ଦ୍ବିତୀୟ ଚାର୍ଲସଙ୍କ ବଂଶଧର ।
"
"He is not my cousin (male)
","ସେ ମୋର ସାଂଗ ନୁହେଁ (ପୁଲିଂଗ)
"
"He lives with his grandmother and two cousins.
","ସେ ତାଙ୍କ ଝିଅ ଓ ଦୁଇ ନାତି ନାତୁଣୀଙ୍କ ସହିତ ରହୁଛନ୍ତି।
"
"He loved my kids as much as he loved me and my cousins.
","ସେ ମତେ ଓ ମୋ ପରି ପିଲାମାନଙ୍କୁ ବହୁତ ଭଲ ପାଆନ୍ତି ।
"
"He was Aditi's cousin.
","ସେ ଅଦିତିଙ୍କ ନାତି ଥିଲେ ।
"
"Her brother and a cousin had died in World War 2.
","ତାଙ୍କ ସ୍ବାମୀ ଓ ବଡ଼ ପୁଅ ଦ୍ବିତୀୟ ବିଶ୍ବଯୁଦ୍ଧ ସମୟରେ ପ୍ରାଣ ହରାଇଥିଲେ।
"
"Her cousin has now a 4 year old daughter.
","ବନ୍ଧୁଗଣ ବର୍ତ୍ତମାନ ସମୟରେ ତାଙ୍କର ଗୋଟିଏ ୪ ବର୍ଷ ର ଝିଅ ମଧ୍ୟ ରହିଅଛି ।
"
"His cousin has now joined in as well.
","ଏବେ ଏବେ ତାଙ୍କ ନାତିମାନେ ବି ସାମିଲ୍ ହେଲେଣି।
"
"However, Jeetendra had quashed the allegations made by his cousin.
","ତେବେ ସମ୍ପର୍କୀୟ ଭଉଣୀଙ୍କ ଅଭିଯୋଗକୁ ସମ୍ପୂର୍ଣ୍ଣ ଭାବେ ଖଣ୍ଡନ କରିଛନ୍ତି ଜିତେନ୍ଦ୍ର।
"
"I am a cousin of his.
","ମୁଁ ତାଙ୍କ କୋଳସର ଏକ ପୁତ୍ରସଦବି।
"
"I went with my cousin and her daughter to see the film.
","ସେ ମୋ ସ୍ତ୍ରୀ ଆଉ ପୁଅକୁ ସାଥିରେ ନେଇ ସିନେମା ଦେଖିବାପାଇଁ ଚାଳିଗଲା।
"
"I'm the youngest in my family and one of the younger cousins.
","ଆମ ପରିବାରର ସବୁଠାରୁ ବରିଷ୍ଠ ହେଉଛଣି ମୋର ଜେଜେ ଏବଂ ସର୍ବ କନିଷ୍ଠ ସଦସ୍ୟ ହେଉଛି ମୁଁ ।
"
"I've never seen my cousin hard before.
","ଆଗରୁ ମୋ ବୋଉକୁ ମୁଁ ଖରାପ ନଜରରେ କେବେ ଦେଖି ନ ଥିଲି ।
"
"Islamabad, Pakistan: Bollywood superstar Shah Rukh Khan's cousin Noor Jehan is set to contest the upcoming general elections in Pakistan on...
","ପେଶାୱାର: ବଲିଉଡ୍ ତାରକା ଶାହରୁଖ ଖାଁଙ୍କ ସମ୍ପର୍କୀୟ ଭଉଣୀ ନୁର୍ ଜେହାନ୍ ପାକିସ୍ତାନ ସାଧାରଣ ନିର୍ବାଚନରେ ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତା କରୁଛନ୍ତି।
"
"It can happen to your mother, sister, brother, daughter, cousin, and/or neighbor.
","ଏହା ଆପଣଙ୍କର ମା', ଭଉଣୀ ,ସ୍ତ୍ରୀ,କନ୍ୟା, ବନ୍ଧୁ ସହକର୍ମୀ କିମ୍ବା ପଡୋଶୀ କାହା ସାଙ୍ଗରେ ମଧ୍ୟ ଘଟି ପାରେ ।
"
"Malan's younger sister (who is married and lives in Pune) and female cousins were also supportive.
","ମାଲନଙ୍କ ସାନ ଭଉଣୀ (ବିବାହ କରି ପୁନେରେ ରହୁଛନ୍ତି) ଏବଂ ସଂପର୍କୀୟା ଭଉଣୀମାନେ ବି ତାଙ୍କ ସପକ୍ଷରେ ଅଛନ୍ତି ।
"
"Meera Chopra is actor Priyanka Chopra's cousin.
","ମୀରା ଚୋପ୍ରା ହେଉଛନ୍ତି ଅଭିନେତ୍ରୀ ପ୍ରିୟଙ୍କା ଚୋପ୍ରାଙ୍କ ସମ୍ପର୍କୀୟ ଭଉଣୀ।
"
"Meera is the cousin sister of actress Priyanka Chopra.
","ମୀରା ଚୋପ୍ରା ହେଉଛନ୍ତି ଅଭିନେତ୍ରୀ ପ୍ରିୟଙ୍କା ଚୋପ୍ରାଙ୍କ ସମ୍ପର୍କୀୟ ଭଉଣୀ।
"
"Mika had reportedly performed recently at the wedding of former Pakistan President Pervez Musharraf's cousin's daughter.
","ସୂଚନା ଅନୁସାରେ, ମିକା ସିଂ କିଛି ଦିନ ପୂର୍ବରୁ କରାଚିରେ ପାକିସ୍ତାନର ପୂର୍ବତନ ରାଷ୍ଟ୍ରପତି ପରଭେଜ ମୁସାରଫଙ୍କ ସମ୍ପର୍କୀୟ ପରିବାରର ଏକ ବିବାହ ଉତ୍ସବରେ ସଙ୍ଗୀତ ପରିବେଷଣ କରିଥିଲେ ।
"
"My cousin is 26 years old.
","ମୋ ମାଡାମଙ୍କ ବୟସ ୨୬ବର୍ଷ ।
"
"My cousin is eight years older than me.
","ମୋ' ସ୍ୱାମୀ ମୋ' ଠାରୁ ଆଠ ବର୍ଷ ବଡ଼ ।
"
"My cousin was dead by then.
","ମୋ ନନାଙ୍କ ଦେହାନ୍ତ ହେଲାଣି ସେତେବେଳକୁ।
"
"My cousin's husband...
","ସ୍ବାମୀଙ୍କ ପରକୀୟା...
"
"On the other hand, Divya's cousin Soumya wrote on her Facebook account - 'I have to tell with great sadness that my cousin Divya Chouksey has died today at a very young age due to cancer.'
","ସେହିଭଳି ଦିବ୍ୟାଙ୍କ ସମ୍ପର୍କୀୟ ଭଉଣୀ ସୋମ୍ୟା ନିଜର ଫେସବୁକ୍ ପେଜ୍ ରେ ଲେଖିଛନ୍ତି, 'ମତେ ଅତ୍ୟନ୍ତ ଦୁଃଖର ସହ ଜଣାଇବାକୁ ପଡୁଛି କି, ମୋ ଭଉଣୀ ଦିବ୍ୟା ଚୌକସେ୍ଙ୍କର କ୍ୟାନସର କାରଣରୁ ଖୁବ୍ କମ ବୟସରେ ଦେହାନ୍ତ ହୋଇଛି।
"
"One of the female's was his cousin, police said.
","""ସେହି ମହିଳା ତାଙ୍କର ଜଣେ ସମ୍ପର୍କୀୟା ଥିଲେ,"""" କହିଛନ୍ତି ଜଣେ ପୋଲିସ ଅଫିସର ।""
"
"Pakistani Sufi singer Sanam Marvi is married to her cousin Hamid Ali Khan.
","ପାକିସ୍ତାନୀ ଲୋକଗୀତ ଗାୟିକା ସନମାରବୀ ମଧ୍ୟ ତାଙ୍କ ଦାଦାପୁଅ ବାଇ ହମିଦ ଅଲ୍ଲୀ ଖାନଙ୍କୁ ବିବାହ କରିଥିଲେ।
"
"Parineeti Chopra, Meera Chopra and Mannara Chopra are her cousins.
","ଅଭିନେତ୍ରୀ ପ୍ରିୟଙ୍କା ଚୋପ୍ରା, ମୀରା ଚୋପ୍ରା ଏବଂ ମନାରା ଚୋପ୍ରା ତାଙ୍କର ସମ୍ପର୍କୀୟ ଭଉଣୀ ।
"
"Ritika Phogat, cousin sister of Babita Phogat, has reportedly committed suicide after losing the final match of a wrestling competition.
","ବବିତା ଫୋଗାଟଙ୍କ ଭଉଣୀ ରିତିକା ଫୋଗାଟଙ୍କ ମୃତ୍ୟୁ, ମ୍ୟାଚ୍ ହାରିଯିବା ଦୁଃଖରେ ଆତ୍ମହତ୍ୟା କରିଥିବା ସନ୍ଦେହ
"
"Saeed Anwar also married one of his cousins Lubna in March 1996.
","ସଇଦ୍ ଅନୱର୍ ମଧ୍ୟ ନିଜ ସମ୍ପର୍କୀୟ ଭଉଣୀ ଲୁବନାଙ୍କୁ 1996 ମସିହାରେ ବିବାହ କରିଥିଲେ ।
"
"Shah Rukh Khan's cousin to contest election in Pakistan
","ପାକିସ୍ତାନରେ ନିର୍ବାଚନ ଲଢିବେ ଶାହାରୁଖ୍ ଖାନ୍ଙ୍କ ଭଉଣୀ
"
"Shah Rukh Khan's cousin to contest elections in Pakistan
","ପାକିସ୍ତାନରେ ନିର୍ବାଚନ ଲଢିବେ ସୁପରଷ୍ଟାର ଶାହାରୁଖ୍ ଖାନ୍ଙ୍କ ଭଉଣୀ
"
"She also refused to go to his parent's home and said till Mohsin becomes a Hindu, she would wait for him at her cousin's place.
","ସେହିପରି ଯୁବତୀ ଜଣକ ନିଜ ପିତାମାତାଙ୍କ ଘରୁକୁ ଯିବାକୁ ମନା କରି ଦେବା ସହିତ ମହସୀନ ହିନ୍ଦୁ ଧର୍ମ ଗ୍ରହଣ କଲା ପର୍ଯ୍ୟନ୍ତ ସେ ତାଙ୍କୁ ତାଙ୍କର ଜଣେ ସମ୍ପର୍କୀୟଙ୍କ ଘରେ ଅପେକ୍ଷା କରିବେ ବୋଲି କହିଛନ୍ତି।
"
"She is a cousin of scientist Bruce Banner.
","ସେ ବୈଜ୍ଞାନିକ ବ୍ରୁସ୍ ବ୍ୟାନରର ସମ୍ପର୍କୀୟ ଭଉଣୀ।
"
"She was a cousin of Spain's King Felipe VI.
","ସେ ସ୍ପେନ୍ ରାଜା ଫେଲିପ୍ ଷଷ୍ଠଙ୍କର ସମ୍ପର୍କୀୟ ।
"
"She'll be my cousin.
","ସେ ମୋର ପିଉସୀ ହିସାବ ହେବେ ।
"
"Sushant's cousin and former Bharatiya Janata Party legislator in Bihar Neeraj Kumar Singh later said the FIR was filed after the family overcame the shock of the actor's sudden death.
","ବିହାରର ଛତ୍ରପୁରର ସୁଶାନ୍ତଙ୍କ ସମ୍ପର୍କୀୟ ତଥା ପୂର୍ବତନ ବିଜେପି ବିଧାୟକ ନୀରଜ କୁମାର ସିଂ କହିଛନ୍ତି ଯେ ଯୁବ ଅଭିନେତାଙ୍କ ଅକାଳ ତଥା ହଠାତ୍ ଦେହାନ୍ତ ହେବା ଘଟଣା ପରିବାର ମନୋବଳ କୁ ଭାଙ୍ଗି ଦେଇଥିଲା, ସେଥିରୁ ଟିକେ ମୁକୁଳିବା ପରେ ଏବଂ ବିଭିନ୍ନ ଜିନିଷ ଜାଣିବା ପରେ ଏଫ୍ଆଇଆର୍ ଦାଖଲ କରାଯାଇଛି।
"
"The beautiful girl Parineeti is a cousin sister of actress Priyanka Chopra.
","ପରିଣୀତି ହେଉଛନ୍ତି ଅଭିନେତ୍ରୀ ପ୍ରିୟଙ୍କା ଚୋପ୍ରାଙ୍କ ସମ୍ପର୍କୀୟ ଭଉଣୀ ।
"
"The children, parents, grandparents and cousins all
","ଶିଶୁର ମା', ବାପା, ଭଉଣୀ ଓ ଜେଜେବାପା ସମସ୍ତେ
"
"The driver of the truck is a cousin of terrorist Adil Dar who carried out the Pulwama attack and was the main handler of the terrorists.
","ଟ୍ରକର ଡ୍ରାଇଭର ଆତଙ୍କବାଦୀ ଆଦିଲ ଦାରଙ୍କ ସମ୍ପର୍କୀୟ ଯିଏ ପୁଲୱାମା ଆକ୍ରମଣ କରିଥିଲେ ଏବଂ ଆତଙ୍କବାଦୀଙ୍କ ମୁଖ୍ୟ ନିୟନ୍ତ୍ରକ ଥିଲେ।
"
"The incident took place on Monday when the minor girl had gone with her family members to attend her cousin's engagement ceremony
","ସୋମବାର ଦିନ ପୀଡ଼ିତା ନାବାଳିକା ନିଜ ପରିବାର ସହ ସଂପର୍କୀୟା ଭଉଣୀର ନିର୍ବନ୍ଧ ଉତ୍ସବରେ ଯୋଗ ଦେବାକୁ ଯାଉଥିବା ବେଳେ ଏହି ଘଟଣା ଘଟିିଥିଲା।
"
"The marriage of this couple has been agreed between the families of Pakistan cricket team captain Babar Azam and his cousin.
","ଏହି ଦମ୍ପତିଙ୍କ ବିବାହ ପାକିସ୍ତାନୀ କ୍ରିକେଟ୍ ଦଳର ଅଧିନାୟକ ବାବର ଆଜମ ଏବଂ ତାଙ୍କ ସମ୍ପର୍କୀୟଙ୍କ ମଧ୍ୟରେ ସହମତି ପ୍ରକାଶ ପାଇଛି।
"
"There are many players of Pakistan who had married their own cousin sister.
","ପାକିସ୍ତାନର ଅନେକ କ୍ରିକେଟର୍ ନିଜ ସମ୍ପର୍କିୟ ଭଉଣୀଙ୍କୁ ବିବାହ କରିଛନ୍ତି।
"
"They were cousins of ours.
","ସେମାନେ ଥିଲେ ଆମ ଲାସ୍ତାଲ କନ୍ତା ।
"
"This is a photo of my son and his younger cousin.
","ଏହି ଫଟୋ ଜଣେ ବାପା ଆଉ ତାଙ୍କ କୁନି ପୁଅର ।
"
"This is my cousin daughter.
","ଇଏ ତ ମୋ ପିଉସି ଝିଅ ।
"
"This story is about me and my cousin sister.
","ଏହି ଲେଖାଟି ମୋର ଆଉ ମୋ ସାଙ୍ଗ ର ଭଉଣୀ ବିଷୟରେ।
"
"You were my Dad's favorite cousin!
","ତୁମଏ ଥିଲା ମୋ ବାପା ଙ୍କ ର ଆତି ପ୍ରିୟ ର ମଣିଷ.
"
"Zafar Masud's mother is directly related to Kamal Amrohi; his maternal grandfather Taqi Amrohi, who was a journalist in Pakistan, was the Pakeezah filmmaker's cousin.
","ଜାଫର ମାସୁଦଙ୍କ ମା କମଲ ଆମ୍ରୋହିଙ୍କ ସହ ସିଧାସଳଖ ଜଡିତ ଥିବାରୁ ତାଙ୍କ ମାତୃ ଦାଦା ଟାକି ଆମ୍ରୋହି ପାକିସ୍ତାନରେ ସାମ୍ବାଦିକ ଥିଲେ, ସେ 'ପାକିଜା' ଚଳଚ୍ଚିତ୍ର ନିର୍ମାତାଙ୍କ ସମ୍ପର୍କୀୟ ଥିଲେ।
"
"cousin's, or older sister's?
","ସାନ ଭଉଣୀର ନା ବଡ ଭଉଣୀର ?
"
"in 2012 at the age of 16, Mosaddek married his cousin, Sharmin Samira.
","୨୦୧୨ରେ ମାତ୍ର ୧୬ ବର୍ଷ ବୟସରେ, ମୋସାଡେକ ହୁସେନ୍ ତାଙ୍କ ସମ୍ପର୍କୀୟ ଶର୍ମିନ୍ ସମୀରାଙ୍କୁ ବିବାହ କରିଥିଲେ ।
"
"The police have arrested the accused and the girl's cousin brother.
","ଅଭିଯୁକ୍ତ ଝିଅ ଏବଂ ପ୍ରେମିକକୁ ପୋଲିସ ଗିରଫ କରିଛି ।
"
"In the epic Mahabharat, Shishupal's mother requested her nephew, Lord Krishna, to pardon his cousin Shishupal for his 100 offences.
","ମହାଭାରତରେ ଶିଶୁପାଳଙ୍କ ମାଆ ତାଙ୍କ ଭଣଜା ଭଗବାନ କୃଷ୍ଣଙ୍କୁ ପୁଅର୧୦୦ଟି ଭୁଲକୁ କ୍ଷମା କରିଦେବା ପାଇଁ କହିଥିଲେ।
"
"Actress Ananya Panday's cousin Alanna Panday is a social media sensation.
","ଅନନ୍ୟା ପାଣ୍ଡେଙ୍କ ସମ୍ପର୍କୀୟା ଭଉଣୀ ଆଲାନା ପାଣ୍ଡେ ଜଣେ ସୋସିଆଲ୍ ମିଡି଼ଆ ପ୍ରଭାବକାରୀ (ଇନଫ୍ଲୁଏନ୍ସର୍) ।
"
"He’s my cousin.
","ସେ ମୋର ଚୂମ୍ବିଲା ଅଧର।
"
"Alia Bhatt was looking very beautiful at the wedding reception of her cousin.
","ଆଲିଆ ଭଟ୍ଟ ତାଙ୍କ ଜନ୍ମଦିନ ଉତ୍ସବରେ ବହୁତ ସୁନ୍ଦର ପୋଷାକରେ ନଜର ଆସିଛନ୍ତି ।
"
"Aryan's cousin Arjun also shared a photo with Aryan on his social media handle.
","ଶିଶୁ ସହ ଏରିନ ତାଙ୍କ ବୟଫ୍ରେଣ୍ଡଙ୍କ ଫଟୋ ବି ସୋସାଲ ମିଡିଆରେ ସେୟାର କରିଛନ୍ତି।
"
"Actors Zayed Khan, Hrithik Roshan's ex-wife Sussanne Khan and jewellery designer Farah Khan Ali are Fardeen's cousins.
","ଫରାହ ଖାନ ଅଲି ହେଉଛନ୍ତି ଅଭିନେତା ହ୍ରିତିକ ରୋଶନଙ୍କ ପୂର୍ବତନ ପତ୍ନୀ ସୁଜୈନ ଖାନଙ୍କ ଭଉଣୀ ଏବଂ ଅଭିନେତା ସଞ୍ଜୟ ଖାନଙ୍କ ଝିଅ ।
"
"Shraddha Kapoor’s cousin and actress Padmini Kolhapure’s son, Priyaank Sharma recently got hitched to producer Karim Morani’s daughter, Shaza Morani.
","ନିକଟରେ ସେ ତାଙ୍କ କଜିନ ପଦ୍ମିନି କୋହ୍ଲାପୁରେଙ୍କ ପୁଅ ପ୍ରିୟାଙ୍କ ଶର୍ମା ଓ ପ୍ରଯୋଜକ କରିମ ମୋରନିଙ୍କ ଝିଅ ସିଜା ମୋରିନଙ୍କ ବିବାହରେ ଯୋଗ ଦେଇଥିଲେ ।
"
"His grandparents, wife, children and cousins are in the house.
","ଘରେ ତାଙ୍କର ବୁଢ଼ା ବାପା, ବୁଢୀ ମା’, ପତ୍ନୀ ଓ ପିଲା ତିନେଟି ।
"
"Are you my cousin?
","ତୁ ନା ମୋର ବେଷ୍ଟଫ୍ରେଣ୍ଡ?
"
"But, she insists, “I did some little small work in the freedom struggle along with [my cousin] Bapu Lad.
","କିନ୍ତୁ ସେ କହନ୍ତି, “ମୁଁ ବାପୁ ଲାଡ(ମୋ ସମ୍ପର୍କୀୟ)ଙ୍କ ସହ ମିଶି ସ୍ୱାଧୀନତା ସଂଗ୍ରାମ ପାଇଁ ଅଳ୍ପ କିଛି କାମ କରିଥିଲି।
"
"But her cousin is missing.
","ଏହାରି ଭିତରେ କିନ୍ତୁ ତାଙ୍କ ଭିଣେଇ ନିଖୋଜ ଅଛନ୍ତି।
"
"A cousin brother of the deceased has submitted a complaint in this regard to the police.
","ମୃତକଙ୍କ ସମ୍ପର୍କୀୟ ଏହା ଘଟଣାରେ ପୋଲିସ ନିକଟରେ ଅଭିଯୋଗ କରିଥିଲେ।
"
"Police are looking for two others, the accused’s cousin and a friend, who were also identified by the woman as his accomplices.
","ପୋଲିସ ଅନ୍ୟ ଦୁଇଜଣଙ୍କୁ ଖୋଜୁଛି, ଅଭିଯୁକ୍ତଙ୍କ ସମ୍ପର୍କୀୟ ତଥା ଜଣେ ବନ୍ଧୁ, ଯିଏକି ମହିଳାଙ୍କୁ ତାଙ୍କର ସହଯୋଗୀ ବୋଲି ମଧ୍ୟ ଚିହ୍ନଟ କରିଛି।
"
"Teenager arrested for raping cousin
","ନାବାଳିକା ସମ୍ପର୍କୀୟା ଭଉଣୀଙ୍କୁ ଦୁଷ୍କର୍ମ କରି ଯୁବକ ଗିରଫ
"
"Both films were produced by his uncle Nassir Hussain and directed by his cousin Mansoor Khan.
","ଏହି ଫିଲ୍ମକୁ ଅମିରଙ୍କ ଦାଦା ନାସିର ହୁସୈନ ପ୍ରଡ୍ୟୁସ କରିଥିବା ବେଳେ କାଜିନ ମଂସୁର ଖାନ ଏହାର ନିର୍ଦ୍ଦେଶକ ଥିଲେ ।
"
"Besides Priyankas family including cousin Parineeti Chopra and Mannara Chopra, Nicks family had also flown to Jodhpur for the wedding.
","ଏହି ବିବାହ ଉତ୍ସବରେ ଯୋଗ ଦେବା ପାଇଁ ପ୍ରିୟଙ୍କା ଚୋପ୍ରା ଏବଂ ତାଙ୍କ ସମ୍ପର୍କୀୟ ପାରିନୀତି ଚୋପ୍ରାଙ୍କ ସମେତ ପୁରା ପରିବାର ମୁମ୍ବାଇ ଆସିଥିଲେ।
"
"He is my wife’s cousin.
","ସେ ମୋର ବନ୍ଧୁଙ୍କ ପତ୍ନୀ।
"
"Along with him were his brother and a cousin.
","ସାଙ୍ଗରେ ତାଙ୍କ ସ୍ବାମୀ ଏବଂ ଦିଅର ମଧ୍ୟ ଥିଲେ ।
"
"Before her acting debut, Shanaya has worked as an assistant director on cousin Janhvi Kapoor's Gunjan Saxena: The Kargil Girl.
","ଡେବ୍ୟୁ କରିବା ପୂର୍ବରୁ ଶନାୟା କପୁର ଧର୍ମା ପ୍ରଡକ୍ସନ ବ୍ୟାନରରେ ନିର୍ମିତ ଫିଲ୍ମ ‘ଗୁଞ୍ଜନ ସକ୍ସେନା-ଦ କାରଗିଲ ଗାର୍ଲ’ରେ ଆସିଷ୍ଟାଣ୍ଟ ଡ଼ାଇରେକ୍ଟର ଭାବେ କାମ କରିସାରିଛନ୍ତି।
"
"The entire family, including Priyanka and her cousin Parineeti Chopra, had come down to Mumbai for the celebrations.
","ଏହି ବିବାହ ଉତ୍ସବରେ ଯୋଗ ଦେବା ପାଇଁ ପ୍ରିୟଙ୍କା ଚୋପ୍ରା ଏବଂ ତାଙ୍କ ସମ୍ପର୍କୀୟ ପାରିନୀତି ଚୋପ୍ରାଙ୍କ ସମେତ ପୁରା ପରିବାର ମୁମ୍ବାଇ ଆସିଥିଲେ।
"
"And she's my cousin.
","ସେ ହେଉଛି ମୋର ଭଉଣୀ ।
"
