eng_Latn,ory_Orya
"In July 2020, her niece Mary Trump (daughter of brother Fred) released a scathing tell-all book about the Trump family titled Too Much And Never Enough: How My Family Created the World's Most Dangerous Man.
","ଜୁନ୍ ମାସରେ ରୋବର୍ଟ ଟ୍ରମ୍ପ ତାଙ୍କ ଭାଇଙ୍କ ଝିଅ ଫ୍ରେଡ ଟ୍ରମ୍ପ ଜୁନିୟର (Fred Trump Jr) ଏକ ପୁସ୍ତକ (Too Much and Never Enough: How My Family Created the World's Most Dangerous man) ପ୍ରକାଶନ ବନ୍ଦ କରିବାକୁ ଏକ ପ୍ରତିବନ୍ଧକ ଆଦେଶ ଆଣିଥିଲେ ।
"
"Kate Middleton is looking forward to meeting her new niece.
","ଉଭୟଙ୍କ ନବ ଜନ୍ମିତ ଝିଅକୁ ଦେଖା କରିବାକୁ ଉତ୍ସୁକତାର ସହ ଚାହିଁବସିଛନ୍ତି କେଟ୍ ମିଡିଲଟନ୍ ।
"
"Man who died impregnates his ex wife's New husband's niece
","ପୁରୁଣା ପତ୍ନୀଙ୍କୁ ଅନାଇ ତାଙ୍କ ନୂଆ ସ୍ୱାମୀଙ୍କ ଠାରୁ ମାଡ଼ ଖାଇଥିବା ବ୍ୟକ୍ତି
"
"Medha was the niece of former Prime Minister IK Gujral and the first wife of famous director Shekhar Kapur.
","ସୁଚାଇଦେଉଛୁ ଯେ ମେଧା ଗୁଜରାଲ ପ୍ରସିଦ୍ଧ ଚଳଚ୍ଚିତ୍ର ନିର୍ଦ୍ଦେଶକ ଶେଖର କପୂରଙ୍କ ପ୍ରଥମ ସ୍ତ୍ରୀ ଓ ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀଙ୍କ ଭାଣଜୀ ଥିଲେ ।
"
"Now I asked my niece - how do you feel?
","ମୋ ଗର୍ଲଫ୍ରେଣ୍ଡ କୁ ପଚାରିଲି, ଏବେ କେମିତି ଲାଗୁଛି ?
"
"She subsequently discovered her niece's dead body and informed the police.
","ପରେ ମୃତ ମହିଳାଙ୍କ ଶ୍ବଶୁର ମୃତଦେହ ଚିହ୍ନଟ କରି ପୁଲିସକୁ ଖବର ଦେଇଥିଲେ।
"
"Tabu is the niece of the renowned film actress Shabana Azmi.
","ପ୍ରସିଦ୍ଧ ଅଭିନେତ୍ରୀ ତବୁ ନିଜ ସମୟର ଲୋକପ୍ରିୟ ଅଭିନେତ୍ରୀ ଶବାନା ଆଜମୀଙ୍କ ଭାଣୀଜି ଅଟନ୍ତି ।
"
"The South Indian actress Priyamani is her niece.
","[୬] ଦକ୍ଷିଣ ଭାରତୀୟ ଅଭିନେତ୍ରୀ ପ୍ରିୟାମଣି ତାଙ୍କର ଜଣେ ସମ୍ପର୍କୀୟା ଭଉଣୀ ।
"
"The South-Indian actress Priyamani is her niece.
","[୬] ଦକ୍ଷିଣ ଭାରତୀୟ ଅଭିନେତ୍ରୀ ପ୍ରିୟାମଣି ତାଙ୍କର ଜଣେ ସମ୍ପର୍କୀୟା ଭଉଣୀ ।
"
"niece in the United States.
","ନାତୁଣୀ ଆମେରିକାରେ ।
"
"But it's only a niece.
","ହେଲେ ସେ କେବଳ ମାତ୍ର ଜଣେ ଧାବିକା।
"
"It's my little niece.
","ମୋର ଏ ସାନ ଗ୍ବରିଭାଗ॥
"
"Aamir Khan along with his wife Kiran Rao, son Azad Rao Khan and daughter Ira Khan attended his niece Zayn Marie Khan's wedding with Abhishek Saha in Alibaug over the weekend.
","ସେଠାକୁ ଅମୀର ଖାନ୍‌ ତାଙ୍କ ପତ୍ନୀ କିରଣ ରାଓ, ପୁଅ ଆଜାଦ୍‌ ରାଓ ଖାନ୍‌ ଓ ଝିଅ ଇରା ଖାନ୍‌ଙ୍କ ଯାଇଥିଲେ। ସେଠାରେ ଝିଅ ଇରା ଖାନ୍‌ ବାପା ଅମୀର ଖାନଙ୍କ ସହିତ ଅଧିକ ସମୟ ବିତାଇଥିଲେ। ସେହି ସମୟରେ ଏକ ଫଟୋ ଏବେ ସୋସିଆଲ ମିଡିଆରେ ଭାଇରାଲ୍‌ ହେବାରେ ଲାଗିଛି।
"
"Among the dead, he said, were his wife, two children and one of his nieces.
","ମୃତକଙ୍କ ମଧ୍ୟରେ ଅଛନ୍ତି ସ୍ୱାମୀ, ସ୍ତ୍ରୀ ଓ ସେମାନଙ୍କ ଦୁଇ ନିରୀହ ପିଲା ।
"
"A few days ago, Sara Ali Khan's aunty Saba Ali Khan shared a throwback picture on her Instagram profile which features a childhood photograph of her niece Sara Ali Khan and actress Amrita Singh.
","ମୁମ୍ବାଇ : କିଛି ଦିନ ତଳେ ବଲିଉଡ୍‌ ଅଭିନେତା ସଲମାନ ଖାନ୍‌ଙ୍କ ଭଉଣୀ ଅର୍ପିତା ଅଭିନେତ୍ରୀ କ୍ୟାଟ୍ରନା କୈଫ୍‌ ଏବଂ ନିଜ ମା’ ସଲମା ଖାନ୍‌ଙ୍କ ଏକ ଫଟୋ ସୋସିଆଲ ମିଡ଼ିଆରେ ପୋଷ୍ଟ କରିଥିଲେ ।
"
"They included her own children's book Superheroes Are Everywhere, her memoir The Truths We Hold: An American Journey, a children's book by her niece Meena Harris called Kamala and Maya's Big Idea and Nikki Grimes' illustrated Kamala Harris: Rooted in Justice.
","ଏହି ପୁସ୍ତକରେ ହ୍ୟାରିସ୍ ଦ୍ବାରା ଲେଖାଯାଇଥିବା ଛୋଟପିଲାଙ୍କର ପୁସ୍ତକ ସୁପରହୀରୋସ୍ ଆର୍ ଏଭ୍ରିହ୍ବେୟାର,ତାଙ୍କ ସଂସ୍ମରଣ,ଦ ଟୃଥସ୍ ଓ୍ବି ହୋଲ୍ଡ : ଏନ ଆମେରିକାନ୍ ଜର୍ଣ୍ଣି,ତାଙ୍କ ସମ୍ପର୍କରେ ମୀନା ହ୍ୟାରିସଙ୍କ ଦ୍ବାରା ଲେଖାଯାଇଥିବା ଛୋଟ ପିଲାଙ୍କ ପୁସ୍ତକ କମଲା ଏଣ୍ଡ ମାୟା ବିଗ୍ ଆଇଡିଆ ଏବଂ ନିକ୍କି ଗ୍ରିମ୍ସଙ୍କ ପୁସ୍ତକ କମଲା ହ୍ୟାରିସ୍ : ରୁଟେଡ ଇନ୍ ଜଷ୍ଟିସ୍ ସାମିଲ ରହିଛି।
"
"Actor Neetu Kapoor posted a picture of herself with niece Kareena, along with actor son Ranbir and daughter, fashion designer Riddhima Kapoor Sahani.
","ଝିଅ ରିଦ୍ଧିମା କପୁର ସାହନୀ ଓ ପୁଅ ଅଭିନେତା ରଣବୀର କପୁରଙ୍କ ପିଲାଦିନର ଫଟୋକୁ ସେୟାର କରିଛନ୍ତି ।
"
"According to details, the niece of Deepak had reportedly asked him to buy a packet of milk from a nearby shop, but suddenly he screamed and fell unconscious on the floor.
","ଖବର ଅନୁଯାୟୀ, ଦୀପକଙ୍କ ଭଣଜା ତାଙ୍କୁ ନିକଟସ୍ଥ ଦୋକାନରୁ କ୍ଷୀରର ଏକ ପ୍ୟାକେଟ୍ ଆଣିବାକୁ କହିଥିଲେ, ହଠାତ୍ ସେ ଚିତ୍କାର କରି ତଳେ ପଡ଼ିଯାଇଥିଲେ।
"
"Princess Mako is the eldest daughter of the Crown Prince Akishino and the niece of Emperor Naruhito.
","ମାକୋ ହେଉଛନ୍ତି ସମ୍ରାଟ ଆକିହିତଙ୍କ ବଡ଼ ନାତୁଣୀ, ଜାପାନର ବର୍ତ୍ତମାନର ରାଜା ନରୁହିତାଙ୍କ ଭାଇ ସମ୍ରାଟ ଆକିସିନଙ୍କ ବଡ଼ ଝିଅ ।
"
"A mother, a father, brothers and sisters, nieces and nephews.
","ଘରେ ବାପା, ମାଆ, ଭାଇ ଭଉଣୀ ଓ ବୋହୂ ଅଛନ୍ତି।
"
"My niece refuted Mr. Tharoor on Twitter but what was the urgency in announcing without confirmation? ” she said.
","ମୋର ଭଣଜା ଟୁଇଟରରେ ଶଶୀ ଥରୁରଙ୍କ ଦାବିକୁ ଖଣ୍ଡନ କରିଛନ୍ତି କିନ୍ତୁ ବିନା ନିଶ୍ଚିତ କରି ଏହି ଖବର ଘୋଷଣା କରିବାର ତତ୍ପରତା କ’ଣ?
"
