eng_Latn,ory_Orya
"Hafiz Saeed and his two aides - Zafar Iqbal and Yahya Mujahid - have been sentenced to 10-and-a-half years each, while his brother-in-law Abdul Rehman Makki has been sentenced to six-month imprisonment.
","ହାଫିଜ ଓ ତା'ର ଦୁଇ ସହଯୋଗୀ ଜାଫର ଇକବାଲ ଓ ୟାହା ମୁହାଜିଦକୁ ସାଢ଼େ ୧୦ ବର୍ଷ ଲେଖାଏ ଜେଲଦଣ୍ଡ ମିଳିଥିବା ବେଳେ ତା'ର ଭିଣୋଇ ଅବଦୁଲ ରେହମାନ ମକ୍କିକୁ ୬ ମାସ ପାଇଁ ଜେଲଦଣ୍ଡ ମିଳିଛି।
"
"He alleged that he was promised Salman Khan would inaugurate the store, but instead his brother-in-law Aayush Sharma came.
","ଶୋରୁମର ଉଦ୍ଘାଟନ ପାଇଁ ସଲମାନ ଖାନ ଆସିବେ ବୋଲି ତାଙ୍କୁ କୁହାଯାଇଥିଲା କିନ୍ତୁ ତାଙ୍କ ଭିଣୋଇ ଆୟୁଷ ଶର୍ମା ଆସିଲେ।
"
"He is the brother-in-law of Masood Azhar.
","ସେ ହେଉଛି ମାସୁଦ ଆଝାରର ଶାଳକ।
"
"In 1986, Ghulam Mohammad Shah snatched the power from his brother-in-law Farooq Abdullah and became the chief minister of Jammu and Kashmir.
","1986ରେ ଗୁଲାମ ମୋହମ୍ମଦ ଶାହ ନିଜ ଭିଣୋଇ ଫାରୁଖ ଅବ୍ଦୁଲାଙ୍କ ଠାରୁ ସତ୍ତା ଛଡାଇନେଲେ ଏବଂ ଜାମ୍ମୁ-କାଶ୍ମୀରର ମୁଖ୍ୟମନ୍ତ୍ରୀ ବନିଗଲେ ।
"
"In 1986, Ghulam Mohammad Shah wrested power from his brother-in-law Farooq Abdullah and became the chief minister.
","1986ରେ ଗୁଲାମ ମୋହମ୍ମଦ ଶାହ ନିଜ ଭିଣୋଇ ଫାରୁଖ ଅବ୍ଦୁଲାଙ୍କ ଠାରୁ ସତ୍ତା ଛଡାଇନେଲେ ଏବଂ ଜାମ୍ମୁ-କାଶ୍ମୀରର ମୁଖ୍ୟମନ୍ତ୍ରୀ ବନିଗଲେ ।
"
"In a recent interview with an entertainment portal, Raj Kundra alleged that his ex-wife Kavita was having an extra-marital affair with his former brother-in-law.
","ନିକଟରେ ଏକ ପୋର୍ଟାଲକୁ ଦେଇଥିବା ସାକ୍ଷାତକାରରେ ରାଜ କୁନ୍ଦ୍ରା ଅଭିଯୋଗ କରିଛନ୍ତି ଯେ, ତାଙ୍କ ପୂର୍ବ ପତ୍ନୀ କବିତାଙ୍କ ସମ୍ପର୍କ ପୂର୍ବ ଶାଳକଙ୍କ ସହ ଥିଲା।
"
"Ira Basu, brother-in-law of former West Bengal Chief Minister Buddhadeb Bhattacharjee, has been on the sidewalk for the past two years.
","କୋଲକାତାଃ ପଶ୍ଚିମବଙ୍ଗର ପୂର୍ବତନ ମୁଖ୍ୟମନ୍ତ୍ରୀ ବୁଦ୍ଧଦେବ ଭଟ୍ଟାଚାର୍ଯ୍ୟଙ୍କ ବୋହୂ ଇରା ବସୁ ଗତ ଦୁଇ ବର୍ଷ ଧରି ଫୁଟପାଥରେ ରହୁଥିବା ନେଇ ଜଣାପଡିଛି।
"
"Police has arrested the brother-in-law of the deceased in this connection.
","ଘଟଣାରେ ମୃତ ନାବାଳିକାଙ୍କ ସମ୍ପର୍କୀୟ ଦାଦାଙ୍କୁ ପୁଲିସ ଗିରଫ କରିଛି।
"
"Saeed and his two accomplices, Zafar Iqbal and Yahiya Mujahid, have been sentenced to 10-10 years imprisonment, while his brother-in-law Abdul Rahman Makki has been sentenced to six months imprisonment.
","ହାଫିଜ ଓ ତା'ର ଦୁଇ ସହଯୋଗୀ ଜାଫର ଇକବାଲ ଓ ୟାହା ମୁହାଜିଦକୁ ସାଢ଼େ ୧୦ ବର୍ଷ ଲେଖାଏ ଜେଲଦଣ୍ଡ ମିଳିଥିବା ବେଳେ ତା'ର ଭିଣୋଇ ଅବଦୁଲ ରେହମାନ ମକ୍କିକୁ ୬ ମାସ ପାଇଁ ଜେଲଦଣ୍ଡ ମିଳିଛି।
"
"Saeed and his two close aides - Zafar Iqbal and Yahya Mujahid - have been sentenced to 10 and a half years each while JuD chief's brother-in-law Abdul Rehman Makki was sentenced to six months imprisonment.
","ହାଫିଜ ଓ ତା'ର ଦୁଇ ସହଯୋଗୀ ଜାଫର ଇକବାଲ ଓ ୟାହା ମୁହାଜିଦକୁ ସାଢ଼େ ୧୦ ବର୍ଷ ଲେଖାଏ ଜେଲଦଣ୍ଡ ମିଳିଥିବା ବେଳେ ତା'ର ଭିଣୋଇ ଅବଦୁଲ ରେହମାନ ମକ୍କିକୁ ୬ ମାସ ପାଇଁ ଜେଲଦଣ୍ଡ ମିଳିଛି।
"
"Saeed and his two close aides - Zafar Iqbal and Yahya Mujahid - have been sentenced to 10 and a half years each, while his brother-in-law Abdul Rehman Makki was sentenced to six months imprisonment.
","ହାଫିଜ ଓ ତା'ର ଦୁଇ ସହଯୋଗୀ ଜାଫର ଇକବାଲ ଓ ୟାହା ମୁହାଜିଦକୁ ସାଢ଼େ ୧୦ ବର୍ଷ ଲେଖାଏ ଜେଲଦଣ୍ଡ ମିଳିଥିବା ବେଳେ ତା'ର ଭିଣୋଇ ଅବଦୁଲ ରେହମାନ ମକ୍କିକୁ ୬ ମାସ ପାଇଁ ଜେଲଦଣ୍ଡ ମିଳିଛି।
"
"Saeed's two shut aides - Zafar Iqbal and Yahya Mujahid - had been sentenced to 10 and a half years every, whereas his brother-in-law Abdul Rehman Makki was sentenced to 6 months of imprisonment in the identical instances.
","ହାଫିଜ ସଇଦଙ୍କ ସାଥୀ ଜାଫର ଇକବାଲ ଏବଂ ୟେହିୟା ଅଜିଜଙ୍କୁ ମଧ୍ୟ ସାଢ଼େ ୧୦ ବର୍ଷ ଜେଲ ଓ ଜୋରିମାନା ଆଦେଶ ହୋଇଥିବାବେଳେ ଅନ୍ୟତମ ଅଭିଯୁକ୍ତ ଅବଦୁରହମାନ ମକ୍କିଙ୍କୁ ୬ ମାସ ଜେଲ ଦଣ୍ଡ ଦିଆଯାଇଛି ।
"
"Salman Khan is launching his brother-in-law Ayush Sharma.
","ସଲମାନ ଖାନ ନିଜ ଭିଣୋଇ ଆୟୁଷ ଶର୍ମାଙ୍କୁ ଲଞ୍ଚ କରିବାକୁ ଯାଉଛନ୍ତି ।
"
"Some reports suggest Kim Jong-un's sister Kim Yo-jong's husband Choe Song, is either a Room 39 official or works for a military unit guarding his brother-in-law.
","ଆଉ କେତେକ ରିପୋର୍ଟ ଅନୁସାରେ, କିମ୍ ଜଙ୍ଗ୍ ଉନ୍ଙ୍କ ଭଉଣୀ କିମ୍ ୟୋ ଜଙ୍ଗ୍ଙ୍କ ସ୍ବାମୀ ଚୋ ସଙ୍ଗ୍ 'ଅଫିସ ୩୯'ର କର୍ମଚାରୀ ବା ତାଙ୍କ ଶାଳକଙ୍କୁ ପହରା ଦେଉଥିବା ସାମରିକ ୟୁନିଟ୍ ପାଇଁ କାମ କରୁଥାଇ ପାରନ୍ତି।
"
"Some reports suggest the husband of Kim Yo-jong, Kim Jong-un's sister, Choe Song, is either a Room 39 official or works for a military unit guarding his brother-in-law.
","ଆଉ କେତେକ ରିପୋର୍ଟ ଅନୁସାରେ, କିମ୍ ଜଙ୍ଗ୍ ଉନ୍ଙ୍କ ଭଉଣୀ କିମ୍ ୟୋ ଜଙ୍ଗ୍ଙ୍କ ସ୍ବାମୀ ଚୋ ସଙ୍ଗ୍ 'ଅଫିସ ୩୯'ର କର୍ମଚାରୀ ବା ତାଙ୍କ ଶାଳକଙ୍କୁ ପହରା ଦେଉଥିବା ସାମରିକ ୟୁନିଟ୍ ପାଇଁ କାମ କରୁଥାଇ ପାରନ୍ତି।
"
"The BJP MP's son had shot himself at his brother-in-law
","ଶତ୍ରୁଙ୍କୁ ଜେଲ ପଠାଇବା ପାଇଁ ନିଜ ଉପରକୁ ଗୁଳି ଚଳାଇଥିଲେ ବିଜେପି ସାଂସଦଙ୍କ ପୁଅ
"
"The court also sentenced Suman's 90-year-old mother, Gulab Devi, to a one-year jail term, while his brother-in-law Arun Kumar Singh and his close associate Rajendra Vikram Singh have been awarded a four-year jail term.
","ଏହି ମାମଲାରେ ସୁମନଙ୍କ ୯୦ ବର୍ଷୀୟା ମା'ଙ୍କୁ ମଧ୍ୟ ୧ ବର୍ଷ କାରାଦଣ୍ଡ ଏବଂ ତାଙ୍କ ଭିଣୋଇ ଅରୁଣ କୁମାର ସିଂହ ଏବଂ ତାଙ୍କ ଘନିଷ୍ଠ ସହଯୋଗୀ ରାଜେନ୍ଦ୍ର ବିକ୍ରମ ସିଂହଙ୍କୁ ମଧ୍ୟ ୪ ବର୍ଷ ଲେଖାଏଁ ଜେଲ୍ ଦଣ୍ଡାଦେଶ ହୋଇଛି।
"
"Wicked proud of my brother-in-law!
","କୁରୁ-କୁଳର ଗର୍ବ ମୋ ଅଣନାତି !
"
"You can celebrate this day not only with your immediate brother but also with your cousins, brother-in-law, etc.
","ଆପଣ ଏହି ଦିନଟି କେବଳ ତୁମର ତୁରନ୍ତ ଭାଇ ସହିତ ନୁହେଁ ବରଂ ତୁମର ସମ୍ପର୍କୀୟ ଭାଇ, ବନ୍ଧୁଙ୍କ ଭାଇ ଇତ୍ୟାଦି ସହିତ ମଧ୍ୟ ପାଳନ କରିପାରିବେ _
"
"He stars with his brother-in-law Aayush Sharma in the movie.
","ଏହି ଚଳଚ୍ଚିତ୍ରରେ ସେ ଭିଣୋଇ ଆୟୁଷ ଶର୍ମାଙ୍କ ସହ ମୁଖ୍ୟ ଭୂମିକାରେ ଅଛନ୍ତି ।
"
"Salman Khan's brother-in-law, Aayush Sharma is all set to enter Bollywood with his debut film, titled Loveratri.
","ମୁମ୍ବାଇ : ବଲିଉଡ୍‌ର ସୁଲତାନ ସଲମାନ ଖାନ୍‌ ନିଜ ଭିଣୋଇ ଆୟୁଷ ଶର୍ମାଙ୍କୁ ଫିଲ୍ମ ଲଭ୍‌ରାତ୍ରୀ ଜରିଆରେ ବଲିଉଡ୍‌ରେ ପ୍ରବେଶ କରାଇବାକୁ ଯାଉଛନ୍ତି ।
"
"His mother, sister and brother-in-law were present at that time.
","ଏହି ସମୟରେ ଅଟଳଙ୍କ ଶାଶୂ ,ଶାଳୀ ଓ ସଢ଼ୁ ‌ ସେଠାରେ ଉପସ୍ଥିତ ରହିଥିଲେ।
"
"The girl later told police that her brother-in-law raped her, they said.
","ତା’ ପରେ ପୋଲିସକୁ କହିଲା କି ତା’ ଭଉଣୀ ତାକୁ ଲୁହା ରଡରେ ଆକ୍ରମଣ କରିଥିଲା।
"
"Aayush is his brother-in-law; he is Salman’s youngest sister Arpita’s husband.
","ଆୟୁଷ ହେଉଛନ୍ତି ସଲମାନଙ୍କ ଭଉଣୀ ଅର୍ପିତାଙ୍କ ସ୍ୱାମୀ ।
"
"Mr Singh's brother-in-law Laljit Singh, Amit Shekhar Singh, Ramchandra Singh, D G Kumari and the driver Pritam Kumar died on the spot.
","ଦୁର୍ଘଟଣାରେ ଓ.ପି ସିଂଙ୍କ ଭିଣୋଇ ଲଲ୍‌ଜିତ ସିଂ, ଅମିତ ଶେଖର ସିଂ, ରାମଚନ୍ଦ୍ର ସିଂ, ଡି.ଜି କୁମାରୀ ଓ ଡ୍ରାଇଭର ପ୍ରୀତମ କୁମାରଙ୍କ ଘଟଣାସ୍ଥଳରେ ମୃତ୍ୟୁ ଘଟିଛି।
"
"In this film, the lead role was played by Salman Khan's brother-in-law Ayush Sharma.
","କଶ୍ମୀରା ଶାହ ଏହି ଫିଲ୍ମରେ ସଲମାନ ଖାନଙ୍କ ଭଉଣୀ ଭୂମିକାରେ ଥିଲେ।
"
"Aayush Sharma, Salman Khan's brother-in-law, is all set to make his debut in Bollywood.
","ଭାଇଜାନ୍ ସଲମାନ ଖାନଙ୍କ ଭିଣୋଇ ଆୟୁଷ ଶର୍ମା ପ୍ରଥମ ଥର ପାଇଁ ବଲିଉଡ ଇଣ୍ଡଷ୍ଟ୍ରିରେ ଡେବ୍ୟୁ କରିବାକୁ ଯାଉଛନ୍ତି ।
"
"Salman Khan's brother-in-law Aayush Sharma will co-star with him in the film
","ସଲ୍‌ମାନ୍ ଓ ତାଙ୍କ ଭିଣୋଇ ଆୟୁଷ ଶର୍ମା ଏକାଠି ଫିଲ୍ମ କରିବାକୁ ଯାଉଛନ୍ତି।
"
"Woman allegedly raped for dowry, husband and brother-in-law arrested
","ଅଧିକ ଯୌତୁକ ପାଇଁ ପତ୍ନୀଙ୍କୁ ପୋଡି ହତ୍ୟା,ସ୍ୱାମୀ ଓ ଶାଶୁ ଗିରଫ, ଯୌତୁକ ସାମଗ୍ରୀ ଜବତ
"
"Man stabs brother-in-law to death for harassing his sister
","ଭଉଣୀକୁ ଅସଦାଚରଣ କରିଥିବା ଯୁବକକୁ ଗୋଡେଇ ଗୋଡେଇ ହାଣି ହତ୍ୟା କଲା ଭାଇ
"
"As per reports, Kalra was arrested from his brother-in-laws’ home in Gurugram.
","ଖବର ଅନୁଯାୟୀ ଗୁରୁଗ୍ରାମରେ ତାଙ୍କର ଜଣେ ସମ୍ପର୍କୀୟଙ୍କ ଘରୁ କାଲ୍ରାଙ୍କୁ ଗିରଫ କରାଯାଇଛି।
"
"He’s the brother-in-law of her elder sister.
","ସେ ତାଙ୍କ ଭାଇଙ୍କର ଜଣେ ପ୍ରୋଟେକ୍‌ଟିଭ ଭଉଣୀ।
"
"Helmed by Mahesh Manrekar, 'Antim: The Final Truth,' features Salman Khan and his brother-in-law Aayush Sharma in the lead.
","ମହେଶ ମଞ୍ଜରେକରଙ୍କ ନିର୍ଦ୍ଦେଶନାରେ ତିଆରି ଫିଲ୍ମ ‘ଅନ୍ତିମ: ଦ ଫାଇନାଲ ଟ୍ରୁଥ’ର ଲିଡ ରୋଲରେ ସାମଲାନ ଖାନ୍‌, ଆୟୁଶ ଶର୍ମା ଅଛନ୍ତି।
"
"The JeM camp was run by the terror group’s chief Masood Azhar’s brother-in-law Yusuf Azhar.
","ଏଇ ଆତଙ୍କବାଦୀ ଶିବିର ପରିଚାଳନା କରୁଥବଲା ଜୈଶ-ଇ ମହମ୍ମଦର ନେତା ୟୁସୁଫ ଅଜହର ।
"
"Harikrishna was the son of former Andhra Pradesh Chief Minister and founder of Telugu Desam Party NT Rama Rao and brother-in-law of Chandrababu Naidu.
","ନନ୍ଦମୁରୀ ହରିକ୍ରିଷ୍ଣା ହେଉଛନ୍ତି ଆନ୍ଦ୍ରପ୍ରଦେଶର ପୂର୍ବତନ ମୁଖ୍ୟମନ୍ତ୍ରୀ ତଥା ତେଲୁଗୁ ଦେଶମ ପାର୍ଟି ପ୍ରତିଷ୍ଠାତା ସ୍ବର୍ଗତ ଏନଟି ରାମାରାଓଙ୍କ ପୁଅ ।
"
"Bolangir: A man was allegedly beaten to death by his brothers-in-law over some family feud at Karlabahali village under Kantabanji police limits of Bolangir district.
","ବଲାଙ୍ଗିର: ଜିଲ୍ଲାର ବଙ୍ଗୋମୁଣ୍ଡା ବ୍ଳକ ଅନ୍ତର୍ଗତ କୁଟ୍ରାବେଡା ଗାଁରେ ଜଣେ ଯୁବକ ପାରିବାରିକ ଜମା ଜମା ବିବାଦକୁ ନେଇ ଗଣ୍ଡଗୋଳ ହେବା ପରେ ନିଜ କକା ଓ ଖୁଡ଼ୀଙ୍କୁ ହାଣି ହତ୍ୟା କରିଛି ।
"
"A mother and father-in law, two brothers-in-law, two sisters-in-law, he had two children and a nephew.
","ଘରେ ତାଙ୍କ ବିଧବା ମା’, ଭାଉଜ ଦୁଇ ପୁତୁରା, ପତ୍ନୀ ଓ ଦୁଇ ପୁଅ।
"
